
[00:00:00.000 --> 00:00:03.840]  二十年前當我們開始生命和靈良堂的時候
[00:00:03.840 --> 00:00:06.320]  就有先知的話臨到我們說
[00:00:06.320 --> 00:00:10.700]  這條路是你們向來沒走過的道路
[00:00:10.700 --> 00:00:13.580]  而這二十年來當我們回頭一看
[00:00:13.580 --> 00:00:18.080]  果然這不但是一條我們向來沒走過的道路
[00:00:18.080 --> 00:00:23.380]  甚至是我們過去根本連想都沒想到過的一條道路
[00:00:23.380 --> 00:00:26.600]  為此我們真的要獻上感恩
[00:00:26.600 --> 00:00:30.740]  這也為什麼我們的二十週年慶典是那麼感人的一個原因
[00:00:30.740 --> 00:00:36.380]  因為真的知道是神的手在我們中間成就了大事
[00:00:36.380 --> 00:00:38.580]  那麼在二十週年特會當中
[00:00:38.580 --> 00:00:42.740]  我們也有很多先知的話也臨到我們
[00:00:42.740 --> 00:00:49.120]  最近我們再重新整理這些在二十週年特會中先知的話語
[00:00:49.120 --> 00:00:52.420]  那都是更大更難的事
[00:00:52.420 --> 00:00:56.080]  更是遠超過我們曾經想像
[00:00:56.080 --> 00:00:58.260]  因為今天當我們再一次
[00:00:58.260 --> 00:01:02.920]  面對這個擺在我們面前嶄新的道路的時候
[00:01:02.920 --> 00:01:07.720]  我們應當怎麼樣預備我們自己來與神同工
[00:01:07.720 --> 00:01:10.880]  進入神的得勝裡面呢?
[00:01:10.880 --> 00:01:13.160]  我就想到約蘇亞
[00:01:13.160 --> 00:01:18.080]  當他帶領以色列人過約旦河要進入迦南地的時候
[00:01:18.080 --> 00:01:20.400]  你知道他們過約旦河
[00:01:20.400 --> 00:01:24.440]  這本身就是一條向來沒走過的道路
[00:01:24.440 --> 00:01:26.620]  但一過完河
[00:01:26.620 --> 00:01:30.480]  擺在前面又是另外一個嶄新的道路
[00:01:30.480 --> 00:01:32.820]  向來沒走過的道路
[00:01:32.820 --> 00:01:36.280]  我們看到底神怎麼幫助他們
[00:01:36.280 --> 00:01:40.200]  預備來進入神的得勝呢?
[00:01:40.200 --> 00:01:42.120]  今天早上跟大家分享三方面
[00:01:42.120 --> 00:01:44.820]  怎麼面對你未知的將來
[00:01:44.820 --> 00:01:46.160]  第一個
[00:01:46.160 --> 00:01:48.640]  你要紀念神的信實
[00:01:48.640 --> 00:01:53.200]  跟你旁邊聽眾講說要紀念神的信實
[00:01:53.200 --> 00:01:56.480]  剛才所讀的聖經第十節、第十一節裡面
[00:01:56.480 --> 00:01:59.280]  你就看見第一件事情
[00:01:59.280 --> 00:02:00.820]  神要他們做的
[00:02:00.820 --> 00:02:04.720]  就是重新守育月節
[00:02:04.720 --> 00:02:06.600]  什麼是育月節?
[00:02:06.600 --> 00:02:11.200]  育月節就是紀念神怎麼拯救以色列人
[00:02:11.200 --> 00:02:15.120]  脫離埃及人的奴隸的日子
[00:02:15.120 --> 00:02:18.640]  而當神應許他們要離開埃及的同時
[00:02:18.640 --> 00:02:22.960]  神也應許他們要進入神的應許之地
[00:02:22.960 --> 00:02:24.240]  可事實上
[00:02:24.240 --> 00:02:27.240]  自從這個第一個育月節之後
[00:02:27.240 --> 00:02:29.200]  直到現在
[00:02:29.200 --> 00:02:32.240]  中間經過了四十年
[00:02:32.240 --> 00:02:33.680]  而在四十年中間
[00:02:33.680 --> 00:02:36.240]  以色列人在曠野漂流
[00:02:36.240 --> 00:02:38.280]  居無定所
[00:02:38.280 --> 00:02:40.240]  也不知道什麼時候
[00:02:40.240 --> 00:02:43.400]  神的應許才會應驗
[00:02:43.400 --> 00:02:45.640]  而且在這四十年當中
[00:02:45.640 --> 00:02:49.520]  他們也從來沒有再守過育月節
[00:02:49.520 --> 00:02:51.640]  一直到這個時候
[00:02:51.640 --> 00:02:56.600]  那麼過了約旦和真的進入了神應許之地之後
[00:02:56.600 --> 00:03:01.200]  神就讓他們重新再來守育月節
[00:03:01.200 --> 00:03:02.760]  為什麼呢?
[00:03:02.760 --> 00:03:04.880]  因為神要提醒他們
[00:03:04.880 --> 00:03:08.120]  神是信實的
[00:03:08.120 --> 00:03:11.400]  神的應許永不落空
[00:03:11.400 --> 00:03:15.280]  雖然那個四十年在曠野的生活
[00:03:15.280 --> 00:03:19.200]  是何等的艱難、何等的辛苦
[00:03:19.200 --> 00:03:23.560]  但至終神是充滿慈悲憐憫
[00:03:23.560 --> 00:03:26.000]  神是守約施慈愛
[00:03:26.000 --> 00:03:27.640]  神所應許的
[00:03:27.640 --> 00:03:29.320]  他必成就
[00:03:29.320 --> 00:03:30.480]  你們
[00:03:30.480 --> 00:03:32.800]  特別是當以色列人
[00:03:32.800 --> 00:03:36.080]  還要面對前面的征戰
[00:03:36.080 --> 00:03:40.200]  耶利哥是一個堅固的城
[00:03:40.200 --> 00:03:44.240]  特別當他們面對這樣一個艱難的戰爭的時候
[00:03:44.240 --> 00:03:48.080]  神要將他們心中一切的疑慮
[00:03:48.080 --> 00:03:51.440]  一切的恐懼都要除去
[00:03:51.440 --> 00:03:55.200]  神界的守育月節這件事情
[00:03:55.200 --> 00:03:57.200]  神要告訴以色列百姓說
[00:03:57.200 --> 00:04:00.080]  嘿!我是信實的
[00:04:00.080 --> 00:04:04.680]  我過去怎麼帶領你們走過人生的高山低谷
[00:04:04.680 --> 00:04:06.040]  同樣
[00:04:06.040 --> 00:04:10.760]  我要帶領你們戰勝一切在你們面前的操題
[00:04:10.760 --> 00:04:11.960]  Amen!
[00:04:11.960 --> 00:04:13.880]  第二點,多少時候
[00:04:13.880 --> 00:04:17.680]  到面對前面未知的將來的時候
[00:04:17.680 --> 00:04:21.960]  我們心中不是也是充滿很多的恐懼嗎?
[00:04:21.960 --> 00:04:25.720]  無論我們曾經走過多少高山低谷
[00:04:25.720 --> 00:04:27.040]  但我告訴你
[00:04:27.040 --> 00:04:30.240]  當我們面對前面未知的道路的時候
[00:04:30.240 --> 00:04:34.400]  心中難免還是有一份猶豫在那裡,不是嗎?
[00:04:34.400 --> 00:04:35.920]  真的嗎?
[00:04:35.920 --> 00:04:38.680]  神這一次真的還會帶領我嗎?
[00:04:38.680 --> 00:04:42.160]  神真的會使我得勝有餘嗎?
[00:04:42.160 --> 00:04:44.280]  這種猶豫不前
[00:04:44.280 --> 00:04:50.480]  好像以至於我們對神的工作會存一種觀望的態度
[00:04:50.480 --> 00:04:51.520]  世上地獄裡面
[00:04:51.520 --> 00:04:56.760]  觀望永遠不能夠帶我們進入神應許之地的
[00:04:56.760 --> 00:04:57.880]  Amen!
[00:04:57.880 --> 00:05:00.840]  想想看當年的以色列人
[00:05:00.840 --> 00:05:02.880]  要準備過紅海
[00:05:02.880 --> 00:05:04.320]  在紅海的邊上
[00:05:04.320 --> 00:05:06.840]  如果他們只是觀望
[00:05:06.840 --> 00:05:10.960]  他們永遠不能夠離開埃及的
[00:05:10.960 --> 00:05:15.720]  想想看以色列人在約旦河的邊上
[00:05:15.720 --> 00:05:19.400]  若是他們在約旦河的邊上只是觀望
[00:05:19.400 --> 00:05:23.160]  他們就永遠不能夠進入神應許之地的
[00:05:23.160 --> 00:05:24.280]  Amen!
[00:05:24.280 --> 00:05:30.000]  這為什麼神要我們重新來紀念祂的信使
[00:05:30.000 --> 00:05:32.080]  神要再一次提醒我們說
[00:05:32.080 --> 00:05:37.680]  神在過去怎麼曾經帶領我們走過人生的高山低谷
[00:05:37.680 --> 00:05:41.840]  神要繼續的帶領我們來面對生活當中
[00:05:41.840 --> 00:05:45.120]  服事當中一切的挑戰
[00:05:45.120 --> 00:05:47.040]  所以不要觀望
[00:05:47.040 --> 00:05:49.400]  要勇敢跟隨
[00:05:49.400 --> 00:05:51.080]  跟女朋友說不要再觀望
[00:05:51.080 --> 00:05:55.440]  要勇敢跟隨跟她說
[00:05:55.440 --> 00:05:59.600]  那你說萬一失敗怎麼辦?
[00:05:59.600 --> 00:06:03.760]  很多時候我發現這個害怕失敗
[00:06:03.760 --> 00:06:07.800]  也是常常叫我們猶豫不前的原因不是嗎?
[00:06:07.800 --> 00:06:13.600]  但事實上今天有哪一個成功的人沒有失敗過呢?
[00:06:13.600 --> 00:06:15.080]  我很喜歡一首詩歌
[00:06:15.080 --> 00:06:17.480]  靠著耶穌得勝
[00:06:17.480 --> 00:06:19.080]  裡面有一句話說
[00:06:19.080 --> 00:06:21.520]  不必懼怕挫敗
[00:06:21.520 --> 00:06:25.480]  深知主恩更廣闊
[00:06:25.480 --> 00:06:26.680]  Hallelujah!
[00:06:26.680 --> 00:06:27.440]  換句話說
