
[00:00:00.000 --> 00:00:03.200]  我哋一齊打開詩篇63篇
[00:00:03.200 --> 00:00:06.680]  詩篇63篇
[00:00:06.680 --> 00:00:13.560]  呢篇詩篇係好特別嘅
[00:00:13.560 --> 00:00:15.000]  又好深奧
[00:00:15.000 --> 00:00:16.680]  有時都唔係好明
[00:00:16.680 --> 00:00:18.200]  但係呢就
[00:00:18.200 --> 00:00:21.200]  即係一篇好愛慕主嘅詩篇
[00:00:21.200 --> 00:00:23.320]  即係難得詩人寫得出
[00:00:23.320 --> 00:00:25.640]  嘩!真係好渴慕嘅體會
[00:00:25.640 --> 00:00:29.560]  好!我哋一齊讀詩篇63篇
[00:00:29.560 --> 00:00:32.280]  由第一節讀完第十一節
[00:00:32.280 --> 00:00:33.280]  我哋慢慢讀
[00:00:33.280 --> 00:00:34.400]  預備請
[00:00:59.680 --> 00:01:02.120]  我愛比生命更好
[00:01:02.120 --> 00:01:05.240]  我嘅嘴唇要重彈你
[00:01:05.240 --> 00:01:10.080]  我還活嘅時候要這樣稱頌你
[00:01:10.080 --> 00:01:13.360]  我要奉你嘅名舉手
[00:01:13.360 --> 00:01:16.160]  我在床上紀念你
[00:01:16.160 --> 00:01:19.600]  在夜更嘅時候思想你
[00:01:19.600 --> 00:01:24.160]  我的心就像飽足了骨髓肥油
[00:01:24.160 --> 00:01:28.840]  我也要以歡樂嘅嘴唇讚美你
[00:01:28.840 --> 00:01:31.720]  因為你曾幫助我
[00:01:31.720 --> 00:01:35.960]  我就在你翅膀的任下歡呼
[00:01:35.960 --> 00:01:39.200]  我心緊緊的跟隨你
[00:01:39.200 --> 00:01:42.080]  你的右手扶持我
[00:01:42.080 --> 00:01:45.920]  但那些尋索滅我命的人
[00:01:45.920 --> 00:01:48.520]  必往地底下去
[00:01:48.520 --> 00:01:51.800]  他們必被刀劍所殺
[00:01:51.800 --> 00:01:54.040]  被野狗所吃
[00:01:54.040 --> 00:01:57.520]  但是王必因神歡喜
[00:01:57.520 --> 00:02:02.080]  凡指著他發誓的必要誇口
[00:02:02.080 --> 00:02:07.520]  因為說謊之人的口必被塞住
[00:02:07.520 --> 00:02:11.840]  這篇詩篇是大衛王的詩篇
[00:02:11.840 --> 00:02:17.320]  背景應該是在《薩姆二記》上第十五章
[00:02:17.320 --> 00:02:24.440]  記載他被他自己的兒子阿沙隆追捕或追殺
[00:02:24.440 --> 00:02:30.040]  他要從皇宮逃走,因為要避難
[00:02:30.040 --> 00:02:35.840]  所以這篇詩篇提到大衛的處境
[00:02:35.840 --> 00:02:39.920]  他在一個困境當中寫出這篇詩篇
[00:02:39.920 --> 00:02:44.000]  是寫出一篇他親近神的詩篇
[00:02:44.000 --> 00:02:47.760]  我們一起看看他的處境是甚麼呢
[00:02:47.760 --> 00:02:54.760]  聖經第一節提到乾旱疲乏無水之地
[00:02:54.760 --> 00:02:59.800]  應該是指他走到曠野或森林裏面
[00:02:59.800 --> 00:03:04.760]  他從皇宮走到曠野森林
[00:03:04.760 --> 00:03:09.040]  所以他的物質生活質素應該如何
[00:03:09.040 --> 00:03:11.040]  應該大大降低
[00:03:11.040 --> 00:03:17.800]  好像去了一個荒蕪的地方,他是皇帝
[00:03:17.800 --> 00:03:20.720]  吃住喝應該都非常豐富
[00:03:20.720 --> 00:03:25.960]  但是逃難應該很慘,質素應該降低
[00:03:25.960 --> 00:03:28.760]  他又被追捕追殺逃難
[00:03:28.760 --> 00:03:31.880]  他的生命受到威脅
[00:03:31.880 --> 00:03:35.240]  他做皇帝的時候應該是人的生命受到威脅
[00:03:35.240 --> 00:03:38.120]  但現在他的生命受到威脅
[00:03:38.120 --> 00:03:43.080]  另外他是被他自己的兒子追捕
[00:03:43.080 --> 00:03:47.240]  這其實是一個家庭的問題
[00:03:47.240 --> 00:03:50.120]  被人追捕,被仇敵追捕都可以
[00:03:50.120 --> 00:03:54.880]  但被自己的兒子親人出賣和追捕
[00:03:54.880 --> 00:03:59.760]  那個處境應該是很傷痛很傷心
[00:03:59.760 --> 00:04:06.120]  所以大衛他的處境困境或艱辛的地方
[00:04:06.120 --> 00:04:09.080]  是生活質素降低
[00:04:09.080 --> 00:04:12.280]  身體疲乏,因為逃難
[00:04:12.280 --> 00:04:16.960]  疲乏無水,生命危險,心情悲痛
[00:04:16.960 --> 00:04:21.320]  是一個身心疲乏的狀況
[00:04:21.320 --> 00:04:24.320]  但你從他的詩篇看到
[00:04:24.320 --> 00:04:28.760]  他的心靈不疲乏
[00:04:28.760 --> 00:04:31.360]  他的心靈很不疲乏
[00:04:31.360 --> 00:04:36.680]  他在困境中仍然很親近神
[00:04:36.680 --> 00:04:39.320]  那我就問兩個問題
[00:04:39.320 --> 00:04:46.600]  究竟大衛在困境中是否更加渴望親近神呢?
[00:04:46.600 --> 00:04:48.520]  這是第一個問題我問的
[00:04:48.520 --> 00:04:55.080]  是不是他愈多苦難就愈會去親近神呢?
[00:04:55.080 --> 00:04:56.080]  是不是?
[00:04:56.080 --> 00:04:58.960]  如果是這樣想,他真是一個很厲害的人
[00:04:58.960 --> 00:05:00.760]  一個很熟練的人
[00:05:00.760 --> 00:05:04.720]  我自己想,在我們現實的處境裡
[00:05:04.720 --> 00:05:06.000]  我們是不是這樣的呢?
[00:05:06.000 --> 00:05:09.320]  愈受苦難,愈多愁苦,愈多抑鬱
[00:05:09.320 --> 00:05:12.520]  是不是我們會愈能夠親近神呢?
[00:05:12.520 --> 00:05:15.920]  還是會愈遠離神呢?
[00:05:15.920 --> 00:05:18.200]  我不知道大家的處境
[00:05:18.200 --> 00:05:23.000]  你自己,我們自己認識的人是怎樣的呢?
[00:05:23.000 --> 00:05:25.600]  我自己馬上想到,其實不是
[00:05:25.600 --> 00:05:29.080]  其實我對我的答案問這個問題就是
[00:05:29.080 --> 00:05:31.920]  愈多愁苦、痛苦、艱苦
[00:05:31.920 --> 00:05:34.360]  其實我見到很多是會怎樣呢?
[00:05:34.360 --> 00:05:36.320]  是愈遠離神的
[00:05:36.320 --> 00:05:38.880]  當然有些是愈緊緊親近神
[00:05:38.880 --> 00:05:42.760]  我都很希望我們都是這樣達到
[00:05:42.760 --> 00:05:46.360]  所以第二個問題我就繼續問
[00:05:46.360 --> 00:05:51.000]  大衛在困境中,如果他不是更加渴望神
[00:05:51.000 --> 00:05:56.040]  而我就想,他可能仍然是渴望神
[00:05:56.040 --> 00:06:02.120]  即是在困境中,只不過仍然像他過往那樣
[00:06:02.120 --> 00:06:03.680]  去親近神
[00:06:03.680 --> 00:06:08.120]  他不是說,困境時更加更加親近神
[00:06:08.120 --> 00:06:11.120]  也有人是,但處境裡好像不是
[00:06:11.120 --> 00:06:15.920]  只不過他其實是過往那樣去親近神
[00:06:15.920 --> 00:06:18.840]  他不是在處境裡更渴望神
[00:06:18.840 --> 00:06:25.480]  而在處境裡,他繼續沒有放棄去親近神
