
[00:00:00.000 --> 00:00:04.000]  有些少巧合,但是又不合得齊。
[00:00:04.000 --> 00:00:11.000]  我講緊上行詩,詩篇當中有一首的詩篇,
[00:00:11.000 --> 00:00:16.000]  是在感恩節,是常用的經文來的。
[00:00:16.000 --> 00:00:20.000]  在都教會,他們叫三代經題。
[00:00:20.000 --> 00:00:24.000]  他們如果有感恩節的經題的話,
[00:00:24.000 --> 00:00:28.000]  他們會用詩篇第126篇。
[00:00:28.000 --> 00:00:35.000]  這個講題,由詩篇120篇講到現在,
[00:00:35.000 --> 00:00:39.000]  應該是講125篇。
[00:00:39.000 --> 00:00:42.000]  欠一個主人。
[00:00:42.000 --> 00:00:50.000]  為了應節,我們要提前將詩篇126篇搬上來。
[00:00:50.000 --> 00:00:56.000]  這首詩篇是應節的詩篇,是感恩節的詩篇。
[00:00:56.000 --> 00:01:01.000]  詩篇第126篇,大家跟我一齊讀。
[00:01:01.000 --> 00:01:06.000]  大家留心這首詩篇,中文的翻譯,
[00:01:06.000 --> 00:01:12.000]  我在和諧本的修讀本,保留了原文的結構裏面,
[00:01:12.000 --> 00:01:15.000]  那首詩歌的段落,大家留心一下。
[00:01:15.000 --> 00:01:20.000]  這首詩歌的節奏,連節奏感都認得到是很難得的。
[00:01:20.000 --> 00:01:24.000]  詩篇第126篇,我們一齊讀。
[00:01:24.000 --> 00:01:29.000]  當耶和華使錫安被擄的人歸回的時候,
[00:01:29.000 --> 00:01:35.000]  我們好像做夢的人。
[00:01:35.000 --> 00:01:40.000]  那時,我們滿口喜笑,滿舌歡呼。
[00:01:40.000 --> 00:01:45.000]  那時,列國中就有人說,耶和華為他們行要大事。
[00:01:45.000 --> 00:01:48.000]  耶和華果然為我們行要大事。
[00:01:48.000 --> 00:01:52.000]  我們就歡喜,一呼一應。
[00:01:52.000 --> 00:01:57.000]  耶和華求祢使我們這些被擄的人歸回,
[00:01:57.000 --> 00:02:03.000]  可將尼格夫的河水伏流,流淚殺種的必歡收割。
[00:02:03.000 --> 00:02:11.000]  那帶種流淚出去的,必歡歡地帶禍菌回來。
[00:02:11.000 --> 00:02:16.000]  我會再回來講詩篇的結構。
[00:02:16.000 --> 00:02:22.000]  今日要同大家去賞識一下,欣賞一下這首美麗的詩篇。
[00:02:22.000 --> 00:02:27.000]  但除了文學欣賞之外,其實我們將這首詩篇所講的,
[00:02:27.000 --> 00:02:30.000]  來作我們心靈的一個反省。
[00:02:30.000 --> 00:02:37.000]  記不記得,由120篇到現在,那個朝聖者的視覺,
[00:02:37.000 --> 00:02:43.000]  120篇出發的時候,背後被人射箭插一刀,
[00:02:43.000 --> 00:02:47.000]  所以他要回頭看,他有後顧之憂,有急難而到,
[00:02:47.000 --> 00:02:50.000]  但是他知道神會拯救他。
[00:02:50.000 --> 00:02:56.000]  在途中,他要向山舉目,他知道他的幫助從何而來,
[00:02:56.000 --> 00:03:02.000]  從做天地萬物的耶和華而來,遠遠的看見石崗在望。
[00:03:02.000 --> 00:03:09.000]  去到城門口,他縱揚聖靈,他周圍看,這是聖城的美麗。
[00:03:09.000 --> 00:03:13.000]  看到聖城裏面住著他的同胞弟兄姊妹,
[00:03:13.000 --> 00:03:18.000]  圍著他們來祈福,周圍看。
[00:03:18.000 --> 00:03:24.000]  123篇在信件裏面,他向天看,特別看誰?
[00:03:24.000 --> 00:03:32.000]  看上帝的手,好像婢女和人看主人、主母的手一樣,
[00:03:32.000 --> 00:03:34.000]  向上看。
[00:03:34.000 --> 00:03:39.000]  然後上個星期,他講到他越過時間的山嶺,
[00:03:39.000 --> 00:03:44.000]  回頭看,回頭望,回顧他的生命,經歷過的事情。
[00:03:44.000 --> 00:03:46.000]  125篇未講。
[00:03:46.000 --> 00:03:49.000]  125篇是講什麼?
[00:03:49.000 --> 00:03:53.000]  是講一個經歷了世事變遷的人,
[00:03:53.000 --> 00:03:58.000]  他是向未來來看,向前看,
[00:03:58.000 --> 00:04:05.000]  不只是向眼前來看,是向未來來看,未來,future,未來看。
[00:04:05.000 --> 00:04:09.000]  有一個解經家,他寫了很多解經的書,特別是《宗善經》,
[00:04:09.000 --> 00:04:14.000]  從《創世紀》到《啟示錄》都有一個解經的系列。
[00:04:14.000 --> 00:04:18.000]  他就將這段經文分開做三點,
[00:04:18.000 --> 00:04:24.000]  第一到三,一節到三節,在我們裏面有自由的起落。
[00:04:24.000 --> 00:04:28.000]  第四節講,就是我們將來有生命的應許。
[00:04:28.000 --> 00:04:32.000]  第五到六節講,在裏面有工作的挑戰。
[00:04:32.000 --> 00:04:38.000]  這個是Wayne Crisby所講的,
[00:04:38.000 --> 00:04:40.000]  不過今天我不是用他的大綱,
[00:04:40.000 --> 00:04:43.000]  因為他就是將這個大綱,
[00:04:43.000 --> 00:04:47.000]  就是告訴我這首詩裏面有什麼所謂的教訓。
[00:04:47.000 --> 00:04:51.000]  所以我上來就不是很想錄一些俗套的節奏的講經,
[00:04:51.000 --> 00:04:54.000]  所以今天我用大家會的角度去看。
[00:04:54.000 --> 00:04:59.000]  就是這段經文告訴我們一個什麼道理呢?
[00:04:59.000 --> 00:05:06.000]  就是潛星者,每一個神聚二郎,一個基督徒,一個天路俠,跟隨主的人,
[00:05:06.000 --> 00:05:09.000]  都應該有一個值得歡慶的理由。
[00:05:09.000 --> 00:05:14.000]  即是說,Skip告訴我們,感恩節感恩些什麼呢?
[00:05:14.000 --> 00:05:16.000]  今天提出一個項目,Thank you,
[00:05:16.000 --> 00:05:23.000]  一大段,還要一路唱一路升調,一路升調,越唱越興奮。
[00:05:23.000 --> 00:05:32.000]  將很多值得感恩的事情,其實都是一些日常,生命裏面的事來的。
[00:05:32.000 --> 00:05:41.000]  但是這個潛星詩裏面,上行詩的第126篇是講一個很特別的理由,
[00:05:41.000 --> 00:05:47.000]  在你心裏面有一個很重要的理由,是你認為值得歡慶的理由。
[00:05:47.000 --> 00:05:55.000]  你可不可以告訴我,你心裏面有一個,你值得一生都慶祝的,一生都紀念的,
[00:05:55.000 --> 00:06:00.000]  無論你在哪裏都會為他而慶祝的理由。
[00:06:00.000 --> 00:06:02.000]  結婚周年紀念?
[00:06:02.000 --> 00:06:07.000]  可能不是了,起碼現在最需要選了給他。
[00:06:07.000 --> 00:06:14.000]  不過我都選擇了,我都再選擇了。
[00:06:14.000 --> 00:06:19.000]  我不是教大家的婚姻,我是講恩善而已。
[00:06:19.000 --> 00:06:22.000]  值得歡慶的理由是什麼呢?
[00:06:22.000 --> 00:06:24.000]  移民出來加拿大?
