
[00:00:00.000 --> 00:00:01.360]  弟兄姊妹不安
[00:00:01.360 --> 00:00:03.560]  讓我們去聆聽上帝的話語的時候
[00:00:03.560 --> 00:00:06.720]  我們一同去禱告
[00:00:06.720 --> 00:00:07.840]  親愛的父上帝
[00:00:07.840 --> 00:00:11.640]  感謝祢藉著聖經賜下祢的話語
[00:00:11.640 --> 00:00:13.400]  我們知道祢的說話
[00:00:13.400 --> 00:00:15.240]  很多時候我們讀的時候
[00:00:15.240 --> 00:00:18.320]  我們是在對應我們的內心
[00:00:18.320 --> 00:00:20.920]  一些很真實的狀態
[00:00:20.920 --> 00:00:22.880]  求上帝祢的聖靈
[00:00:22.880 --> 00:00:26.120]  去到世上教導我們祢的真理
[00:00:26.120 --> 00:00:30.280]  以致讓我們不斷學習一個受教的心
[00:00:30.280 --> 00:00:33.360]  讓祢的話語不斷更新我們的生命
[00:00:33.360 --> 00:00:36.360]  讓我們稍後閱讀祢的話
[00:00:36.360 --> 00:00:37.680]  研讀祢的話的時候
[00:00:37.680 --> 00:00:40.880]  我們會有上帝祢聖靈的光照提醒
[00:00:40.880 --> 00:00:42.840]  讓我們的生命有成長
[00:00:42.840 --> 00:00:44.080]  求主隨我們祈禱
[00:00:44.080 --> 00:00:44.840]  以上基督教課
[00:00:44.840 --> 00:00:46.600]  奉主耶穌基督名字
[00:00:46.600 --> 00:00:50.080]  今天會和大家分享的講題是
[00:00:50.080 --> 00:00:52.000]  「受教成長走澤路」
[00:00:52.000 --> 00:00:54.760]  其實大家剛才讀經文的時候
[00:00:54.760 --> 00:00:56.240]  大家一起讀的時候
[00:00:56.240 --> 00:00:58.080]  那種感覺是怎樣呢?
[00:00:58.080 --> 00:01:00.040]  受教
[00:01:00.040 --> 00:01:01.040]  哇!管教
[00:01:01.040 --> 00:01:02.600]  哇!右邊打他們的兒子
[00:01:02.600 --> 00:01:06.240]  哇!現在還要看佛嗎?
[00:01:06.240 --> 00:01:09.400]  不知道大家聽這段經文的時候
[00:01:09.400 --> 00:01:13.200]  你內心覺得有什麼感覺呢?
[00:01:13.200 --> 00:01:14.760]  在信仰的律圖上
[00:01:14.760 --> 00:01:16.800]  好像很少人講管教
[00:01:16.800 --> 00:01:18.440]  好像我在信仰裡面
[00:01:18.440 --> 00:01:21.160]  就是說有恩典、有平安
[00:01:21.160 --> 00:01:22.440]  是好事來的
[00:01:22.440 --> 00:01:25.520]  但是上帝為什麼要管教我們呢?
[00:01:25.520 --> 00:01:28.520]  這是我今天很想和大家藉著這段經文
[00:01:28.520 --> 00:01:30.640]  一起思考的課題
[00:01:30.640 --> 00:01:33.920]  其實我們正面對一個很嚴峻的世代
[00:01:33.920 --> 00:01:35.040]  我們的世代
[00:01:35.040 --> 00:01:36.760]  自從我加入了美根堂
[00:01:36.760 --> 00:01:38.320]  都接近一年的時間
[00:01:38.320 --> 00:01:40.600]  全部都是在疫情之下進行
[00:01:40.600 --> 00:01:41.840]  我有很多弟兄姊妹
[00:01:41.840 --> 00:01:44.000]  其實我都沒有在實體裡面見過
[00:01:44.000 --> 00:01:44.960]  反覆的疫情
[00:01:44.960 --> 00:01:46.200]  到了第四波
[00:01:46.200 --> 00:01:48.440]  每天都還是有二十多宗
[00:01:48.440 --> 00:01:51.680]  即是雙位數字的確診個案
[00:01:51.680 --> 00:01:54.320]  對於整個香港社會
[00:01:54.320 --> 00:01:56.720]  教會都有很大的挑戰
[00:01:56.720 --> 00:01:58.760]  我去牧羊有很多職場的信徒
[00:01:58.760 --> 00:02:00.240]  有一些弟兄姊妹
[00:02:00.240 --> 00:02:03.680]  他已經要面對一個宣誓的抉擇
[00:02:03.680 --> 00:02:06.120]  在他的職業上面
[00:02:06.120 --> 00:02:07.440]  他要去想
[00:02:07.440 --> 00:02:10.760]  究竟當政府要去到他
[00:02:10.760 --> 00:02:15.760]  要他將他的職份和他內心一些的
[00:02:15.760 --> 00:02:18.520]  相信去到掛勾的時候
[00:02:18.520 --> 00:02:20.760]  他怎樣去抉擇呢?
[00:02:20.760 --> 00:02:25.040]  然後就算你說我不是在那裡工作
[00:02:25.040 --> 00:02:27.880]  這個紅線都不斷地在延伸
[00:02:27.880 --> 00:02:30.840]  在我們身邊每一個角落
[00:02:30.840 --> 00:02:32.560]  這個執法
[00:02:32.560 --> 00:02:36.800]  對於究竟這件事怎樣去詮釋
[00:02:36.800 --> 00:02:40.120]  我們今天很多的迷惘
[00:02:40.120 --> 00:02:42.160]  因為這個已經不是我們所熟悉的
