
[00:00:00.000 --> 00:00:02.300]  今日我會跟大家講道
[00:00:02.300 --> 00:00:05.380]  繼續去到《使徒信經》第三部份
[00:00:05.380 --> 00:00:07.680]  關於聖靈的部份
[00:00:07.680 --> 00:00:09.980]  而今日去到第三篇講章
[00:00:09.980 --> 00:00:14.080]  這篇講章我相信很多教會都未必會講這個題目
[00:00:14.080 --> 00:00:16.380]  甚至無論是甚麼宗派也好
[00:00:16.380 --> 00:00:19.960]  都極少去講一個這樣的題目
[00:00:19.960 --> 00:00:23.040]  是關於聖靈的洗
[00:00:23.040 --> 00:00:24.080]  聖靈的洗
[00:00:24.080 --> 00:00:26.620]  我們很多時會講浸禮
[00:00:26.620 --> 00:00:28.420]  當我們要受浸
[00:00:28.420 --> 00:00:33.020]  我們確句班一定會有一堂講到甚麼叫浸禮
[00:00:33.020 --> 00:00:34.300]  為甚麼要受浸
[00:00:34.300 --> 00:00:37.640]  但在確句班或這些所謂受浸班
[00:00:37.640 --> 00:00:41.480]  從來沒有人會講甚麼叫聖靈的洗
[00:00:41.480 --> 00:00:42.500]  為甚麼呢
[00:00:42.500 --> 00:00:44.800]  因為我們經常覺得不需要講
[00:00:44.800 --> 00:00:45.820]  為甚麼不需要講呢
[00:00:45.820 --> 00:00:47.620]  我一會兒講道會分析
[00:00:47.620 --> 00:00:49.160]  為甚麼說不需要講
[00:00:49.160 --> 00:00:50.440]  亦都可能我不懂得講
[00:00:50.440 --> 00:00:51.460]  即是不懂得講就不講
[00:00:51.460 --> 00:00:52.480]  你知很流行
[00:00:52.480 --> 00:00:53.760]  不懂得講就不講
[00:00:53.760 --> 00:00:55.560]  免得被人挑戰
[00:00:55.560 --> 00:00:58.880]  所以當我們去思考這個題目的時候
[00:00:58.880 --> 00:01:00.680]  我覺得是很重要
[00:01:00.680 --> 00:01:02.480]  很重要的原因就是因為
[00:01:02.480 --> 00:01:05.280]  現在很多教會教會之間
[00:01:05.280 --> 00:01:06.820]  很多的誤解
[00:01:06.820 --> 00:01:09.900]  很多特別是對聖靈的誤解
[00:01:09.900 --> 00:01:12.460]  就因為我們有時搞不通
[00:01:12.460 --> 00:01:14.760]  甚麼叫做聖靈的洗
[00:01:14.760 --> 00:01:16.560]  甚麼叫做聖靈的充滿
[00:01:16.560 --> 00:01:18.600]  甚麼叫做聖靈的囂冠
[00:01:18.600 --> 00:01:20.400]  甚麼叫做聖靈的臨在
[00:01:20.400 --> 00:01:21.420]  在聖經那邊
[00:01:21.420 --> 00:01:23.460]  我們經常看到這些名稱
[00:01:23.460 --> 00:01:24.740]  這些術語
