
[00:00:00.000 --> 00:00:02.040]  我想和大家介紹一個人物
[00:00:02.040 --> 00:00:03.580]  請給我一個powerpoint
[00:00:03.580 --> 00:00:06.640]  我相信大家都會認識他
[00:00:06.640 --> 00:00:10.140]  Charlie Chaplin
[00:00:10.140 --> 00:00:17.160]  他活躍的年代差不多是100年前開始
[00:00:17.160 --> 00:00:19.840]  他死的年代是我出生的年代
[00:00:19.840 --> 00:00:22.320]  所以大家都知道我有相當的年齡
[00:00:22.320 --> 00:00:27.080]  我相信大家就算沒有看過他的作品
[00:00:27.080 --> 00:00:28.160]  都知道他是誰
[00:00:28.160 --> 00:00:29.360]  有沒有人不認識他
[00:00:30.000 --> 00:00:32.920]  有都不敢舉手
[00:00:32.920 --> 00:00:34.160]  讓我這樣說
[00:00:34.160 --> 00:00:37.400]  他是當時的默劇大師
[00:00:37.400 --> 00:00:40.640]  當時的電影沒得說話
[00:00:40.640 --> 00:00:42.760]  不斷地轉來轉去
[00:00:42.760 --> 00:00:44.000]  很多人很喜歡他
[00:00:44.000 --> 00:00:46.920]  簡直成為喜劇界的巨星
[00:00:46.920 --> 00:00:49.600]  也可以說是一個icon的人物
[00:00:49.600 --> 00:00:50.680]  他是英國人
[00:00:50.680 --> 00:00:53.000]  但他去到美國都很紅
[00:00:53.000 --> 00:00:54.880]  在1915年的時候
[00:00:54.880 --> 00:01:00.600]  就已經令到美國普通街道都有人用耳撇子扮他
[00:01:00.600 --> 00:01:02.600]  他這麼紅的程度
[00:01:02.600 --> 00:01:03.720]  不單止有人喜歡他
[00:01:03.720 --> 00:01:04.560]  都喜歡學他
[00:01:04.560 --> 00:01:06.160]  這個都可以理解的
[00:01:06.160 --> 00:01:08.160]  但到了一個地步
[00:01:08.160 --> 00:01:13.160]  很多扮Charlie的比賽發生了
[00:01:13.160 --> 00:01:15.240]  你看到這個情況
[00:01:15.240 --> 00:01:20.440]  所有人都用耳撇子在扮他的動作
[00:01:20.440 --> 00:01:22.720]  扮他的舉動
[00:01:22.720 --> 00:01:27.160]  話說1921年
[00:01:27.160 --> 00:01:31.680]  在加州有一個扮Charlie的比賽
[00:01:31.680 --> 00:01:32.640]  Charlie貪得意
[00:01:32.640 --> 00:01:34.920]  他自己去報賣
[00:01:34.920 --> 00:01:36.520]  不過他沒有扮耳撇子
[00:01:36.520 --> 00:01:37.880]  他不貼上鬍鬚
[00:01:37.880 --> 00:01:38.920]  他的樣子就不太像
[00:01:38.920 --> 00:01:40.480]  他的樣子都挺不同的
[00:01:40.480 --> 00:01:44.160]  在那個比賽裡面有40個人參加
