
[00:00:00.000 --> 00:00:09.000]  在聖經裡有四篇很有名的臨別贈言
[00:00:09.000 --> 00:00:18.000]  上個月我講過的是摩西的臨別贈言
[00:00:18.000 --> 00:00:19.000]  今個月是講約書
[00:00:19.000 --> 00:00:21.000]  這個月會講耶穌亞
[00:00:21.000 --> 00:00:25.000]  應該本來還有耶穌的臨別贈言
[00:00:25.000 --> 00:00:27.000]  和保羅的臨別贈言
[00:00:27.000 --> 00:00:35.000]  但是已經沒有時間分享了
[00:00:35.000 --> 00:00:38.000]  在管理學裡有一個概念
[00:00:38.000 --> 00:00:47.000]  叫做鯰魚效應(Catfish Effect)
[00:00:47.000 --> 00:00:50.000]  是一種民間智慧
[00:00:50.000 --> 00:00:59.000]  是向一些專門捕捉沙丁魚的漁民學到的一門管理學概念
[00:00:59.000 --> 00:01:07.000]  是專門捕捉沙丁魚的漁夫學習的一門專門管理學的智慧
[00:01:07.000 --> 00:01:16.000]  據說活的沙丁魚的價錢比冰鮮的沙丁魚貴好幾倍
[00:01:16.000 --> 00:01:22.000]  據說活的沙丁魚的價錢比冷凍的沙丁魚價錢貴好幾倍
[00:01:22.000 --> 00:01:31.000]  因為無論活的沙丁魚在口感和肉質上都比冰鮮美味
[00:01:31.000 --> 00:01:34.000]  不管在口感還是肉質上
[00:01:34.000 --> 00:01:38.000]  活的沙丁魚都是比冷凍的美味
[00:01:38.000 --> 00:01:41.000]  所以那些漁夫捕捉到沙丁魚之後
[00:01:41.000 --> 00:01:44.000]  所以漁夫們捕捉到沙丁魚之後
[00:01:44.000 --> 00:01:46.000]  無論為了價錢
[00:01:46.000 --> 00:01:47.000]  無論是為了價錢
[00:01:47.000 --> 00:01:49.000]  所以他們就想盡辦法
[00:01:49.000 --> 00:01:56.000]  希望在漁船回程的路程上確保那些沙丁魚能夠活著
[00:01:56.000 --> 00:01:58.000]  就是為了那個價錢的緣故
[00:01:58.000 --> 00:02:02.000]  所以漁夫們就在捕魚回程的路上
[00:02:02.000 --> 00:02:06.000]  想盡辦法確保沙丁魚能夠繼續活著
[00:02:06.000 --> 00:02:10.000]  但是因為那些沙丁魚就很容易死亡
[00:02:10.000 --> 00:02:13.000]  可是沙丁魚本身就很容易死亡
[00:02:13.000 --> 00:02:17.000]  有一次他們無意中在那些沙丁魚的魚群裏面
[00:02:17.000 --> 00:02:21.000]  有一次漁夫們無意之中在沙丁魚的魚群當中發現
[00:02:21.000 --> 00:02:22.000]  附入了幾條鯰魚
[00:02:22.000 --> 00:02:24.000]  混入了幾條鯰魚
[00:02:24.000 --> 00:02:26.000]  由於兩種魚的特性不同
[00:02:26.000 --> 00:02:29.000]  由於兩種魚的特性不一樣
[00:02:29.000 --> 00:02:31.000]  沙丁魚是那些群聚居
[00:02:31.000 --> 00:02:33.000]  就是喜歡聚在一起
[00:02:33.000 --> 00:02:35.000]  因為體積小喜歡聚在一起的魚
[00:02:35.000 --> 00:02:37.000]  因為沙丁魚的體質比較小
[00:02:37.000 --> 00:02:39.000]  所以他們比較喜歡群聚在一起
[00:02:39.000 --> 00:02:43.000]  那些鯰魚去到一個陌生環境
[00:02:43.000 --> 00:02:46.000]  那麼鯰魚去到一個陌生的環境
[00:02:46.000 --> 00:02:50.000]  他們就會四處的游動去探索那個環境
[00:02:50.000 --> 00:02:53.000]  鯰魚就會四處的游動去探索環境
[00:02:53.000 --> 00:02:58.000]  但是這個行動就帶來給那些沙丁魚一種威脅
[00:02:58.000 --> 00:03:01.000]  但是鯰魚這種行動卻為沙丁魚帶來一種威脅
[00:03:01.000 --> 00:03:05.000]  他們覺得這些鯰魚好像是沖著他們而來
[00:03:05.000 --> 00:03:07.000]  或者將他們作為食物
[00:03:07.000 --> 00:03:10.000]  沙丁魚會覺得鯰魚是沖著他們而來
[00:03:10.000 --> 00:03:14.000]  以為沙丁魚是能夠當成他們的食物
[00:03:14.000 --> 00:03:16.000]  他們就產生那些危機
[00:03:16.000 --> 00:03:20.000]  所以那些鯰魚游去這個方向
[00:03:20.000 --> 00:03:22.000]  他們就要逃去另一個方向
[00:03:22.000 --> 00:03:24.000]  那麼鯰魚游向這個方向
[00:03:24.000 --> 00:03:26.000]  沙丁魚就往另外一個方向逃
[00:03:26.000 --> 00:03:31.000]  結果就因為這個巧合
[00:03:31.000 --> 00:03:40.000]  導致這些沙丁魚在過程裡面不斷地大量的活動
[00:03:40.000 --> 00:03:45.000]  導致那些沙丁魚在這個游動的過程當中不斷的游動
[00:03:45.000 --> 00:03:48.000]  那個生存率就大大的增加
[00:03:48.000 --> 00:03:52.000]  這個就所謂的鯰魚效應
[00:03:52.000 --> 00:03:54.000]  這個就是所謂的鯰魚效應
[00:03:54.000 --> 00:03:58.000]  鯰魚效應在管理學那裡就被應用出來
[00:03:58.000 --> 00:04:01.000]  鯰魚效應在管理學當中就被應用出來
[00:04:01.000 --> 00:04:05.000]  他們應用在人力資源或者團體管理的領域裡面
[00:04:05.000 --> 00:04:09.000]  就是應用在人力資源還有團體管理的領域裡面
[00:04:09.000 --> 00:04:16.000]  他們就說如果在一個對一個長時間一成不變的團體
[00:04:16.000 --> 00:04:21.000]  管理學家認為如果一群人在一成不變
[00:04:21.000 --> 00:04:26.000]  長時間一成不變的團體當中
[00:04:26.000 --> 00:04:31.000]  或者有些很根深蒂固的傳統
[00:04:31.000 --> 00:04:36.000]  或者是很缺乏活力的團隊
[00:04:36.000 --> 00:04:44.000]  如果引入一些獨排眾議的人在團體當中
[00:04:44.000 --> 00:04:50.000]  讓原有的成員有一種危機的意識
[00:04:50.000 --> 00:04:55.000]  就可以重新燃起鬥志
[00:04:55.000 --> 00:04:58.000]  但是理論歸理論
[00:04:58.000 --> 00:05:02.000]  對以色列人一個根本不願改變的群體
[00:05:02.000 --> 00:05:06.000]  對以色列人這個根本不願意改變的群體來說
[00:05:06.000 --> 00:05:10.000]  或者可能大家都曾經試過去一些
[00:05:10.000 --> 00:05:13.000]  很有歷史悠久的公司那裡做事
[00:05:13.000 --> 00:05:18.000]  大家可能也曾經到過一些歷史悠久的公司工作
[00:05:18.000 --> 00:05:20.000]  無論你想怎麼改變他們的觀念
[00:05:20.000 --> 00:05:23.000]  無論你想你多想去改變他們的觀念
[00:05:23.000 --> 00:05:27.000]  都是白白浪費氣力
