
[00:00:00.000 --> 00:00:05.200]  上星期我們看到司徒行傳第九章
[00:00:05.200 --> 00:00:08.600]  主耶穌向掃羅顯現
[00:00:08.600 --> 00:00:13.000]  將這位恐怖分子改變過來
[00:00:13.000 --> 00:00:16.800]  從迫害基督徒的猶太教狂熱分子
[00:00:16.800 --> 00:00:21.400]  變成了耶穌基督的門徒
[00:00:21.400 --> 00:00:26.000]  也是很熱心傳福音的門徒
[00:00:26.000 --> 00:00:28.800]  今天我們看第十章
[00:00:28.800 --> 00:00:30.800]  在第十章的經文裏面
[00:00:30.800 --> 00:00:32.800]  掃羅暫時不見了
[00:00:32.800 --> 00:00:35.400]  我們不要看他的故事了
[00:00:35.400 --> 00:00:40.200]  而是看到彼得打開了向外邦人
[00:00:40.200 --> 00:00:43.800]  信福音的大門
[00:00:43.800 --> 00:00:45.800]  彼得可以說是
[00:00:45.800 --> 00:00:49.800]  耶穌基督十二使徒裏面的發言人
[00:00:49.800 --> 00:00:54.800]  也是主耶穌曾經對他講過
[00:00:54.800 --> 00:00:59.800]  我告訴你,你是彼得,是盤石,在這盤石上
[00:00:59.800 --> 00:01:02.800]  我要建立我的教會
[00:01:02.800 --> 00:01:06.800]  甚至死亡的權勢不能勝過他
[00:01:06.800 --> 00:01:11.800]  由彼得打開向外邦人信福音
[00:01:11.800 --> 00:01:15.800]  可以成為上帝的兒女這一扇大門
[00:01:15.800 --> 00:01:18.800]  是非常恰當的
[00:01:18.800 --> 00:01:21.800]  當然上帝做的事一定是正確的
[00:01:21.800 --> 00:01:25.800]  今天我們所讀的經文比較長
[00:01:25.800 --> 00:01:28.800]  我們打開聖經一起來思想
[00:01:28.800 --> 00:01:32.800]  今天第一節的經文就提到凱撒尼亞
[00:01:32.800 --> 00:01:36.800]  其實上個星期我們都看見有些門徒
[00:01:36.800 --> 00:01:40.800]  帶了掃羅來這個城
[00:01:40.800 --> 00:01:43.800]  在以後使徒行者的經文裏面
[00:01:43.800 --> 00:01:46.800]  這個城都會再次出現
[00:01:46.800 --> 00:01:51.800]  或者讓我們稍為了解一下這個城的歷史的重要性
[00:01:51.800 --> 00:01:53.800]  我們先看一幅地圖
[00:01:53.800 --> 00:01:59.800]  大約知道凱撒尼亞的地理位置
[00:01:59.800 --> 00:02:02.800]  凱撒尼亞就在這裏
[00:02:02.800 --> 00:02:05.800]  和耶路撒冷,耶路撒冷在這裏
[00:02:05.800 --> 00:02:08.800]  但是耶路撒冷在山上,下去比較容易
[00:02:08.800 --> 00:02:12.800]  約柏今天會提到,就在那裏
[00:02:12.800 --> 00:02:16.800]  約柏去凱撒尼亞騎馬半天就可以到達
[00:02:16.800 --> 00:02:21.800]  但是如果走路就要兩天
[00:02:21.800 --> 00:02:25.800]  這個城大約在主前三十年
[00:02:25.800 --> 00:02:29.800]  希律大帝,耶穌出世時的希律大帝
[00:02:29.800 --> 00:02:34.800]  希律大帝被封為猶大地區的總督
[00:02:34.800 --> 00:02:42.800]  他花了十二年的時間建設這個凱撒尼亞城和港口
[00:02:42.800 --> 00:02:46.800]  是一個港口的城
[00:02:46.800 --> 00:02:49.800]  將這個城叫做凱撒尼亞
[00:02:49.800 --> 00:02:53.800]  是用來紀念羅馬的皇帝
[00:02:53.800 --> 00:03:00.800]  羅馬皇帝,那時的羅馬皇帝是奧古斯督
[00:03:00.800 --> 00:03:07.800]  之後羅馬管轄撒瑪利亞和猶大
[00:03:07.800 --> 00:03:10.800]  都是以這個城做他們的首府
[00:03:10.800 --> 00:03:15.800]  也成為了希律家族和羅馬總督的官邸
[00:03:15.800 --> 00:03:18.800]  總督府就在那裏
[00:03:18.800 --> 00:03:23.800]  所以這個城在政治上是一個很重要的城市
[00:03:23.800 --> 00:03:27.800]  有羅馬駐軍
[00:03:27.800 --> 00:03:31.800]  第一節經文提到意大利營的軍官
[00:03:31.800 --> 00:03:34.800]  名叫哥尼劉就在這裏
[00:03:34.800 --> 00:03:39.800]  華本將軍官翻譯為伯夫長
[00:03:39.800 --> 00:03:42.800]  差不多等於宗教的官階
[00:03:42.800 --> 00:03:45.800]  不是很高也不低
[00:03:45.800 --> 00:03:49.800]  第一節還提到哥尼劉本來都是相信上帝的人
[00:03:49.800 --> 00:03:51.800]  敬拜上帝的
[00:03:51.800 --> 00:03:55.800]  第二節就形容他是一個虔誠的人
