
[00:00:00.000 --> 00:00:07.360]  早晨 今天是甚麼日子 在澳洲甚麼都不是
[00:00:07.360 --> 00:00:15.040]  在澳洲只不過是普通的一個住日 我們來到新的緬甸來敬拜祂
[00:00:15.040 --> 00:00:19.200]  澳洲的父親節是甚麼時候 9月
[00:00:19.200 --> 00:00:22.240]  我初來香港 初來拍屍的時候都不知道
[00:00:22.240 --> 00:00:28.240]  到6月的時候我就跟教會說 要預備父親節的禮物
[00:00:28.240 --> 00:00:34.240]  他們說「這麼早?」 我說「不是6月嗎?我們快到了」
[00:00:34.240 --> 00:00:38.240]  「不是啊 澳洲的父親節不是6月啊」
[00:00:38.240 --> 00:00:46.240]  當時我也有點尷尬 剛才唱的馮獻詩唱到頸都…
[00:00:46.240 --> 00:00:50.240]  以後不要選這麼高的
[00:00:50.240 --> 00:00:58.240]  我說「原來在9月」 有點尷尬 也有點生氣
[00:00:58.240 --> 00:01:03.240]  為甚麼澳洲就要父親節在9月呢 不可以像其他國家
[00:01:03.240 --> 00:01:09.240]  好像香港 像大陸那樣 在第三個住日 就是6月
[00:01:09.240 --> 00:01:13.240]  後來才發覺到 原來都不只是澳洲
[00:01:13.240 --> 00:01:17.240]  父親節在9月 或者不在6月
[00:01:17.240 --> 00:01:23.240]  在台灣 幾月啊 8月8號 爸爸節嘛
[00:01:23.240 --> 00:01:28.240]  那麼多事啊 然後
[00:01:28.240 --> 00:01:32.240]  還有一個姐妹告訴我 她是在丹麥的
[00:01:32.240 --> 00:01:37.240]  她告訴我 丹麥都不是啊 都不是6月第三個住日
[00:01:37.240 --> 00:01:42.240]  不過都是6月 只不過好像是定一個8號還是甚麼時候
[00:01:42.240 --> 00:01:47.240]  所以原來很多國家的做法都有各自的父親節
[00:01:47.240 --> 00:01:52.240]  但是母親節就很統一 就是5月的第二個住日
[00:01:52.240 --> 00:01:57.240]  可能父親節不是這麼重要
[00:01:57.240 --> 00:02:03.240]  我也曾經見過
[00:02:03.240 --> 00:02:09.240]  一個這樣的調查 或者一個這樣的問卷
[00:02:09.240 --> 00:02:15.240]  問人家對父親的形象是怎樣的
[00:02:15.240 --> 00:02:20.240]  那你猜猜 父親的形象應該是怎樣的呢
[00:02:20.240 --> 00:02:25.240]  就有人填表 填出來的結果大概就是這樣的
[00:02:25.240 --> 00:02:30.240]  就是 下班回家就是看電視
[00:02:30.240 --> 00:02:34.240]  就是坐著看電視
[00:02:34.240 --> 00:02:40.240]  那其實你以為做父親的都是想看電視嗎
[00:02:40.240 --> 00:02:43.240]  其實不是啊 他們在外面工作太累
[00:02:43.240 --> 00:02:47.240]  回到家裡其實是睡覺
[00:02:47.240 --> 00:02:53.240]  很多人坐著 很多爸爸坐著看電視其實是睡覺
[00:02:53.240 --> 00:02:58.240]  關了電視他就醒了 那你再開電視他又再睡
[00:02:58.240 --> 00:03:02.240]  這個就是一般爸爸的形象
[00:03:02.240 --> 00:03:07.240]  第二個形象就是說 經常眼睛定定看手機或者對著電腦
[00:03:07.240 --> 00:03:10.240]  那好像這個不只是爸爸會這樣 是吧
[00:03:10.240 --> 00:03:15.240]  就是今天的媽媽或者今天的所有的人都會這樣
[00:03:15.240 --> 00:03:18.240]  這個不是什麼特別
[00:03:18.240 --> 00:03:24.240]  那第三個呢 和子女聊天一天都不足 不是30分鐘
[00:03:24.240 --> 00:03:27.240]  30秒啊 這麼少
[00:03:27.240 --> 00:03:33.240]  那在我家裡不會發生了 是不是很多爸爸和兒女的聊天
[00:03:33.240 --> 00:03:39.240]  都是一天不足30秒呢 問自己
[00:03:39.240 --> 00:03:45.240]  第四個就是對兒女無不關心 是不是這樣的
[00:03:45.240 --> 00:03:49.240]  那些爸爸很隱藏的嘛 就算很關心某個人
[00:03:49.240 --> 00:03:53.240]  就算很愛某個人 他們都不會發聲的嘛
[00:03:53.240 --> 00:03:55.240]  或者不會表達的嘛
[00:03:55.240 --> 00:04:03.240]  可能這些就是給人對爸爸的一種比較負面的一些印象
[00:04:03.240 --> 00:04:09.240]  但是其實世界上還有很多很好的爸爸
[00:04:09.240 --> 00:04:15.240]  不要一下子就把爸爸定為一種這樣的形象
[00:04:15.240 --> 00:04:17.240]  這樣是很不公平的
[00:04:17.240 --> 00:04:21.240]  難怪有一個小孩和他的媽媽聊天
