
[00:00:00.000 --> 00:00:01.780]  弟兄姊妹祝你平安
[00:00:01.780 --> 00:00:04.420]  在家的弟兄姊妹朋友祝你平安
[00:00:04.420 --> 00:00:07.420]  讓開始之先有個祈禱
[00:00:07.420 --> 00:00:08.520]  身為加巴天父
[00:00:08.520 --> 00:00:11.220]  我們在你面前
[00:00:11.220 --> 00:00:14.220]  主要真是求你去憐憫
[00:00:14.220 --> 00:00:19.860]  求你真是讓我們能夠可以在靈命上覺醒
[00:00:19.860 --> 00:00:22.800]  因為剛才好像主任牧師所說的
[00:00:22.800 --> 00:00:25.100]  我們是從黑暗進入光明
[00:00:25.100 --> 00:00:29.400]  但往往我們有自願的去返回黑暗
[00:00:29.400 --> 00:00:31.400]  我們有很多的行為
[00:00:31.400 --> 00:00:32.740]  我們的思想
[00:00:32.740 --> 00:00:36.840]  都不是在主你的大令掌管下
[00:00:36.840 --> 00:00:38.340]  求你憐憫
[00:00:38.340 --> 00:00:40.840]  求你今日親自和每一位說話
[00:00:40.840 --> 00:00:42.180]  改變我們的生命
[00:00:42.180 --> 00:00:43.740]  改變我們的思想
[00:00:43.740 --> 00:00:45.280]  改變我們的祈禱
[00:00:45.280 --> 00:00:47.080]  祈禱交託奉主名而求
[00:00:47.080 --> 00:00:48.820]  阿們
[00:00:48.820 --> 00:00:51.620]  有人去調查美國那邊
[00:00:51.620 --> 00:00:53.920]  就說COVID-19之後
[00:00:53.920 --> 00:00:57.560]  美國很多人的祈禱生活多了
[00:00:57.560 --> 00:00:59.100]  哪怕你是基督徒
[00:00:59.100 --> 00:01:00.660]  哪怕你不是基督徒
[00:01:00.660 --> 00:01:01.760]  其他的信仰
[00:01:01.760 --> 00:01:03.700]  甚至乎是沒有信仰
[00:01:03.700 --> 00:01:05.600]  沒有回教會沒有宗教的
[00:01:05.600 --> 00:01:07.340]  甚至乎是無神論者
[00:01:07.340 --> 00:01:12.580]  竟然調查發現他們的祈禱是多了
[00:01:12.580 --> 00:01:15.180]  我不知道你們今天或者這段期間
