
[00:00:00.000 --> 00:00:02.000]  和你旁邊的人說
[00:00:02.000 --> 00:00:05.000]  你真的有福
[00:00:05.000 --> 00:00:16.000]  我們只是讀三節經文就有福了
[00:00:16.000 --> 00:00:21.000]  感謝神
[00:00:21.000 --> 00:00:24.000]  因為這段經文我們剛剛讀的話
[00:00:24.000 --> 00:00:25.000]  跟我們說
[00:00:25.000 --> 00:00:28.000]  如果我們讀《啟示錄時有福的》
[00:00:28.000 --> 00:00:33.000]  其實《啟示錄》裡面有很多處的經文
[00:00:33.000 --> 00:00:36.000]  都跟我們說有福這件事
[00:00:36.000 --> 00:00:38.000]  我們看到第三節
[00:00:38.000 --> 00:00:39.000]  我們一起再讀
[00:00:39.000 --> 00:00:42.000]  眾的者書上語言的
[00:00:42.000 --> 00:00:47.000]  和那些聽見又遵守其中所記載的
[00:00:47.000 --> 00:00:49.000]  都是有福的
[00:00:49.000 --> 00:00:51.000]  因為時間緊繞
[00:00:51.000 --> 00:00:54.000]  其實《啟示錄》是聖經裡面
[00:00:54.000 --> 00:00:57.000]  六十六卷的經文書卷
[00:00:57.000 --> 00:00:59.000]  聖經有六十六卷
[00:00:59.000 --> 00:01:03.000]  唯一的地方是主應許
[00:01:03.000 --> 00:01:08.000]  我們凡讀《啟示錄》這本書的內容的人
[00:01:08.000 --> 00:01:10.000]  是有福的
[00:01:10.000 --> 00:01:14.000]  還有沒有人以前已經讀過的
[00:01:14.000 --> 00:01:15.000]  有沒有
[00:01:15.000 --> 00:01:16.000]  《啟示錄》
[00:01:16.000 --> 00:01:17.000]  有沒有
[00:01:17.000 --> 00:01:19.000]  還沒讀嗎
[00:01:19.000 --> 00:01:23.000]  應許來的
[00:01:23.000 --> 00:01:25.000]  什麼叫做有福
[00:01:25.000 --> 00:01:28.000]  有福就是神給你的恩惠
[00:01:28.000 --> 00:01:30.000]  給你的慈愛
[00:01:30.000 --> 00:01:32.000]  給你的豐富
[00:01:32.000 --> 00:01:35.000]  這個就是一個有福的人
[00:01:35.000 --> 00:01:37.000]  當然
[00:01:37.000 --> 00:01:38.000]  這一段經文
[00:01:38.000 --> 00:01:40.000]  它說我們需要領受
[00:01:40.000 --> 00:01:42.000]  這個有福的時候
[00:01:42.000 --> 00:01:44.000]  我們有一個前提
[00:01:44.000 --> 00:01:45.000]  這個前提是什麼
[00:01:45.000 --> 00:01:48.000]  這個前提是我們需要去重讀
[00:01:48.000 --> 00:01:51.000]  聽見和去進行
[00:01:51.000 --> 00:01:54.000]  是不是我們眼睛好一點的人
[00:01:54.000 --> 00:01:56.000]  我們就多讀一點
[00:01:56.000 --> 00:01:57.000]  是不是
[00:01:57.000 --> 00:01:59.000]  你就會去讀嘛
[00:01:59.000 --> 00:02:00.000]  因為你的眼睛好
[00:02:00.000 --> 00:02:04.000]  是不是我們眼睛已經看不好
[00:02:04.000 --> 00:02:08.000]  我們就用聽的那個方式
[00:02:08.000 --> 00:02:10.000]  因為你聽
[00:02:10.000 --> 00:02:13.000]  你看得模模嘛
[00:02:13.000 --> 00:02:15.000]  那你用聽的那個方式
[00:02:15.000 --> 00:02:18.000]  最近我去檢查眼睛
[00:02:18.000 --> 00:02:19.000]  一年一次好
[00:02:19.000 --> 00:02:21.000]  澳洲的政府真的好
[00:02:21.000 --> 00:02:24.000]  給我們每一年
[00:02:24.000 --> 00:02:25.000]  不是你們年輕人
[00:02:25.000 --> 00:02:27.000]  上了年紀的人
[00:02:27.000 --> 00:02:29.000]  你一年有一次
[00:02:29.000 --> 00:02:32.000]  如果你有Medicare Card
[00:02:32.000 --> 00:02:34.000]  你一年有一次去什麼
[00:02:34.000 --> 00:02:35.000]  檢查你的眼睛
[00:02:35.000 --> 00:02:36.000]  年輕一點
[00:02:36.000 --> 00:02:37.000]  你兩年一次
[00:02:37.000 --> 00:02:41.000]  因為他覺得你不會退化得這麼快
[00:02:41.000 --> 00:02:43.000]  那我每一年一次
[00:02:43.000 --> 00:02:44.000]  今年我去了
[00:02:44.000 --> 00:02:46.000]  今年我去的時候
[00:02:46.000 --> 00:02:48.000]  我的眼睛還更加差了
[00:02:48.000 --> 00:02:50.000]  所以我現在看下去
[00:02:50.000 --> 00:02:52.000]  你們每一個人
[00:02:52.000 --> 00:02:53.000]  都是很漂亮的
[00:02:53.000 --> 00:02:57.000]  因為是朦朦朧朧的那種感覺
[00:02:57.000 --> 00:02:58.000]  所以我時時
[00:02:58.000 --> 00:02:59.000]  那些人
[00:02:59.000 --> 00:03:01.000]  我時時不記得
[00:03:01.000 --> 00:03:02.000]  捻髮
[00:03:02.000 --> 00:03:04.000]  什麼叫捻髮
[00:03:04.000 --> 00:03:05.000]  染髮
[00:03:05.000 --> 00:03:07.000]  因為我自己看不到
[00:03:07.000 --> 00:03:09.000]  覺得他是黑的
[00:03:09.000 --> 00:03:13.000]  那我不單止是去檢查眼睛
[00:03:13.000 --> 00:03:14.000]  看得不是那麼好
[00:03:14.000 --> 00:03:18.000]  我去驗那個耳朵
[00:03:18.000 --> 00:03:21.000]  不是耳朵
[00:03:21.000 --> 00:03:23.000]  那我去檢查的時候
[00:03:23.000 --> 00:03:24.000]  那個人說
[00:03:24.000 --> 00:03:28.000]  你需要戴耳機了
[00:03:28.000 --> 00:03:30.000]  所以每一個人的人生
[00:03:30.000 --> 00:03:33.000]  都有不同的階段
[00:03:33.000 --> 00:03:34.000]  但這裡聖經說
[00:03:34.000 --> 00:03:36.000]  當我們可以看的時候
[00:03:36.000 --> 00:03:38.000]  還讀你需要去看
[00:03:38.000 --> 00:03:39.000]  快點去讀吧
[00:03:39.000 --> 00:03:42.000]  當你讀不到的時候
[00:03:42.000 --> 00:03:43.000]  你快點去聽吧
[00:03:43.000 --> 00:03:46.000]  那你又能夠讀又能夠聽
[00:03:46.000 --> 00:03:48.000]  更加好因為什麼
[00:03:48.000 --> 00:03:50.000]  這個是加深
[00:03:50.000 --> 00:03:53.000]  加強了你那個記憶
[00:03:53.000 --> 00:03:54.000]  你那個理解
[00:03:54.000 --> 00:03:58.000]  你那個神要跟你說的話
[00:03:58.000 --> 00:03:59.000]  啟示錄叫我們
[00:03:59.000 --> 00:04:01.000]  很多地方都有說
[00:04:01.000 --> 00:04:04.000]  凡有以的就是什麼
[00:04:04.000 --> 00:04:05.000]  應當聽
[00:04:05.000 --> 00:04:08.000]  所以我們知道中毒
[00:04:08.000 --> 00:04:09.000]  和聆聽
[00:04:09.000 --> 00:04:12.000]  都是其實是一個動詞
[00:04:12.000 --> 00:04:15.000]  是我們需要去做的一件事
[00:04:15.000 --> 00:04:17.000]  所以它是動詞
[00:04:17.000 --> 00:04:19.000]  不過它是屬於一個
[00:04:19.000 --> 00:04:22.000]  比較靜態的動詞
[00:04:22.000 --> 00:04:24.000]  因為你
[00:04:24.000 --> 00:04:26.000]  除非你家裡沒有什麼人
