
[00:00:00.000 --> 00:00:04.800]  無論人與人之間、機構與機構之間
[00:00:04.800 --> 00:00:07.400]  或者是國族與國族之間
[00:00:07.400 --> 00:00:10.200]  其實都難免會有衝突
[00:00:10.200 --> 00:00:15.400]  美國有一位研究衝突處理的學者
[00:00:15.400 --> 00:00:17.600]  他曾經提出過
[00:00:17.600 --> 00:00:21.200]  處理衝突原來可以有五種模式
[00:00:21.200 --> 00:00:25.200]  我就用這個圖表來表達
[00:00:25.200 --> 00:00:28.200]  這五種模式
[00:00:28.200 --> 00:00:33.400]  如果是高強硬、低合作的
[00:00:33.400 --> 00:00:36.200]  這個就是競爭
[00:00:36.200 --> 00:00:40.000]  如果是高合作、低強硬的
[00:00:40.000 --> 00:00:41.400]  這個就是讓步
[00:00:41.400 --> 00:00:42.600]  如果兩樣都低的
[00:00:42.600 --> 00:00:43.600]  這個就是逃避
[00:00:43.600 --> 00:00:45.200]  如此類推
[00:00:45.200 --> 00:00:49.000]  我現在用一個蘋果來表達
[00:00:49.000 --> 00:00:52.600]  這幾種模式
[00:00:52.600 --> 00:00:54.400]  假設有一個蘋果在這裡
[00:00:54.400 --> 00:00:56.800]  你又想吃,我又想吃
[00:00:56.800 --> 00:01:01.400]  那怎麼辦呢?怎麼處理衝突呢?
[00:01:01.400 --> 00:01:02.800]  如果我二話不說
[00:01:02.800 --> 00:01:05.200]  一手搶了一個蘋果
[00:01:05.200 --> 00:01:08.800]  我是用哪種模式呢?
[00:01:08.800 --> 00:01:10.600]  就是這種
[00:01:10.600 --> 00:01:13.400]  競爭,一手搶了
[00:01:13.400 --> 00:01:15.400]  高強硬、低合作
[00:01:15.400 --> 00:01:19.400]  如果我知道你喜歡吃蘋果
[00:01:19.400 --> 00:01:21.200]  不如我讓給你
[00:01:21.200 --> 00:01:23.000]  我不跟你爭,我讓給你,我不吃
[00:01:23.000 --> 00:01:25.800]  這是什麼模式呢?
[00:01:25.800 --> 00:01:27.800]  對,這是讓步
[00:01:27.800 --> 00:01:30.400]  如果我們兩個都不想爭
[00:01:30.400 --> 00:01:32.200]  兩個都不吃,反過來走
[00:01:32.200 --> 00:01:34.200]  那是什麼呢?
[00:01:34.200 --> 00:01:36.400]  對,逃避
[00:01:36.400 --> 00:01:38.800]  兩個都不吃,兩個都走
[00:01:38.800 --> 00:01:40.800]  不面對衝突
[00:01:40.800 --> 00:01:44.000]  如果我們不要爭
