
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹、各位來賓,早晨!
[00:00:03.000 --> 00:00:09.000]  很開心可以在年初八的日子裏,和大家一起分享神的說話。
[00:00:09.000 --> 00:00:13.000]  先在這裏恭祝大家新年蒙恩,子恩上載。
[00:00:13.000 --> 00:00:18.000]  今天我們是教會裏面的一個安德烈主日,
[00:00:18.000 --> 00:00:22.000]  即是一個聽耶穌基督的福音的日子。
[00:00:22.000 --> 00:00:25.000]  我相信在座當中裏面也有一些朋友,
[00:00:25.000 --> 00:00:30.000]  你是未認識福音或者未信主的,
[00:00:30.000 --> 00:00:33.000]  我都盼望你今天透過這一次的機會裏面,
[00:00:33.000 --> 00:00:41.000]  你對教會的信息,你對於基督教的真理有多一些的掌握。
[00:00:41.000 --> 00:00:47.000]  我想和大家先講一個事蹟,
[00:00:47.000 --> 00:00:52.000]  在2008年1月,在沙地阿拉伯的阿布扎地,
[00:00:52.000 --> 00:00:57.000]  就舉行了一個世界未來能源高峰會,
[00:00:57.000 --> 00:00:59.000]  The World Future Energy Summit。
[00:00:59.000 --> 00:01:08.000]  在這次峰會當中,阿布扎地的王儲就發佈了一個消息出來,
[00:01:08.000 --> 00:01:16.000]  他說他要打造一個零碳排放、零氣致廢物的環保都市,
[00:01:16.000 --> 00:01:20.000]  這座城市的名字就叫做馬斯達爾城。
[00:01:20.000 --> 00:01:27.000]  整個計劃的造價是高達220億美元。
[00:01:27.000 --> 00:01:32.000]  這座城市就位於阿布扎地市郊的地方,
[00:01:32.000 --> 00:01:39.000]  它是從零開始興建的一座全新以科技去打造的都市。
[00:01:39.000 --> 00:01:48.000]  在演說當中,王儲先生也表達了這座城市建造的目標是為了什麼。
[00:01:48.000 --> 00:01:56.000]  他告訴我們,我身為供應全球重要石化能源的阿布扎地的國家,
[00:01:56.000 --> 00:02:04.000]  我們是有義務和責任為這個世界繼續尋找能源的方案,
[00:02:04.000 --> 00:02:11.000]  而且這些方案更加包括一些新的不同類型的能源,
[00:02:11.000 --> 00:02:17.000]  也可以為我們的下一代尋找出更加美好的遺產。
[00:02:17.000 --> 00:02:25.000]  而興建馬斯達爾城也可以表達阿布扎地政府的實力,
[00:02:25.000 --> 00:02:29.000]  向世人宣示我們的能力。
[00:02:29.000 --> 00:02:34.000]  這座城市由2008年1月開始動工,
[00:02:34.000 --> 00:02:36.000]  經歷了金融海嘯,
[00:02:36.000 --> 00:02:45.000]  慢慢從一個電腦特技動畫,
[00:02:45.000 --> 00:02:50.000]  變成了一座已經建造出來的城市。
[00:02:50.000 --> 00:02:55.000]  當然馬斯達爾城是透過尖端的科技,
[00:02:55.000 --> 00:03:02.000]  也配合阿拉伯的地理和傳統智慧的概念所興建出來的。
[00:03:02.000 --> 00:03:08.000]  當中的太陽能設施已經全面運作,
[00:03:08.000 --> 00:03:13.000]  足足能夠滿足市內4萬人的需要,
[00:03:13.000 --> 00:03:18.000]  而剩餘的能源已經可以運到阿布扎地。
[00:03:18.000 --> 00:03:22.000]  種種創新的思維,科技的帶動下,
[00:03:22.000 --> 00:03:25.000]  以及精心建築的方案,
[00:03:25.000 --> 00:03:31.000]  令到馬斯達爾城如果和皮倫的迪拜比較的話,
[00:03:31.000 --> 00:03:34.000]  溫度是清涼很多的。
[00:03:34.000 --> 00:03:39.000]  這些都是科學家經過了一段時間的努力之後,
[00:03:39.000 --> 00:03:43.000]  才能夠抖量的成果。
[00:03:43.000 --> 00:03:46.000]  但對於現在的科學家來說,
[00:03:46.000 --> 00:03:51.000]  馬斯達爾城只是一間很大的實驗室,
[00:03:51.000 --> 00:03:54.000]  因為他和麻省理工一起合作,
[00:03:54.000 --> 00:03:57.000]  在當中已經開設了一間大學。
[00:03:57.000 --> 00:04:03.000]  能否做到當初阿布扎比王儲所定下的目標,
[00:04:03.000 --> 00:04:06.000]  依然是言之尚早。
[00:04:06.000 --> 00:04:11.000]  但我個人來說很欣賞馬斯達爾城的這種創新思維,
[00:04:11.000 --> 00:04:15.000]  對於能源和環保的盡心盡力,
[00:04:15.000 --> 00:04:19.000]  能夠做到零碳排放是非常不容易的。
