
[00:00:00.000 --> 00:00:02.000]  親愛的弟兄姊妹 平安
[00:00:02.000 --> 00:00:06.000]  也特別祝福我們中間做母親的
[00:00:06.000 --> 00:00:12.000]  願基督成為你的力量 平安和喜樂
[00:00:12.000 --> 00:00:17.000]  也願你的子女成為你的祝福和喜樂
[00:00:17.000 --> 00:00:20.000]  我也看到今天有很多小的弟兄姊妹
[00:00:20.000 --> 00:00:22.000]  和我們一起崇拜
[00:00:22.000 --> 00:00:24.000]  他們都很乖坐在那裡
[00:00:24.000 --> 00:00:28.000]  盼望你們可以一直保持到我們一起崇拜的結束
[00:00:28.000 --> 00:00:31.000]  我們先一起來禱告
[00:00:31.000 --> 00:00:45.000]  滿有慈愛 聖潔 公義
[00:00:45.000 --> 00:00:50.000]  並且是永恆與我們同在的主
[00:00:50.000 --> 00:00:54.000]  我們求祢的愛充滿在我們中間
[00:00:54.000 --> 00:00:58.000]  祢圍繞我們 使我們的每一個腳步
[00:00:58.000 --> 00:01:01.000]  都順服在祢自己的愛中
[00:01:01.000 --> 00:01:03.000]  好使我們從祢的那裡
[00:01:03.000 --> 00:01:08.000]  得著完全和得著不可朽壞
[00:01:08.000 --> 00:01:11.000]  還得著盼望的力量
[00:01:11.000 --> 00:01:14.000]  讓我們行走的每一個腳步
[00:01:14.000 --> 00:01:16.000]  都在祢自己的手中
[00:01:16.000 --> 00:01:19.000]  也好使我們不脫離祢自己手的引導
[00:01:19.000 --> 00:01:21.000]  直到見祢那一面
[00:01:21.000 --> 00:01:24.000]  求祢的聖靈今天來引導我們
[00:01:24.000 --> 00:01:26.000]  進入祢的話語
[00:01:26.000 --> 00:01:28.000]  祢來威揚我們
[00:01:28.000 --> 00:01:32.000]  使我們的心靈因著祢的話而得教光
[00:01:32.000 --> 00:01:34.000]  奉耶穌基督的生命禱告
[00:01:34.000 --> 00:01:36.000]  Amen
[00:01:36.000 --> 00:01:42.000]  今年年初的時候
[00:01:42.000 --> 00:01:46.000]  上映了一部叫《問西東》的電影
[00:01:46.000 --> 00:01:50.000]  其中有一位男主角叫沈光耀
[00:01:50.000 --> 00:01:54.000]  那麼他出生於民盟世家
[00:01:54.000 --> 00:01:58.000]  然後又就讀於當時的
[00:01:58.000 --> 00:02:01.000]  中國有名的西南聯大
[00:02:01.000 --> 00:02:03.000]  品學精優
[00:02:03.000 --> 00:02:08.000]  然後從小就受父母的教導
[00:02:08.000 --> 00:02:12.000]  他的母親常常用家訓來教育他
[00:02:12.000 --> 00:02:15.000]  不要追求世上的功名利祿
[00:02:15.000 --> 00:02:20.000]  然後過一個平靜安穩的日子就可以了
[00:02:20.000 --> 00:02:22.000]  可是生不逢時
[00:02:22.000 --> 00:02:25.000]  在那個世代當中
[00:02:25.000 --> 00:02:28.000]  到處都是屍橫遍野
[00:02:28.000 --> 00:02:31.000]  日軍到處的轟炸
[00:02:31.000 --> 00:02:33.000]  作為一個熱血的男兒
[00:02:33.000 --> 00:02:37.000]  他怎麼能夠過自己平淡的生活
[00:02:37.000 --> 00:02:40.000]  而不顧周圍的一切呢
[00:02:40.000 --> 00:02:42.000]  所以在這種情況之下
[00:02:42.000 --> 00:02:45.000]  他投身了軍營
[00:02:45.000 --> 00:02:47.000]  然後去當兵
[00:02:47.000 --> 00:02:49.000]  當母親得知這個消息
[00:02:49.000 --> 00:02:53.000]  後來以為他是出於年輕人的一種衝動
[00:02:53.000 --> 00:02:54.000]  然後呢
[00:02:54.000 --> 00:02:57.000]  或者是出於他自己的虛榮心
[00:02:57.000 --> 00:03:00.000]  想追求官職 想出名
[00:03:00.000 --> 00:03:02.000]  然後才去參軍的
[00:03:02.000 --> 00:03:05.000]  所以他的母親從大老遠的地方
[00:03:05.000 --> 00:03:08.000]  去到雲南所在的西南聯大
[00:03:08.000 --> 00:03:11.000]  要阻止他去參軍
[00:03:11.000 --> 00:03:14.000]  他就叫他先背自己家譜當中
[00:03:14.000 --> 00:03:17.000]  所要遺傳下來的家訓
[00:03:17.000 --> 00:03:20.000]  母親就告誡他說
[00:03:20.000 --> 00:03:22.000]  你所要追求的功名利祿
[00:03:22.000 --> 00:03:26.000]  你的祖輩已經什麼都追求過了
[00:03:26.000 --> 00:03:30.000]  我只希望你能夠體會人生的樂趣
[00:03:30.000 --> 00:03:32.000]  然後結婚生子
[00:03:32.000 --> 00:03:34.000]  然後添一個孫子
[00:03:34.000 --> 00:03:37.000]  做一下為人父母的樂趣就可以了
[00:03:37.000 --> 00:03:39.000]  那這是母親的願望
[00:03:39.000 --> 00:03:43.000]  但是與兒子的想法和人生的目標
[00:03:43.000 --> 00:03:46.000]  當然出現了很大的衝突
[00:03:46.000 --> 00:03:49.000]  使得母親心於傷心之中
[00:03:49.000 --> 00:03:52.000]  當然這個熱血的男兒
[00:03:52.000 --> 00:03:55.000]  最終還是因為
[00:03:55.000 --> 00:03:57.000]  那個軍官的一句話說
[00:03:57.000 --> 00:03:59.000]  這個世代不缺完美的人
[00:03:59.000 --> 00:04:04.000]  缺的是發自內心的真實正義無畏和同情
[00:04:04.000 --> 00:04:07.000]  而激發了他繼續的走向戰場
[00:04:07.000 --> 00:04:10.000]  甚至用自己的生命
[00:04:10.000 --> 00:04:12.000]  希望其可以保護更多的人
[00:04:12.000 --> 00:04:15.000]  幸處了自己寶貴靈性的生命
[00:04:15.000 --> 00:04:16.000]  那最後呢
[00:04:16.000 --> 00:04:19.000]  母親在失去這個兒子過後才能理解
[00:04:19.000 --> 00:04:22.000]  這個兒子是原來是真的
[00:04:22.000 --> 00:04:24.000]  因為出於內心的愛
[00:04:24.000 --> 00:04:26.000]  出於對國家的愛
[00:04:26.000 --> 00:04:32.000]  用一種特別的方式去孝順這個母親
[00:04:32.000 --> 00:04:34.000]  那我們知道
[00:04:34.000 --> 00:04:36.000]  作為母親來講
[00:04:36.000 --> 00:04:39.000]  難免在孩子的成長當中
[00:04:39.000 --> 00:04:43.000]  都出現各種各樣的張力
[00:04:43.000 --> 00:04:45.000]  可能是青春期的叛逆
[00:04:45.000 --> 00:04:47.000]  可能是長大過後
[00:04:47.000 --> 00:04:50.000]  你的願望不一定可以在孩子的身上
[00:04:50.000 --> 00:04:53.000]  能夠駕馭得了
[00:04:53.000 --> 00:04:56.000]  或者說能夠實現
[00:04:56.000 --> 00:05:02.000]  或者說沒有這樣的一個衝突
[00:05:02.000 --> 00:05:09.000]  然而今天的處境是距離已經叫我們無法引起衝突
[00:05:09.000 --> 00:05:11.000]  就拿我來說吧
[00:05:11.000 --> 00:05:13.000]  我這麼大老遠
[00:05:13.000 --> 00:05:16.000]  與我母親這麼遠的話
[00:05:16.000 --> 00:05:19.000]  也不可能產生衝突
[00:05:19.000 --> 00:05:20.000]  一個禮拜一次電話
[00:05:20.000 --> 00:05:24.000]  你會發現也不可能在電話裡有太多的衝突
[00:05:24.000 --> 00:05:25.000]  對吧
[00:05:25.000 --> 00:05:26.000]  然後呢
[00:05:26.000 --> 00:05:27.000]  你會發現
[00:05:27.000 --> 00:05:29.000]  當時你會發現
[00:05:29.000 --> 00:05:31.000]  無論是衝突也好
[00:05:31.000 --> 00:05:33.000]  無論是相隔甚遠也好
[00:05:33.000 --> 00:05:37.000]  而無論是希望寄託在兒女的身上也好
[00:05:37.000 --> 00:05:40.000]  母親身上都希望可以有更多的愛
[00:05:40.000 --> 00:05:47.000]  保護和希望孩子能夠免於自己所經歷過的苦
[00:05:47.000 --> 00:05:49.000]  希望他過一個平淡
[00:05:49.000 --> 00:05:51.000]  和希望用自己的生命來守護
[00:05:51.000 --> 00:05:53.000]  這樣一個生活
[00:05:53.000 --> 00:05:55.000]  那麼你會發現
[00:05:55.000 --> 00:05:58.000]  在富有家庭的家庭當中
[00:05:58.000 --> 00:06:02.000]  也會有子女與孩子的衝突
