
[00:00:00.000 --> 00:00:04.000]  如果我們想建立一間健康的教會
[00:00:04.000 --> 00:00:08.000]  在我們中間的弟兄姊妹
[00:00:08.000 --> 00:00:10.000]  會有基督徒
[00:00:10.000 --> 00:00:14.000]  我們是需要付上一些的努力
[00:00:14.000 --> 00:00:16.000]  甚至一些的代價
[00:00:16.000 --> 00:00:19.000]  我們需要向上的層面
[00:00:19.000 --> 00:00:23.000]  好好地操練與神的關係
[00:00:23.000 --> 00:00:26.000]  我們切勿遠離神
[00:00:26.000 --> 00:00:29.000]  我們總要親近神
[00:00:29.000 --> 00:00:32.000]  總要有個人的靈修
[00:00:32.000 --> 00:00:38.000]  也總要一齊回來主日集體崇拜
[00:00:38.000 --> 00:00:41.000]  這個是向上的層面
[00:00:41.000 --> 00:00:42.000]  但是除此之外
[00:00:42.000 --> 00:00:45.000]  我們個人也都要有很好的操練
[00:00:45.000 --> 00:00:47.000]  我們需要學什麼功課呢?
[00:00:47.000 --> 00:00:52.000]  我們需要心意更新而變化
[00:00:52.000 --> 00:00:54.000]  我們需要更新
[00:00:54.000 --> 00:00:57.000]  我們要明白神的旨意
[00:00:57.000 --> 00:01:00.000]  所以我們不要墨守成規
[00:01:00.000 --> 00:01:02.000]  我們要變
[00:01:02.000 --> 00:01:04.000]  但是不是為變而變
[00:01:04.000 --> 00:01:06.000]  是為了愛神而變
[00:01:06.000 --> 00:01:09.000]  是為了遵行神的旨意而變
[00:01:09.000 --> 00:01:11.000]  所以我們在人生的路上
[00:01:11.000 --> 00:01:15.000]  在教會發展和侍奉的路上
[00:01:15.000 --> 00:01:17.000]  不要懼怕變
[00:01:17.000 --> 00:01:19.000]  因為我們要配合神的旨意
[00:01:19.000 --> 00:01:21.000]  我們要去尋求神的旨意
[00:01:21.000 --> 00:01:25.000]  所以個人要學習這個功課
[00:01:25.000 --> 00:01:27.000]  但是不單止這樣
[00:01:27.000 --> 00:01:29.000]  我們還要學習的功課
[00:01:29.000 --> 00:01:32.000]  就是關係的層面
[00:01:32.000 --> 00:01:34.000]  不單止向上和神的關係
[00:01:34.000 --> 00:01:37.000]  我們要親近神
[00:01:37.000 --> 00:01:40.000]  不單止我們要個人心靈要更新
[00:01:40.000 --> 00:01:42.000]  我們更加要維持一種
[00:01:42.000 --> 00:01:46.000]  人與人之間一種美好的關係
[00:01:46.000 --> 00:01:47.000]  唯有是這樣
[00:01:47.000 --> 00:01:50.000]  教會才會越來越健康
[00:01:50.000 --> 00:01:52.000]  當我們想到這個問題的時候
[00:01:52.000 --> 00:01:55.000]  我們還會問有什麼東西
[00:01:55.000 --> 00:01:57.000]  可以使我們人與人之間的關係
[00:01:57.000 --> 00:02:00.000]  是比較好的呢?
[00:02:00.000 --> 00:02:01.000]  弟兄姊妹
[00:02:01.000 --> 00:02:03.000]  這個就是我們今早學的功課
[00:02:03.000 --> 00:02:05.000]  彼此的勉勵
[00:02:05.000 --> 00:02:09.000]  只要我們對人良善一點
[00:02:09.000 --> 00:02:11.000]  就可以有好的關係
[00:02:11.000 --> 00:02:14.000]  剛才我們所讀的經文
[00:02:14.000 --> 00:02:17.000]  貼在教前書的第五章十五節那裡
[00:02:17.000 --> 00:02:19.000]  有提到一樣東西
[00:02:19.000 --> 00:02:21.000]  提到我們不要以惡報惡
[00:02:21.000 --> 00:02:24.000]  提到我們無論彼此的相待
[00:02:24.000 --> 00:02:26.000]  或者是待眾人
[00:02:26.000 --> 00:02:28.000]  常要追求良善
[00:02:28.000 --> 00:02:30.000]  很清楚的讓我們知道
[00:02:30.000 --> 00:02:34.000]  良善是和關係有關的
[00:02:34.000 --> 00:02:36.000]  當我們能夠常要追求良善的時候
[00:02:36.000 --> 00:02:40.000]  我們就能夠和眾人有美好的關係
[00:02:40.000 --> 00:02:42.000]  彼此的相待
[00:02:42.000 --> 00:02:45.000]  是講到基督徒之間的意思
[00:02:45.000 --> 00:02:46.000]  或是待眾人
[00:02:46.000 --> 00:02:48.000]  是講到從外面的人
[00:02:48.000 --> 00:02:50.000]  未信的人
[00:02:50.000 --> 00:02:52.000]  我們都要保持一樣東西
[00:02:52.000 --> 00:02:54.000]  良善
[00:02:54.000 --> 00:02:56.000]  英文是good
[00:02:56.000 --> 00:02:58.000]  良善
[00:02:58.000 --> 00:03:01.000]  原來良善固然是一種我們生命的特質
[00:03:01.000 --> 00:03:02.000]  是上帝給我們的
[00:03:02.000 --> 00:03:03.000]  但是除此之外
[00:03:03.000 --> 00:03:06.000]  當我們有良善這個特質的彰顯的時候
[00:03:06.000 --> 00:03:09.000]  就發現人與人之關係是比較理想一點的
[00:03:09.000 --> 00:03:11.000]  所以我們要實踐良善的時候
[00:03:11.000 --> 00:03:13.000]  不單止只是教會裡面
[00:03:13.000 --> 00:03:14.000]  對弟兄姊妹良善
[00:03:14.000 --> 00:03:15.000]  我們對外面的人
[00:03:15.000 --> 00:03:17.000]  都一樣要良善
[00:03:17.000 --> 00:03:20.000]  這樣的時候,關係美好
[00:03:20.000 --> 00:03:22.000]  健康的徵兆
[00:03:22.000 --> 00:03:24.000]  就會越來越清楚了
[00:03:24.000 --> 00:03:25.000]  所以弟兄姊妹
[00:03:25.000 --> 00:03:28.000]  今天我們去思想的這個層面
[00:03:28.000 --> 00:03:30.000]  是關係的層面
[00:03:30.000 --> 00:03:34.000]  而是從良善來開始
[00:03:34.000 --> 00:03:35.000]  然後我們在開始的時候
[00:03:35.000 --> 00:03:38.000]  我們才要明白一個很重要的道理
[00:03:38.000 --> 00:03:39.000]  一個什麼道理呢?
