
[00:00:00.000 --> 00:00:04.000]  好,我們今天第一個題目叫信心旅強人
[00:00:04.000 --> 00:00:10.000]  其實今天的經文是來自馬太福音第十五章的第21節到28節
[00:00:10.000 --> 00:00:16.000]  如果看這一段的聖經,基本上是放在第十四章到第十六章的正中間
[00:00:16.000 --> 00:00:20.000]  第十四章到第十六章的正中間
[00:00:20.000 --> 00:00:26.000]  在這個正中間的部分,其實前後夾著的就是門徒的小信
[00:00:26.000 --> 00:00:33.000]  也有這個花里塞人的偽善,再加上餵飽幾千人的神蹟
[00:00:33.000 --> 00:00:36.000]  是前後這樣夾著這段聖經
[00:00:36.000 --> 00:00:40.000]  所以這一段聖經是這個段落裏面最核心的部分
[00:00:40.000 --> 00:00:44.000]  提起旅強人,在我自小裏面我只認識一個
[00:00:44.000 --> 00:00:48.000]  就叫做鐵娘子,大家知不知道是哪一位
[00:00:48.000 --> 00:00:53.000]  大卓爾夫人,大卓爾夫人其實我覺得她很叻
[00:00:53.000 --> 00:00:57.000]  因為據聞她是一個很勤奮的女人
[00:00:57.000 --> 00:01:02.000]  鐵娘子這個稱號其實一點都不是說笑的
[00:01:02.000 --> 00:01:07.000]  因為她本身的政策上是很強硬的手段
[00:01:07.000 --> 00:01:14.000]  大家都知道當時她上任是1979年到1990年的時候上場
[00:01:14.000 --> 00:01:21.000]  就算反對她的人都說她是一個難得的一個非常成功的領袖
[00:01:21.000 --> 00:01:24.000]  1978年的時候英國出現了很多次罷工
[00:01:24.000 --> 00:01:28.000]  以前英國經常罷工,經濟也非常不好
[00:01:28.000 --> 00:01:31.000]  英鎊試過跌得很厲害
[00:01:31.000 --> 00:01:34.000]  英國在當時被譽為歐洲病夫
[00:01:34.000 --> 00:01:40.000]  在世界上已經排行第二第三線的經濟國家
[00:01:40.000 --> 00:01:46.000]  她一上場之後,她最重要的政績就是大幅度改善英國的經濟
[00:01:46.000 --> 00:01:52.000]  令到英國再次成為所謂的經濟的強國
[00:01:52.000 --> 00:01:58.000]  蘇聯人就在那個時候幫她取了一個名字叫做鐵娘子
[00:01:58.000 --> 00:02:03.000]  我相信今時今日和她可以並駕齊驅這個名字
[00:02:03.000 --> 00:02:05.000]  就叫做高氏早苗
[00:02:05.000 --> 00:02:12.000]  我們都知道這個日本的女首相其實是一個非常厲害的女人
[00:02:12.000 --> 00:02:18.000]  兩個鐵娘子我相信今時今日都沒有人反對她們是一個政界的女強人
[00:02:18.000 --> 00:02:20.000]  那麼信心的女強人又是誰呢?
[00:02:20.000 --> 00:02:23.000]  今天就很想介紹這個人物給大家認識
[00:02:23.000 --> 00:02:25.000]  她是一個無名的女人
[00:02:25.000 --> 00:02:28.000]  她是記載在剛才我們看過一段很簡單的
[00:02:28.000 --> 00:02:32.000]  就是第十五章二十一到二十八節馬太方的一個女士
[00:02:32.000 --> 00:02:35.000]  我們今天想和這個經文裡面學習三樣東西
[00:02:35.000 --> 00:02:38.000]  第一樣東西就是跨越界線的信心
[00:02:38.000 --> 00:02:44.000]  我們想看看第二十一節,我們只讀二十一節,請讀
[00:02:44.000 --> 00:02:49.000]  開那地方,退到推羅西頓的境內去
[00:02:49.000 --> 00:02:58.000]  這個婦人她展現了一種轟烈跨越的界線那種信心出來
[00:02:58.000 --> 00:03:01.000]  她展現了一種跨越界線的信心
[00:03:01.000 --> 00:03:06.000]  我想你留意第二十一節用了兩個動詞去形容耶穌的行動
[00:03:06.000 --> 00:03:09.000]  就是離開和退去
[00:03:09.000 --> 00:03:11.000]  為什麼耶穌要離開和退去呢?
[00:03:11.000 --> 00:03:13.000]  因為之前其實發生了一些衝突
[00:03:13.000 --> 00:03:16.000]  就是和法利賽人發生了一些爭論
[00:03:16.000 --> 00:03:22.000]  於是耶穌選擇了一種暫時迴避的退隱的方式
[00:03:22.000 --> 00:03:24.000]  退隱有很多地方可以退的
[00:03:24.000 --> 00:03:25.000]  不知道大家有沒有想過
[00:03:25.000 --> 00:03:27.000]  如果有一天你不是很開心
[00:03:27.000 --> 00:03:30.000]  在英國的地方哪裡你會退一退下來休息一下呢?
[00:03:30.000 --> 00:03:35.000]  有些人就去海邊,有些人就去湖區,有些人就可以去到山區
[00:03:35.000 --> 00:03:38.000]  英國有很多地方都值得你去
[00:03:38.000 --> 00:03:40.000]  耶穌去哪裡呢?
[00:03:40.000 --> 00:03:43.000]  耶穌去的地方竟然是跨境
[00:03:43.000 --> 00:03:45.000]  就是去了推羅西頓
[00:03:45.000 --> 00:03:47.000]  推羅西頓又是哪裡來的呢?
[00:03:47.000 --> 00:03:49.000]  我故意不給大家看圖畫
[00:03:49.000 --> 00:03:54.000]  因為這個地方其實就是今時今日打仗打到飛起的黎巴嫩
[00:03:54.000 --> 00:03:56.000]  大家都聽過黎巴嫩這個名字
[00:03:56.000 --> 00:03:58.000]  現在都繼續打的
[00:03:58.000 --> 00:04:05.000]  所以耶穌就去到一個不是屬於以色列的地方
