
[00:00:00.000 --> 00:00:03.760]  最近發生了一件很開心的事
[00:00:03.760 --> 00:00:12.840]  就是上海經過封閉了兩個多月之後
[00:00:12.840 --> 00:00:19.740]  最近是部分解封
[00:00:19.740 --> 00:00:23.720]  很多人都紛紛外出
[00:00:23.720 --> 00:00:26.700]  去慶祝
[00:00:26.700 --> 00:00:27.620]  去慶祝
[00:00:27.620 --> 00:00:28.120]  對嗎
[00:00:28.120 --> 00:00:30.120]  最多人去的地方在哪裏
[00:00:30.120 --> 00:00:32.120]  最多人去的地方是哪裏呢
[00:00:32.120 --> 00:00:32.780]  在哪裏
[00:00:32.780 --> 00:00:33.600]  哪裏
[00:00:33.600 --> 00:00:34.920]  上海灘
[00:00:34.920 --> 00:00:35.920]  上海灘
[00:00:35.920 --> 00:00:39.120]  就是那裏很多人都很開心
[00:00:39.120 --> 00:00:41.120]  那裏很多人很開心
[00:00:41.120 --> 00:00:44.040]  因為實在關了太久了
[00:00:44.040 --> 00:00:46.520]  好像我們這樣希望去旅行
[00:00:46.520 --> 00:00:48.520]  好像我們很期待去旅行
[00:00:48.520 --> 00:00:54.240]  可以享受這個很難得的釋放的機會
[00:00:54.240 --> 00:00:57.280]  可以享受很難得的釋放的機會
[00:00:57.280 --> 00:01:01.400]  香港的新冠疫情上個月就開始緩和了
[00:01:01.400 --> 00:01:04.760]  香港的新冠疫情在上個月開始緩和了
[00:01:04.760 --> 00:01:11.680]  打了針的人聚餐就由一台兩個人變成四個人
[00:01:11.680 --> 00:01:16.720]  已經接種疫苗的人從聚餐一桌子兩個人變成四個人
[00:01:16.720 --> 00:01:20.040]  最近就加到八個人
[00:01:20.040 --> 00:01:23.080]  擺酒就可以有120人
[00:01:23.080 --> 00:01:25.400]  宴會可以有120人
[00:01:25.400 --> 00:01:28.160]  是不是120人
[00:01:28.160 --> 00:01:30.680]  有些人結婚就留意這些數字
[00:01:30.680 --> 00:01:35.080]  有些人結婚就會注意這些數字
[00:01:35.080 --> 00:01:38.600]  就令到酒樓很好生意
[00:01:38.600 --> 00:01:40.680]  讓那些酒樓的生意變好
[00:01:40.680 --> 00:01:43.640]  5月9號那一天
[00:01:43.640 --> 00:01:45.560]  在5月9號那一天
[00:01:45.560 --> 00:01:49.880]  我就去到深水灣拍了一張照片
[00:01:49.880 --> 00:01:53.640]  我在深水灣拍了一張照片
[00:01:53.640 --> 00:01:59.040]  那時候是沙灘剛剛開放了
[00:01:59.040 --> 00:02:03.000]  我就問明天的香港是不是會更好呢
[00:02:03.000 --> 00:02:06.200]  我就問明天的香港是不是會更好呢
[00:02:06.200 --> 00:02:07.920]  對於很多人來說
[00:02:07.920 --> 00:02:10.320]  自從2019年開始
[00:02:10.320 --> 00:02:13.720]  對很多人來說自從2019年開始
[00:02:13.720 --> 00:02:17.640]  我們都要面對政府的防疫的要求
[00:02:17.640 --> 00:02:20.320]  我們都要面對政府防疫的要求
[00:02:20.320 --> 00:02:24.600]  又要打針又要戴口罩
[00:02:24.600 --> 00:02:31.240]  又要保持社交距離
[00:02:31.240 --> 00:02:32.600]  夫妻算嗎?
[00:02:32.600 --> 00:02:34.560]  夫妻算嗎?
[00:02:34.560 --> 00:02:36.320]  你們不夠啊
[00:02:36.320 --> 00:02:37.600]  不夠啊
[00:02:37.600 --> 00:02:40.080]  要離開一點
[00:02:40.080 --> 00:02:41.480]  要分開一點點做
[00:02:41.480 --> 00:02:42.800]  開玩笑的
[00:02:42.800 --> 00:02:50.240]  我們都不知道什麼時候才可以脫下口罩
[00:02:50.240 --> 00:02:51.200]  不用戴
[00:02:51.200 --> 00:02:54.200]  我們也不知道什麼時候才可以把口罩拿下來
[00:02:54.200 --> 00:02:55.520]  不用戴口罩
[00:02:55.520 --> 00:03:00.200]  這是我們未曾想過會發生的新景象
[00:03:00.200 --> 00:03:03.480]  這是我們從未想像過會發生的新景象
[00:03:03.480 --> 00:03:04.960]  不單止香港是這樣
[00:03:04.960 --> 00:03:06.480]  不單止香港是這樣
[00:03:06.480 --> 00:03:09.720]  外國很多國家都是這樣的
[00:03:09.720 --> 00:03:11.600]  外國很多國家也是一樣
[00:03:11.600 --> 00:03:17.600]  病毒的變種一天不受控制的話
[00:03:17.600 --> 00:03:21.440]  病毒的變種一天不受控制的話
[00:03:21.440 --> 00:03:23.480]  我們就要繼續忍耐下去
[00:03:23.480 --> 00:03:25.760]  我們就要繼續忍耐下去
[00:03:25.760 --> 00:03:28.240]  這個就令我想起一句成語
[00:03:28.240 --> 00:03:30.240]  這讓我想起一句成語
[00:03:30.240 --> 00:03:31.640]  就是今天我的講題
[00:03:31.640 --> 00:03:34.240]  叫做「風雲變色」
[00:03:34.240 --> 00:03:37.360]  就是今天的講題「風雲變色」
[00:03:37.360 --> 00:03:40.520]  根據一些成語詞典的解釋
[00:03:40.520 --> 00:03:43.160]  根據一些成語詞典的解釋
[00:03:43.160 --> 00:03:47.160]  風雲變色是比喻那些變幻的局勢
[00:03:47.160 --> 00:03:51.760]  風雲變色是比喻那些變幻的局勢
[00:03:51.760 --> 00:03:55.280]  而這個局勢是由於變化太大
[00:03:55.280 --> 00:03:57.800]  而這個局勢是由於變化太大
[00:03:57.800 --> 00:04:01.800]  就可以使得風雲的改變顏色
[00:04:01.800 --> 00:04:05.480]  就可以使得風雲的顏色也被改變了
[00:04:05.480 --> 00:04:08.880]  如果用一句話去講就是這句
[00:04:08.880 --> 00:04:11.280]  如果用一句話去講就是這句
[00:04:11.280 --> 00:04:14.320]  當環境急劇變化的時候
[00:04:14.320 --> 00:04:17.080]  當環境急劇變化的時候
[00:04:17.080 --> 00:04:20.160]  是為人帶來了很大的壓力和衝擊
[00:04:20.160 --> 00:04:23.360]  是為人帶來了很大的壓力和衝擊
[00:04:23.360 --> 00:04:30.640]  今天的經文是以色列王大衛
