
[00:00:00.000 --> 00:00:01.440]  吉隆姐妹平安
[00:00:01.440 --> 00:00:05.560]  很感恩我們今天又來到上帝的殿中
[00:00:05.560 --> 00:00:07.560]  一起來崇拜
[00:00:07.560 --> 00:00:09.160]  每次我們來到這裏
[00:00:09.160 --> 00:00:13.120]  我就想起上帝自己設立了這個普通話崇拜給我們
[00:00:13.120 --> 00:00:16.320]  我們實在存着感恩的心來敬拜祂
[00:00:16.320 --> 00:00:17.720]  讓我們一起禱告
[00:00:17.720 --> 00:00:22.960]  天父上帝 我們真的是向你獻上感恩
[00:00:22.960 --> 00:00:24.800]  我們祈求了很久
[00:00:24.800 --> 00:00:27.600]  在港福堂開設一個普通話崇拜
[00:00:27.600 --> 00:00:29.680]  上帝啊 你應着你的愛
[00:00:29.680 --> 00:00:31.240]  你成就了這件事
[00:00:31.240 --> 00:00:33.400]  我們願一切的榮耀歸於你
[00:00:33.400 --> 00:00:34.960]  叫我們也知道
[00:00:34.960 --> 00:00:36.600]  在我們的生命中
[00:00:36.600 --> 00:00:38.800]  你是多麼的願意祝福我們
[00:00:38.800 --> 00:00:41.400]  按着你的心意來賜給我們
[00:00:41.400 --> 00:00:42.800]  因爲在聖經中
[00:00:42.800 --> 00:00:44.240]  你曾經說過
[00:00:44.240 --> 00:00:48.640]  神既然已經不惜把自己的兒子都賜給我們
[00:00:48.640 --> 00:00:53.160]  豈不將萬物也白白的和他一起賜給我們嗎
[00:00:53.160 --> 00:00:55.040]  神啊 叫我們不要懷疑
[00:00:55.040 --> 00:00:57.480]  叫我們對着你的愛是堅定
[00:00:57.480 --> 00:00:59.720]  我們就知道我們有盼望
[00:00:59.720 --> 00:01:02.280]  我們有把握可以走這個人生路
[00:01:02.280 --> 00:01:03.320]  我們謝謝你
[00:01:03.320 --> 00:01:05.480]  請你今天將你的話語賜給我們
[00:01:05.480 --> 00:01:07.000]  讓我們一起學習
[00:01:07.000 --> 00:01:08.480]  我們被提醒
[00:01:08.480 --> 00:01:09.760]  每一次的崇拜
[00:01:09.760 --> 00:01:11.160]  只有一位觀衆
