
[00:00:00.000 --> 00:00:04.240]  上次和大家分享神教話語是在去年七月
[00:00:04.240 --> 00:00:06.240]  應該大家都沒有人記得
[00:00:06.240 --> 00:00:11.200]  題目是「我們這一家」
[00:00:11.200 --> 00:00:14.080]  我又碰到今天的敬拜隊
[00:00:14.080 --> 00:00:15.600]  是當天的敬拜隊
[00:00:15.600 --> 00:00:19.040]  幫我讀了很多很多的隱隱名字
[00:00:19.040 --> 00:00:21.040]  羅馬書第十六章
[00:00:21.040 --> 00:00:23.200]  不知道對「窩福」我們這個家
[00:00:23.200 --> 00:00:25.200]  不知道大家認識多少
[00:00:25.200 --> 00:00:29.200]  趁這個時間不如看看你身邊的人
[00:00:30.400 --> 00:00:34.800]  看看他們是和我們一起去敬拜上帝的
[00:00:34.800 --> 00:00:37.200]  「窩福」除了晚堂之外
[00:00:37.200 --> 00:00:38.400]  我們還有星期日
[00:00:38.400 --> 00:00:39.600]  有早堂
[00:00:39.600 --> 00:00:40.800]  有現在叫什麼
[00:00:40.800 --> 00:00:42.800]  午堂
[00:00:42.800 --> 00:00:47.600]  可能當中大家都有機會去
[00:00:47.600 --> 00:00:48.800]  有機會去參加
[00:00:48.800 --> 00:00:51.600]  所以有些人都會認識
[00:00:51.600 --> 00:00:54.480]  其實我們星期日還有一個
[00:00:54.480 --> 00:00:55.680]  生天生地的
[00:00:55.680 --> 00:00:57.840]  在這個The Cave
[00:00:57.840 --> 00:01:00.640]  我不知道大家認識他們有多少
[00:01:00.640 --> 00:01:03.840]  最近話說我上了Cave開會
[00:01:03.840 --> 00:01:06.240]  開會我發現一樣很有趣
[00:01:06.240 --> 00:01:08.240]  但是又很嚴肅的東西
[00:01:08.240 --> 00:01:10.240]  想和大家分享一下
[00:01:10.240 --> 00:01:13.840]  就是一班少年人
[00:01:13.840 --> 00:01:17.040]  是他們自己寫的崇拜守則
[00:01:17.040 --> 00:01:19.040]  字很小你未必看到
[00:01:19.040 --> 00:01:21.840]  但是我讀給大家聽
[00:01:21.840 --> 00:01:24.640]  第一就是小用電話
[00:01:24.640 --> 00:01:26.240]  然後他說可以吃東西
[00:01:26.240 --> 00:01:28.240]  但是唱詩讀經祈禱是不可以的
[00:01:28.240 --> 00:01:29.840]  這裡是不可以的
[00:01:29.840 --> 00:01:32.240]  讀經的時候大家一起讀
[00:01:32.240 --> 00:01:33.440]  要投入
[00:01:33.440 --> 00:01:35.440]  不知道大家剛才有沒有讀
[00:01:35.440 --> 00:01:40.240]  第四就是盡量不要光明正大打喊路
[00:01:40.240 --> 00:01:41.440]  我不介意的
[00:01:41.440 --> 00:01:43.440]  如果你要打喊路的話
[00:01:43.440 --> 00:01:46.640]  第五就是要少過十分鐘
[00:01:46.640 --> 00:01:48.640]  不要遲到十分鐘
[00:01:48.640 --> 00:01:50.640]  不過當然最好準時
[00:01:50.640 --> 00:01:54.240]  另外還有積極的去參與
