
[00:00:00.000 --> 00:00:03.080]  好 跟大家分享這一段的經文
[00:00:03.080 --> 00:00:05.580]  就是講到神的旨意
[00:00:05.580 --> 00:00:07.600]  去到第六點
[00:00:07.600 --> 00:00:11.200]  這個神的旨意有十幾點的
[00:00:11.200 --> 00:00:13.700]  今天就跟大家去講到第六點
[00:00:13.700 --> 00:00:15.500]  就是行出明顯的
[00:00:15.500 --> 00:00:19.000]  神就會更多顯明祂的心意
[00:00:19.000 --> 00:00:21.300]  我們每一個人都很盼望能夠
[00:00:21.300 --> 00:00:23.800]  做事 行事為人
[00:00:23.800 --> 00:00:26.900]  是按著神的心意 神的旨意去做
[00:00:27.400 --> 00:00:30.700]  當然了 神的心意 神的旨意
[00:00:30.700 --> 00:00:32.700]  是怎樣可以知道呢
[00:00:32.700 --> 00:00:34.200]  我上一次都跟大家分享
[00:00:34.200 --> 00:00:36.200]  其中一個top number one
[00:00:36.200 --> 00:00:37.700]  就是神的話語
[00:00:37.700 --> 00:00:40.700]  神都將神的話語給我們看得見
[00:00:40.700 --> 00:00:42.200]  在舊約 新約裏面
[00:00:42.200 --> 00:00:44.200]  很多很多時候 人們尋求神
[00:00:44.200 --> 00:00:46.200]  或者他做得不對的神
[00:00:46.200 --> 00:00:48.200]  會懲罰他 會管教他
[00:00:48.200 --> 00:00:50.200]  甚至是有很多
[00:00:50.200 --> 00:00:52.200]  神會可以做出來的事情
[00:00:52.200 --> 00:00:54.200]  但是他做得對的神
[00:00:54.200 --> 00:00:57.700]  就會在聖經裏面已經很清楚了
[00:00:57.700 --> 00:00:59.200]  是已經講了給我們聽
[00:00:59.200 --> 00:01:01.200]  但是當然有很多事情
[00:01:01.200 --> 00:01:04.200]  都是要我們和神的關係
[00:01:04.200 --> 00:01:07.200]  我們和神的關係是一個很重要的
[00:01:07.200 --> 00:01:08.700]  因為有些事情是這樣就行
[00:01:08.700 --> 00:01:10.200]  這樣就行 這樣就行
[00:01:10.200 --> 00:01:11.200]  那怎樣呢
[00:01:11.200 --> 00:01:13.200]  那是不是我隨便做一樣呢
[00:01:13.200 --> 00:01:15.200]  這個就是和神的關係
[00:01:15.200 --> 00:01:18.200]  這裡第六點就是行出明顯的
[00:01:18.200 --> 00:01:20.200]  神會更多顯明
[00:01:20.200 --> 00:01:22.200]  明顯顯明祂的心意
[00:01:22.200 --> 00:01:24.200]  今言三章第五至第六節
[00:01:24.200 --> 00:01:26.200]  祂說你要專心仰賴耶和華
[00:01:26.200 --> 00:01:28.200]  不可以靠自己的聰明
[00:01:28.200 --> 00:01:30.200]  在你一切所行的路上
[00:01:30.200 --> 00:01:31.200]  都要認定祂
[00:01:31.200 --> 00:01:34.200]  祂必使你的道路平直
[00:01:34.200 --> 00:01:36.200]  所以大前提就是
[00:01:36.200 --> 00:01:39.200]  我們要專心去仰望耶和華神
[00:01:39.200 --> 00:01:41.200]  不要想著我這麼聰明
[00:01:41.200 --> 00:01:42.200]  我這麼聰明
[00:01:42.200 --> 00:01:44.200]  我靠我自己的聰明
[00:01:44.200 --> 00:01:46.200]  最近才有人跟我提到
[00:01:46.200 --> 00:01:48.200]  不知道是誰
[00:01:48.200 --> 00:01:49.200]  我不記得是誰
[00:01:49.200 --> 00:01:51.200]  我的腦袋有些問題
[00:01:51.200 --> 00:01:53.200]  我真的要退休了
[00:01:53.200 --> 00:01:57.200]  他說聰明和智慧是不同的
