
[00:00:00.000 --> 00:00:03.660]  有人形容如果耶穌基督是沒有復活
[00:00:03.660 --> 00:00:06.900]  聖誕節只不過是紀念一個偉人的出生
[00:00:06.900 --> 00:00:10.800]  而壽苦節是去紀念一個殉道者的死亡
[00:00:10.800 --> 00:00:14.180]  耶穌的復活就好像一套偵探片的結局
[00:00:14.180 --> 00:00:16.180]  最後真相大白
[00:00:16.180 --> 00:00:20.340]  主的復活為這兩個節日帶來重要的意義
[00:00:20.340 --> 00:00:23.960]  因為耶穌基督已經戰勝了所有的敵人
[00:00:23.960 --> 00:00:25.880]  耶穌基督的基督復活
[00:00:25.880 --> 00:00:30.160]  因為耶穌基督已經戰勝死亡從墳墓裡復活
[00:00:30.160 --> 00:00:32.160]  聖誕節不是紀念一個偉人
[00:00:32.160 --> 00:00:35.780]  而是紀念道成肉身的耶穌基督的出生
[00:00:35.780 --> 00:00:39.460]  而壽苦節不單只是紀念一個殉道者
[00:00:39.460 --> 00:00:43.740]  而是紀念為我們成就救恩的耶穌基督的壽苦
[00:00:43.740 --> 00:00:46.740]  如果我們要真正明白復活節的意義
[00:00:46.740 --> 00:00:48.740]  和祂帶給我們的恩典
[00:00:48.740 --> 00:00:53.140]  我們首先要認同和體會當時耶穌的跟隨者
[00:00:53.140 --> 00:00:59.300]  和體會當時耶穌的跟隨者所經歷的那份哀傷和絕望
[00:00:59.300 --> 00:01:05.200]  我們才會全然明白復活節所帶給我們的驚喜和盼望
[00:01:05.200 --> 00:01:09.520]  頂姐妹,今次的疫情可能都成為你的壽苦節
[00:01:09.520 --> 00:01:12.800]  你正在經歷憂慮、情緒低落
[00:01:12.800 --> 00:01:15.160]  壓力大到差不多要爆煲了
[00:01:15.160 --> 00:01:18.940]  你又可能面臨失業、經濟出現困難
[00:01:18.940 --> 00:01:23.600]  又或者你擔心患病、在醫院住的親人
[00:01:23.600 --> 00:01:27.800]  又或者你有親人、朋友已經中招了
[00:01:27.800 --> 00:01:29.800]  耶穌基督在復活之後
[00:01:29.800 --> 00:01:33.880]  在七天的第一天晚上向門徒顯現
[00:01:33.880 --> 00:01:37.300]  約翰福音二十章十九節到二十節說
[00:01:37.300 --> 00:01:40.960]  耶穌來站在他們當中對他們說
[00:01:40.960 --> 00:01:42.960]  「願你們平安」
[00:01:42.960 --> 00:01:45.300]  之後門徒就將福音傳開
[00:01:45.300 --> 00:01:48.720]  二千年之後我們都得到這個寶貴的福音
[00:01:48.720 --> 00:01:50.480]  復活節的主耶穌基督
[00:01:50.480 --> 00:01:53.440]  今日都仍然在我們當中對我們說
[00:01:53.440 --> 00:01:55.440]  「願你們平安」
