
[00:00:00.000 --> 00:00:03.560]  感謝神上禮拜天從貝南短暄回來
[00:00:03.560 --> 00:00:06.520]  這是一個豐富又榮耀的旅途
[00:00:06.520 --> 00:00:10.600]  記得週五的時候我們剛抵達貝南
[00:00:10.600 --> 00:00:13.920]  當地的主任牧師Pastor Corneli才告訴我們
[00:00:13.920 --> 00:00:15.960]  隔天的禮拜天啊
[00:00:15.960 --> 00:00:18.660]  就是貝南總統大選
[00:00:18.660 --> 00:00:21.460]  哦我想說這是非常特別的日子
[00:00:21.460 --> 00:00:23.300]  我們可以代表生命和
[00:00:23.300 --> 00:00:26.300]  一起為貝南這個國家來禱告
[00:00:26.300 --> 00:00:27.400]  所以呢
[00:00:27.400 --> 00:00:29.720]  貝南的主任牧師就說是的
[00:00:29.860 --> 00:00:32.800]  逐日當天讓我們一起來求神
[00:00:32.800 --> 00:00:36.900]  為貝南預備一位神所約納所檢選
[00:00:36.900 --> 00:00:39.820]  能夠用神的智慧來治理國家的總統
[00:00:39.820 --> 00:00:40.820]  之後呢
[00:00:40.820 --> 00:00:43.860]  Corneli的牧師就靠近我說
[00:00:43.860 --> 00:00:46.920]  希望你禮拜天講到可以注意一下時間
[00:00:46.920 --> 00:00:49.160]  這樣大家才有時間去投票
[00:00:49.160 --> 00:00:53.260]  感謝神那天不但我們聚會時間是
[00:00:53.260 --> 00:00:55.100]  這個準時結束
[00:00:55.100 --> 00:00:57.320]  而且當天有十位新朋友
[00:00:57.320 --> 00:00:59.060]  接受耶穌成為個人的救主
[00:00:59.060 --> 00:00:59.900]  哈利路亞
[00:00:59.900 --> 00:01:01.800]  感謝讚美主
[00:01:01.800 --> 00:01:04.920]  這次行程非常的豐富
[00:01:04.920 --> 00:01:07.100]  我們拜訪了六個村鎮
[00:01:07.100 --> 00:01:08.800]  那也參加了
[00:01:08.800 --> 00:01:12.000]  貝南非洲質詢學校第一屆畢業典禮
[00:01:12.000 --> 00:01:14.600]  我們總共服侍了超過1000人
[00:01:14.600 --> 00:01:16.860]  並且帶領了超過80個人
[00:01:16.860 --> 00:01:18.700]  接受耶穌成為個人救主
[00:01:18.700 --> 00:01:19.900]  我們將榮耀歸給我們的神
[00:01:19.900 --> 00:01:20.700]  哈利路亞
[00:01:20.700 --> 00:01:25.060]  謝謝大家的禱告和這個支持
[00:01:25.060 --> 00:01:27.760]  相信我們不論在前面打仗和最後面
[00:01:27.820 --> 00:01:30.860]  看守兵器的都要同得獎賞
[00:01:30.860 --> 00:01:31.360]  Amen
[00:01:31.360 --> 00:01:33.320]  讓我們一起來讀一段
[00:01:33.320 --> 00:01:36.900]  呃經文是在約翰福音4章23節
[00:01:36.900 --> 00:01:38.720]  這是新一本的翻譯
[00:01:38.720 --> 00:01:39.520]  我們一起來
[00:01:39.520 --> 00:01:43.600]  然而時候將到現在就是了
[00:01:43.600 --> 00:01:47.400]  那用心靈按真理敬拜父的
[00:01:47.400 --> 00:01:50.160]  才是真正敬拜的人
[00:01:50.160 --> 00:01:54.260]  因為父在尋找這樣敬拜的人
[00:01:54.260 --> 00:01:57.400]  這邊說那用心靈
[00:01:58.060 --> 00:02:00.800]  按真理敬拜父的
[00:02:00.800 --> 00:02:04.400]  才是真正敬拜的人
[00:02:04.400 --> 00:02:06.360]  弟兄姊妹們我們每周
[00:02:06.360 --> 00:02:09.460]  都會來教會敬拜讚美神
[00:02:09.460 --> 00:02:11.460]  我們在小組四個w
[00:02:11.460 --> 00:02:13.520]  其中有一個也是 worship
[00:02:13.520 --> 00:02:16.620]  相信我們大家在個人生活當中
[00:02:16.620 --> 00:02:18.300]  也有與神親近的
[00:02:18.300 --> 00:02:20.100]  敬拜讚美的時間
[00:02:20.100 --> 00:02:22.520]  可是在這邊這個經文卻說
[00:02:22.520 --> 00:02:24.020]  有一種敬拜
[00:02:24.020 --> 00:02:26.560]  才是真正的敬拜
[00:02:27.460 --> 00:02:29.200]  而有一種敬拜的人
[00:02:29.200 --> 00:02:32.360]  才是真正敬拜的人
[00:02:32.360 --> 00:02:35.460]  而且父神在尋找這樣的人
