
[00:00:00.000 --> 00:00:02.000]  我們先由祈禱開始
[00:00:02.000 --> 00:00:04.000]  主耶穌讓我們
[00:00:04.000 --> 00:00:06.000]  在今日黑暗的世代
[00:00:06.000 --> 00:00:09.000]  顯出祢的榮耀
[00:00:09.000 --> 00:00:12.000]  由今日作正直人
[00:00:12.000 --> 00:00:15.000]  將事實
[00:00:15.000 --> 00:00:19.000]  將對錯是非去說明
[00:00:19.000 --> 00:00:22.000]  以致讓人
[00:00:22.000 --> 00:00:26.000]  知遂悔改歸向祢
[00:00:26.000 --> 00:00:28.000]  奉耶穌的聖名 阿們
[00:00:28.000 --> 00:00:30.000]  以色人
[00:00:30.000 --> 00:00:32.000]  說到耶和華的日子
[00:00:32.000 --> 00:00:34.000]  他們常常相信
[00:00:34.000 --> 00:00:37.000]  神將會帶著一份神跡
[00:00:37.000 --> 00:00:42.000]  將他們的敵國敵人消滅
[00:00:42.000 --> 00:00:45.000]  常常以為神是站在他們那邊
[00:00:45.000 --> 00:00:47.000]  但是阿摩西說到
[00:00:47.000 --> 00:00:49.000]  為什麼你們想望耶和華的日子
[00:00:49.000 --> 00:00:51.000]  想望我來到的時間
[00:00:51.000 --> 00:00:52.000]  因為那天
[00:00:52.000 --> 00:00:54.000]  甚至對你們這群選民來說
[00:00:54.000 --> 00:00:57.000]  是一個黑暗沒有光明的日子
[00:00:57.000 --> 00:00:59.000]  就好像我今天的講題
[00:00:59.000 --> 00:01:02.000]  究竟神來到是運到
[00:01:02.000 --> 00:01:04.000]  還是禍到呢
[00:01:04.000 --> 00:01:08.000]  因為阿摩西說
[00:01:08.000 --> 00:01:10.000]  當神這次來
[00:01:10.000 --> 00:01:12.000]  不單要對付第一弟將
[00:01:12.000 --> 00:01:14.000]  所說到以色列
[00:01:14.000 --> 00:01:17.000]  有七個敵邦
[00:01:17.000 --> 00:01:18.000]  神要去審判
[00:01:18.000 --> 00:01:20.000]  更加神的選民以色列
[00:01:20.000 --> 00:01:23.000]  同樣是神審判的對象
[00:01:23.000 --> 00:01:24.000]  因為他們得罪神
[00:01:24.000 --> 00:01:28.000]  所以神視他們不單和異國無異
[00:01:28.000 --> 00:01:31.000]  更加罪上加罪
[00:01:31.000 --> 00:01:34.000]  因為他們明知故犯
[00:01:34.000 --> 00:01:36.000]  他們犯什麼呢
[00:01:36.000 --> 00:01:37.000]  阿摩西說我們今天
[00:01:37.000 --> 00:01:40.000]  其實到現在看了好幾次
[00:01:40.000 --> 00:01:42.000]  很清楚他們最大的問題
[00:01:42.000 --> 00:01:45.000]  是他們社會上很多的不公義
[00:01:45.000 --> 00:01:46.000]  說到社會上的不公義
[00:01:46.000 --> 00:01:49.000]  近日香港的兩項法庭判案
[00:01:49.000 --> 00:01:50.000]  十分矚目
[00:01:50.000 --> 00:01:52.000]  一就是七警案
[00:01:52.000 --> 00:01:56.000]  二就是前特首行為失當的案件
[00:01:56.000 --> 00:01:58.000]  前者牽涉司法人員
[00:01:58.000 --> 00:02:00.000]  濫用私刑和暴力有關
[00:02:00.000 --> 00:02:03.000]  後者說到高官貪圖利益
[00:02:03.000 --> 00:02:07.000]  和一些錢財的瓜葛上有關
[00:02:07.000 --> 00:02:10.000]  有時我們見到一個社會的貪腐
[00:02:10.000 --> 00:02:12.000]  往往這兩個元素是存在的
[00:02:12.000 --> 00:02:15.000]  就是強權
[00:02:15.000 --> 00:02:17.000]  一些權貴
[00:02:17.000 --> 00:02:18.000]  恃強凌弱
[00:02:18.000 --> 00:02:19.000]  通常都是以暴力
[00:02:19.000 --> 00:02:22.000]  或者是以賄賂貪污的手法
[00:02:22.000 --> 00:02:26.000]  去剝削一些弱勢的百姓
[00:02:26.000 --> 00:02:28.000]  阿摩西才說到其實
[00:02:28.000 --> 00:02:31.000]  以色列的情況比香港更加糟糕
[00:02:31.000 --> 00:02:35.000]  相對來說香港其實不是一個差的地方
[00:02:35.000 --> 00:02:38.000]  但是在第五章特別說到
[00:02:38.000 --> 00:02:43.000]  究竟整個社會的腐敗的防線在哪裡呢
[00:02:43.000 --> 00:02:46.000]  是不是我們要不斷制止社會上的暴力
[00:02:46.000 --> 00:02:49.000]  和阻止人的貪婪
[00:02:49.000 --> 00:02:53.000]  以致可以預防或者減少社會上的腐敗呢
[00:02:53.000 --> 00:02:56.000]  原來在第五章有幾個字眼
[00:02:56.000 --> 00:02:59.000]  或者一個字眼出現了幾次
[00:02:59.000 --> 00:03:02.000]  讓我們知道阿摩西才說到
[00:03:02.000 --> 00:03:05.000]  原來整個社會要防止腐敗的防線在哪裡
[00:03:05.000 --> 00:03:09.000]  我們去看第十節
[00:03:09.000 --> 00:03:17.000]  但十節說:你們怨恨那在城門口責備人的,憎悶那說正直話的
[00:03:17.000 --> 00:03:20.000]  然後我們看第十二節
[00:03:20.000 --> 00:03:25.000]  我知道你們的罪過何等多,你們的罪惡何等大
[00:03:25.000 --> 00:03:31.000]  你們苦待二人,收受賄賂,在城門口屈往,窮罰人
[00:03:31.000 --> 00:03:36.000]  然後我們再跳到去看第十五節
[00:03:36.000 --> 00:03:41.000]  要惡惡好善,在城門口秉公行義
[00:03:41.000 --> 00:03:44.000]  好,大家
[00:03:44.000 --> 00:03:48.000]  哪一個字眼出現了三次
[00:03:48.000 --> 00:03:51.000]  哪一個
[00:03:51.000 --> 00:03:55.000]  惡,可能也是,我沒有數這個字
[00:03:55.000 --> 00:03:58.000]  所以你不是錯,不過我在想答案是另一個
[00:03:58.000 --> 00:04:01.000]  哪一個
[00:04:01.000 --> 00:04:04.000]  這個什麼地方,這個地方是你
[00:04:04.000 --> 00:04:07.000]  城門口
[00:04:07.000 --> 00:04:12.000]  為什麼阿摩斯在第五章城門口這個字眼出現了三次呢
[00:04:12.000 --> 00:04:16.000]  城門口在當時等於今天一個法庭的地方
[00:04:16.000 --> 00:04:19.000]  百姓的任何訴訟通常就在城門口
[00:04:19.000 --> 00:04:22.000]  那裡會找到城裡面一些所謂長老
