
[00:00:00.000 --> 00:00:05.200]  今天我想很快的藉著馬太福音第三章13節到17節
[00:00:05.200 --> 00:00:08.000]  我們來思想主耶穌的誕生
[00:00:08.000 --> 00:00:10.000]  當我把這個題目弄出來之後
[00:00:10.000 --> 00:00:13.000]  後來想想我應該把題目命為
[00:00:13.000 --> 00:00:19.000]  聖誕節的時候再思想神道承肉身的意義
[00:00:19.000 --> 00:00:22.000]  我發現這個題目比較好一點
[00:00:22.000 --> 00:00:29.000]  我們想到在馬太福音第三章13節到17節
[00:00:29.000 --> 00:00:36.000]  那個地方是施許約翰為了主耶穌預備道路的人
[00:00:36.000 --> 00:00:40.000]  在以賽亞書第40章第3節到第5節
[00:00:40.000 --> 00:00:44.000]  在以賽亞書第40章
[00:00:44.000 --> 00:00:46.000]  我們看一下
[00:00:46.000 --> 00:00:49.000]  今天多念一些經文
[00:00:49.000 --> 00:00:51.000]  以賽亞書第40章
[00:00:58.000 --> 00:01:00.000]  第三節
[00:01:00.000 --> 00:01:02.000]  他說有人聲喊著說
[00:01:02.000 --> 00:01:04.000]  在曠野預備耶和華的路
[00:01:04.000 --> 00:01:07.000]  在沙漠地修平我們神的道
[00:01:07.000 --> 00:01:10.000]  一切山窪都要填滿
[00:01:10.000 --> 00:01:12.000]  大小山崗都要削平
[00:01:12.000 --> 00:01:15.000]  高高低低的要改為平坦
[00:01:15.000 --> 00:01:18.000]  崎崎嶇嶇的必成為平原
[00:01:18.000 --> 00:01:20.000]  耶和華的榮耀必然顯現
[00:01:20.000 --> 00:01:23.000]  凡有血氣的必一同看見
[00:01:23.000 --> 00:01:26.000]  因為這是耶和華親口說的
[00:01:26.000 --> 00:01:29.000]  那麼這是在主耶穌誕生之前
[00:01:29.000 --> 00:01:31.000]  七百多年
[00:01:31.000 --> 00:01:32.000]  七百年最起碼
[00:01:32.000 --> 00:01:35.000]  那麼那個時候他所預言的
[00:01:35.000 --> 00:01:37.000]  那麼現在如果你有聖經的話
[00:01:37.000 --> 00:01:40.000]  就請你翻到馬太福音第三章
[00:01:40.000 --> 00:01:43.000]  馬太福音第三章
[00:01:43.000 --> 00:01:48.000]  那麼在第一節到第12節
[00:01:48.000 --> 00:01:52.000]  這邊告訴我們施許約翰他所做的事情
[00:01:52.000 --> 00:01:57.000]  那麼我們一起從第五節開始念起
[00:01:57.000 --> 00:01:58.000]  好不好
[00:01:58.000 --> 00:01:59.000]  馬太福音第三章
[00:01:59.000 --> 00:02:01.000]  我們從第五節開始念起
[00:02:01.000 --> 00:02:03.000]  我們一起來
[00:02:03.000 --> 00:02:06.000]  那時耶路撒冷和猶太權帝
[00:02:06.000 --> 00:02:09.000]  並約旦河一帶地方的人
[00:02:09.000 --> 00:02:13.000]  都出去到約翰那裡承認他們的罪
[00:02:13.000 --> 00:02:15.000]  在約旦河裡受他的洗
[00:02:15.000 --> 00:02:19.000]  約翰看見許多法利塞人和薩都該人
[00:02:19.000 --> 00:02:20.000]  也來受洗
[00:02:20.000 --> 00:02:22.000]  就對他們說
[00:02:22.000 --> 00:02:23.000]  毒蛇的種類
[00:02:23.000 --> 00:02:27.000]  誰指示你們逃避將來的憤怒呢
[00:02:27.000 --> 00:02:29.000]  你們要結出果子來
[00:02:29.000 --> 00:02:31.000]  與悔改的心相稱
[00:02:31.000 --> 00:02:33.000]  不要自己心裡說
[00:02:33.000 --> 00:02:36.000]  由亞伯拉罕為我們的祖宗
[00:02:36.000 --> 00:02:37.000]  我告訴你們
[00:02:37.000 --> 00:02:39.000]  誰能從這些石頭中
[00:02:39.000 --> 00:02:42.000]  給亞伯拉罕興起子孫來
[00:02:42.000 --> 00:02:45.000]  現在福子已經放在樹根上
[00:02:45.000 --> 00:02:47.000]  凡不結好果子的樹
[00:02:47.000 --> 00:02:51.000]  就砍下來丟在火裡
[00:02:51.000 --> 00:02:53.000]  好我們就念到這裡
[00:02:53.000 --> 00:02:56.000]  那麼在這一段經文裡面
[00:02:56.000 --> 00:02:57.000]  你們也對
[00:02:57.000 --> 00:02:58.000]  我們再接下去
[00:02:58.000 --> 00:03:03.000]  從十一節跟十二節我們一起念
[00:03:03.000 --> 00:03:05.000]  給你們施洗
[00:03:05.000 --> 00:03:06.000]  叫你們悔改
[00:03:06.000 --> 00:03:10.000]  但那在我以後來的能力比我更大
[00:03:10.000 --> 00:03:13.000]  我就是給他提鞋也不配
[00:03:13.000 --> 00:03:16.000]  他要用聖靈與火給你們施洗
[00:03:16.000 --> 00:03:21.000]  他手裡拿著波姬要揚進他的腸
[00:03:21.000 --> 00:03:23.000]  把麥子收在倉裡
[00:03:23.000 --> 00:03:26.000]  把糠用不滅的火燒盡了
[00:03:26.000 --> 00:03:29.000]  在這裡約翰藉著他的工作
[00:03:29.000 --> 00:03:31.000]  他把主耶穌引進來了
[00:03:31.000 --> 00:03:33.000]  記不記得人家問主耶穌
[00:03:33.000 --> 00:03:34.000]  問約翰
[00:03:34.000 --> 00:03:35.000]  他說你施洗約翰
[00:03:35.000 --> 00:03:36.000]  他說你憑什麼施洗
[00:03:36.000 --> 00:03:38.000]  他說那叫我來施洗的
[00:03:38.000 --> 00:03:39.000]  要目的是什麼
[00:03:39.000 --> 00:03:41.000]  就是要把那一位救主
[00:03:41.000 --> 00:03:43.000]  把他顯明出來
[00:03:43.000 --> 00:03:46.000]  所以約翰他說他是用水施洗
[00:03:46.000 --> 00:03:48.000]  然後叫你們悔改
[00:03:48.000 --> 00:03:50.000]  接下去他說那一位
[00:03:50.000 --> 00:03:53.000]  後面來的那一位就是主
