
[00:00:00.000 --> 00:00:01.560]  那今天講甚麼呢?
[00:00:01.560 --> 00:00:02.720]  那今天呢
[00:00:02.720 --> 00:00:04.000]  就講馬尼亞
[00:00:04.000 --> 00:00:06.040]  如果你看這個的
[00:00:06.040 --> 00:00:07.840]  看這個的
[00:00:07.840 --> 00:00:08.400]  題目呢
[00:00:08.400 --> 00:00:10.160]  你懂不懂怎樣去
[00:00:10.160 --> 00:00:11.800]  phrasing(形容)
[00:00:11.800 --> 00:00:13.760]  我覺得可能都不是很懂
[00:00:13.760 --> 00:00:15.440]  究竟是作聖母
[00:00:15.440 --> 00:00:16.880]  馬尼亞的秘密
[00:00:16.880 --> 00:00:18.480]  還是作聖母馬尼亞
[00:00:18.480 --> 00:00:20.960]  的秘密呢?
[00:00:20.960 --> 00:00:22.960]  那甚麼叫作呢?或者做
[00:00:22.960 --> 00:00:25.200]  因為我一直在講盧家富
[00:00:25.200 --> 00:00:26.960]  我忘記了上回在講甚麼呢
[00:00:26.960 --> 00:00:28.520]  上回就是在講
[00:00:28.520 --> 00:00:30.360]  盧家醫生呢
[00:00:30.360 --> 00:00:32.840]  他就很有心的
[00:00:32.840 --> 00:00:35.400]  去栽培有一個人叫提亞菲羅
[00:00:35.400 --> 00:00:37.080]  那個是一個官員
[00:00:37.080 --> 00:00:38.600]  寫了兩大卷書給他
[00:00:38.600 --> 00:00:40.360]  一本盧家富二十四章
[00:00:40.360 --> 00:00:43.080]  一個又是少林寺二十八章
[00:00:43.080 --> 00:00:44.440]  他來栽培一個人
[00:00:44.440 --> 00:00:46.200]  寫這麼長的
[00:00:46.200 --> 00:00:46.920]  其實呢
[00:00:46.920 --> 00:00:49.000]  這兩卷聖經呢
[00:00:49.000 --> 00:00:50.320]  再提一下
[00:00:50.320 --> 00:00:52.120]  真的是文學繪寶
[00:00:52.120 --> 00:00:55.440]  一來在聖經的希臘文裡面
[00:00:55.440 --> 00:00:58.000]  盧家醫生的希臘文
[00:00:58.000 --> 00:00:58.880]  真是最好的了
[00:00:58.880 --> 00:01:02.240]  這些是研究的人才能畫到的
[00:01:02.240 --> 00:01:03.160]  我懂希臘文
