
[00:00:00.000 --> 00:00:04.520]  請姐妹願你們平安
[00:00:04.520 --> 00:00:07.900]  今天在早上回來的時候
[00:00:07.900 --> 00:00:11.420]  我覺得分外珍惜
[00:00:11.420 --> 00:00:13.340]  可以回來教會
[00:00:13.340 --> 00:00:15.640]  敬拜上帝
[00:00:15.640 --> 00:00:18.140]  能夠一起讚美神
[00:00:18.140 --> 00:00:21.400]  實在是恩典
[00:00:21.400 --> 00:00:24.360]  不知道過去的一個星期
[00:00:24.360 --> 00:00:27.100]  你所看到的
[00:00:27.100 --> 00:00:29.320]  所感受到的
[00:00:29.320 --> 00:00:31.100]  所聽到的
[00:00:31.100 --> 00:00:34.740]  一切身邊在你身邊發生的事
[00:00:34.740 --> 00:00:38.180]  你有什麼感受呢?
[00:00:38.180 --> 00:00:43.440]  或者會讓我們有傷心難過
[00:00:43.440 --> 00:00:46.740]  或許會讓我們有憤怒
[00:00:46.740 --> 00:00:49.160]  有疑惑
[00:00:49.160 --> 00:00:51.960]  或者會讓我們有很擔心
[00:00:51.960 --> 00:00:54.820]  很憂慮的時候
[00:00:54.820 --> 00:00:56.640]  或者也有
[00:00:56.640 --> 00:01:02.560]  讓我們仍然覺得感恩和平安的時候
[00:01:02.560 --> 00:01:04.080]  無論這一刻
[00:01:04.080 --> 00:01:07.500]  你的感受是什麼
[00:01:07.500 --> 00:01:10.240]  我盼望你仍然相信
[00:01:10.240 --> 00:01:12.900]  主與我們同在
[00:01:12.900 --> 00:01:15.360]  我們都將這一切的感受
[00:01:15.360 --> 00:01:17.580]  我們先來到上帝的面前
[00:01:17.580 --> 00:01:19.340]  去交託我們的主,好嗎?
[00:01:19.340 --> 00:01:25.500]  我們一起禱告
[00:01:25.500 --> 00:01:28.240]  親愛的主耶穌
[00:01:28.240 --> 00:01:31.580]  在這個破碎的世代
[00:01:31.580 --> 00:01:35.360]  在這個破碎的世界裏面
[00:01:35.360 --> 00:01:38.000]  你用你自己的破碎
[00:01:38.000 --> 00:01:41.400]  親自拯救這個世界
[00:01:41.400 --> 00:01:44.320]  你將你自己抹開
[00:01:44.320 --> 00:01:47.300]  將你自己的破碎
[00:01:47.300 --> 00:01:50.260]  成為世人的祝福
[00:01:50.260 --> 00:01:52.360]  主耶穌今日
[00:01:52.360 --> 00:01:56.040]  我們知道祢仍然是以馬來祢的神
[00:01:56.040 --> 00:01:59.840]  祢仍然是與我們同在的神
[00:01:59.840 --> 00:02:01.360]  感謝主
[00:02:01.360 --> 00:02:04.960]  無論在我們的傷心難過裏面
[00:02:04.960 --> 00:02:08.160]  還是疑惑憤怒裏面
[00:02:08.160 --> 00:02:11.240]  還是擔心憂慮裏面
[00:02:11.240 --> 00:02:13.640]  祢都與我們同在
[00:02:13.640 --> 00:02:15.040]  多謝主
[00:02:15.040 --> 00:02:18.200]  此刻我們仍然有感恩的力量
[00:02:18.200 --> 00:02:20.000]  此刻在患難中
[00:02:20.000 --> 00:02:24.160]  我們仍然能夠感受到從祢而來的平安
[00:02:24.160 --> 00:02:26.520]  願主安慰我們的心
[00:02:26.520 --> 00:02:29.280]  堅定我們信靠祢的心
[00:02:29.280 --> 00:02:31.520]  要我們不看環境
[00:02:31.520 --> 00:02:33.760]  單單定性仰望祢
[00:02:33.760 --> 00:02:35.240]  並且深信
[00:02:35.240 --> 00:02:38.520]  祢仍然是要將福樂賜給我們的神
[00:02:38.520 --> 00:02:39.240]  我們感謝主
[00:02:39.240 --> 00:02:40.240]  聽祈禱
[00:02:40.240 --> 00:02:41.920]  奉耶穌基督明智祈求
[00:02:41.920 --> 00:02:44.320]  阿門
[00:02:44.320 --> 00:02:46.480]  這個星期我相信
[00:02:46.480 --> 00:02:51.400]  大家都一定會更多去思考有關人生的問題
[00:02:51.400 --> 00:02:56.000]  或者可能你都會問很多有關苦難的問題
[00:02:56.000 --> 00:02:57.600]  但我們知道
[00:02:57.600 --> 00:02:59.680]  如果我們要思想人生
[00:02:59.680 --> 00:03:01.880]  我們要思想苦難
[00:03:01.880 --> 00:03:04.200]  我們不在主裏面
[00:03:04.200 --> 00:03:06.080]  不在主裏面去思想的話
[00:03:06.080 --> 00:03:09.320]  一切都是沒有意義的
[00:03:09.320 --> 00:03:11.240]  因為我們人生
[00:03:11.240 --> 00:03:14.000]  是我們主所賜給我們的
[00:03:14.000 --> 00:03:16.000]  唯有主
[00:03:16.000 --> 00:03:19.080]  有一切的答案
[00:03:19.080 --> 00:03:20.400]  願我們今天
[00:03:20.400 --> 00:03:24.240]  仍然渴慕聆聽主的道
[00:03:24.240 --> 00:03:25.640]  願意聽
[00:03:25.640 --> 00:03:27.520]  並且願意行
[00:03:27.520 --> 00:03:29.560]  行出主所教導
[00:03:29.560 --> 00:03:32.600]  生命願意經歷更新
[00:03:32.600 --> 00:03:34.480]  成為真正有福的人
