
[00:00:00.000 --> 00:00:02.000]  OK 電影節目早晨
[00:00:02.000 --> 00:00:06.000]  今天我們會繼續基礎信仰的系列
[00:00:06.000 --> 00:00:10.000]  我們會繼續看《登山寶墳》
[00:00:10.000 --> 00:00:13.000]  今天我們看的這段經文
[00:00:13.000 --> 00:00:19.000]  在《登山寶墳》裡面比較是屬於爭議性的經文
[00:00:19.000 --> 00:00:23.000]  會花一點時間稍微解釋多一點
[00:00:23.000 --> 00:00:25.000]  跟我們的報復有關的
[00:00:25.000 --> 00:00:27.000]  就是跟我們受到一些冤屈的時候
[00:00:27.000 --> 00:00:29.000]  怎樣去處理
[00:00:29.000 --> 00:00:32.000]  首先我們複習一下上一段經文
[00:00:32.000 --> 00:00:34.000]  因為今天看的這段經文
[00:00:34.000 --> 00:00:36.000]  是在這節經文的框架裡面
[00:00:36.000 --> 00:00:40.000]  這節經文就是幾個星期前跟大家分享過的
[00:00:40.000 --> 00:00:42.000]  就是《馬帝福音》的五章二十節
[00:00:42.000 --> 00:00:44.000]  那裡說 我告訴你們
[00:00:44.000 --> 00:00:48.000]  你們的義若不勝過民事和法律上人的義
[00:00:48.000 --> 00:00:50.000]  絕不能進天國
[00:00:50.000 --> 00:00:52.000]  我上次也解釋過了
[00:00:52.000 --> 00:00:54.000]  從二十一節開始
[00:00:54.000 --> 00:00:58.000]  主耶穌開始就舉了六個例子來說明
[00:00:58.000 --> 00:01:01.000]  什麼為止是民事和法律上人的義
[00:01:01.000 --> 00:01:03.000]  怎樣超越呢
[00:01:03.000 --> 00:01:05.000]  不可以殺人
[00:01:05.000 --> 00:01:07.000]  如果你沒有殺人
[00:01:07.000 --> 00:01:09.000]  已經是民事和法律上人的義
[00:01:09.000 --> 00:01:11.000]  跟他們打成平手
[00:01:11.000 --> 00:01:12.000]  怎樣超越呢
[00:01:12.000 --> 00:01:14.000]  就是如果心裡面都不恨人
[00:01:14.000 --> 00:01:16.000]  心裡面也從來沒有看不起人
[00:01:16.000 --> 00:01:19.000]  不會罵人說你這麼蠢
[00:01:19.000 --> 00:01:23.000]  你就超越了法律上人的義
[00:01:23.000 --> 00:01:25.000]  今天我們看的這段經文
[00:01:25.000 --> 00:01:28.000]  就是這六個例子當中的第五個例子
[00:01:28.000 --> 00:01:31.000]  主耶穌也是同樣先解釋
[00:01:31.000 --> 00:01:34.000]  什麼為止是民事和法律上人的義
[00:01:34.000 --> 00:01:36.000]  然後他再解釋
[00:01:36.000 --> 00:01:39.000]  怎樣去超越神要求的
[00:01:39.000 --> 00:01:41.000]  我們能夠活出的生命到底是怎樣的
[00:01:41.000 --> 00:01:44.000]  我們先看第一節
[00:01:44.000 --> 00:01:46.000]  五章三十八節那裡說
[00:01:46.000 --> 00:01:48.000]  你們聽過有話說
[00:01:48.000 --> 00:01:51.000]  以眼還眼 以牙還牙
[00:01:51.000 --> 00:01:55.000]  這部分就是屬於民事和法律上人的義
[00:01:55.000 --> 00:01:59.000]  就是說如果你要報復的時候
[00:01:59.000 --> 00:02:01.000]  稍微不要太用力
[00:02:01.000 --> 00:02:03.000]  節制一些有話約束
[00:02:03.000 --> 00:02:05.000]  求個公道就可以了
[00:02:05.000 --> 00:02:07.000]  當然不是鼓勵一定要報復
[00:02:07.000 --> 00:02:09.000]  是限制你報復的力度
[00:02:09.000 --> 00:02:11.000]  就好像你上freeway
[00:02:11.000 --> 00:02:15.000]  上面寫著65個mile per hour
[00:02:15.000 --> 00:02:17.000]  有兩種解讀
[00:02:17.000 --> 00:02:20.000]  一種解讀就是最慢不要慢過65
[00:02:20.000 --> 00:02:24.000]  另外一種解讀就是最快不要超過65
[00:02:24.000 --> 00:02:26.000]  那你覺得是最慢時速
[00:02:26.000 --> 00:02:28.000]  還是最快時速
[00:02:28.000 --> 00:02:30.000]  同樣你看到這一節的經文
[00:02:30.000 --> 00:02:32.000]  以眼還眼 以牙還牙
[00:02:32.000 --> 00:02:34.000]  你覺得他是鼓勵你必須要報復
[00:02:34.000 --> 00:02:36.000]  或者他告訴你報復的時候
[00:02:36.000 --> 00:02:39.000]  節制一些求個公道就可以了
[00:02:39.000 --> 00:02:41.000]  在現實的生活
[00:02:41.000 --> 00:02:44.000]  大部分的人是這個標準是達不到的
[00:02:44.000 --> 00:02:46.000]  因為當我們報復的時候
[00:02:46.000 --> 00:02:48.000]  其實是過分了的
[00:02:48.000 --> 00:02:52.000]  因為經常不是以眼還眼這個標準
[00:02:52.000 --> 00:02:55.000]  通常都是索賠的時候要求過分
[00:02:55.000 --> 00:02:57.000]  你不小心踩他的車
[00:02:57.000 --> 00:02:58.000]  不要報警我們私了
[00:02:58.000 --> 00:02:59.000]  他說五萬
[00:02:59.000 --> 00:03:01.000]  你的車也不值五萬
[00:03:01.000 --> 00:03:05.000]  我們索賠的時候要求報復是過火的
[00:03:05.000 --> 00:03:07.000]  去麥當勞喝咖啡
[00:03:07.000 --> 00:03:08.000]  錄親了
[00:03:08.000 --> 00:03:10.000]  賠四百多萬美金
[00:03:10.000 --> 00:03:12.000]  弄得我也想給他錄一下
[00:03:12.000 --> 00:03:14.000]  然後就實現財政自由了
[00:03:14.000 --> 00:03:17.000]  所以很少人在索賠的時候
[00:03:17.000 --> 00:03:19.000]  說我公道而已
[00:03:19.000 --> 00:03:20.000]  如果你弄傷我
[00:03:20.000 --> 00:03:22.000]  我就看看醫藥費多少
[00:03:22.000 --> 00:03:23.000]  是這麼多就是這麼多
[00:03:23.000 --> 00:03:24.000]  或者兩句話不能上班
[00:03:24.000 --> 00:03:25.000]  我就計算你的薪金了
[00:03:25.000 --> 00:03:28.000]  再加一點點我痛的費用好不好
[00:03:28.000 --> 00:03:30.000]  賠個幾十萬可能
[00:03:30.000 --> 00:03:32.000]  公道而已
[00:03:32.000 --> 00:03:34.000]  我一分錢不多收
[00:03:34.000 --> 00:03:36.000]  只求一個公道
[00:03:36.000 --> 00:03:38.000]  但是很少人是這樣的
[00:03:38.000 --> 00:03:41.000]  上次招牧師來報復分享
[00:03:41.000 --> 00:03:42.000]  懲殺也是
[00:03:42.000 --> 00:03:45.000]  38%都是你配合會殺你
[00:03:45.000 --> 00:03:47.000]  通常報復會過渡的
[00:03:47.000 --> 00:03:49.000]  你跟我分手潑流酸
[00:03:49.000 --> 00:03:51.000]  我們報復的時候
[00:03:51.000 --> 00:03:53.000]  通常是很狠的
[00:03:53.000 --> 00:03:54.000]  那就過分了
[00:03:54.000 --> 00:03:56.000]  所以如果我們報復的時候
[00:03:56.000 --> 00:03:58.000]  我們說我很公道的
[00:03:58.000 --> 00:04:00.000]  我只是失去什麼要什麼
[00:04:00.000 --> 00:04:02.000]  一分錢不多要
[00:04:02.000 --> 00:04:04.000]  如果你做到這樣
[00:04:04.000 --> 00:04:06.000]  那你就和法律財源和民事
[00:04:06.000 --> 00:04:08.000]  打成平手了
[00:04:08.000 --> 00:04:10.000]  這個就是他們的意義了
[00:04:10.000 --> 00:04:12.000]  那怎樣超越呢
[00:04:12.000 --> 00:04:13.000]  主耶穌就來了
[00:04:13.000 --> 00:04:15.000]  下面說了
[00:04:15.000 --> 00:04:17.000]  但是我告訴你們
[00:04:17.000 --> 00:04:19.000]  不要與惡人作對
[00:04:19.000 --> 00:04:21.000]  有人打你的右邊的臉
[00:04:21.000 --> 00:04:24.000]  連另外一邊也轉過去
[00:04:24.000 --> 00:04:26.000]  被人打
[00:04:26.000 --> 00:04:29.000]  這個就是更高的要求了
[00:04:29.000 --> 00:04:32.000]  不只是要求一個報復公平
[00:04:32.000 --> 00:04:34.000]  就直接不報復了
[00:04:34.000 --> 00:04:39.000]  有沒有人當中是天生左右的
[00:04:39.000 --> 00:04:40.000]  應該很少
[00:04:40.000 --> 00:04:42.000]  我是天生左右的
[00:04:42.000 --> 00:04:45.000]  就是被人逼著轉去右手
[00:04:45.000 --> 00:04:47.000]  如果你要打人家右邊的臉
[00:04:47.000 --> 00:04:48.000]  你是右手的話
[00:04:48.000 --> 00:04:50.000]  你是不可以這樣打的
[00:04:50.000 --> 00:04:52.000]  你要這樣反抽
[00:04:52.000 --> 00:04:53.000]  如果這樣打
[00:04:53.000 --> 00:04:55.000]  就意思就是在耶穌的年代
[00:04:55.000 --> 00:04:58.000]  就意思是你想要公開侮辱他
[00:04:58.000 --> 00:05:00.000]  重點不是要傷害他
[00:05:00.000 --> 00:05:01.000]  如果傷害他
[00:05:01.000 --> 00:05:03.000]  直接一拳就簡單利落一點
[00:05:03.000 --> 00:05:05.000]  如果你要這樣打一巴掌
[00:05:05.000 --> 00:05:07.000]  就意思是你的意圖
[00:05:07.000 --> 00:05:09.000]  是想去侮辱他
[00:05:09.000 --> 00:05:11.000]  所以這次聖經是在說
[00:05:11.000 --> 00:05:13.000]  公開要侮辱你的時候
[00:05:13.000 --> 00:05:14.000]  你不要報復
[00:05:14.000 --> 00:05:16.000]  是在說這件事
[00:05:16.000 --> 00:05:18.000]  第二樣就是四十節了
[00:05:18.000 --> 00:05:20.000]  有人要告你
[00:05:20.000 --> 00:05:22.000]  要拿你的內衣
[00:05:22.000 --> 00:05:24.000]  連外衣都給他拿去
[00:05:24.000 --> 00:05:26.000]  當時如果人家要誣告你
[00:05:26.000 --> 00:05:28.000]  特別是要問你拿錢的時候
