
[00:00:00.000 --> 00:00:04.980]  這位作者盧迦告訴我們
[00:00:04.980 --> 00:00:07.700]  《小藤傳》一開始其實是一個續集
[00:00:07.700 --> 00:00:08.880]  是一個下集
[00:00:08.880 --> 00:00:10.220]  因為他講了一句話
[00:00:10.220 --> 00:00:13.700]  提亞非勞,這個對象是一個羅馬的官
[00:00:13.700 --> 00:00:15.080]  這個名字的意思
[00:00:15.080 --> 00:00:20.400]  這個名字其中一個意思是夢神所愛
[00:00:20.400 --> 00:00:23.200]  或者說是愛神,看看動詞如何擺
[00:00:23.200 --> 00:00:26.960]  夢神所愛,我已經寫了一本上集給你看
[00:00:26.960 --> 00:00:29.080]  上集是哪一本書呢?
[00:00:29.080 --> 00:00:30.760]  就是盧迦福音
[00:00:30.760 --> 00:00:33.560]  寫完上集之後,講耶穌的一生
[00:00:33.560 --> 00:00:36.760]  一直到他在地上傳道,傳福音工作
[00:00:36.760 --> 00:00:39.040]  一直到被接升天,復活升天之後
[00:00:39.040 --> 00:00:41.200]  就完了,現在寫下集
[00:00:41.200 --> 00:00:45.880]  這個下集是怎樣講呢?
[00:00:45.880 --> 00:00:48.440]  所以由第一章第一節到第十一節
[00:00:48.440 --> 00:00:52.760]  我發覺第十一節都是講耶穌升天的
[00:00:52.760 --> 00:00:55.600]  所以這個所謂下集的開頭
[00:00:55.600 --> 00:00:58.920]  都只不過是複述上集的收尾
[00:00:58.920 --> 00:01:01.720]  重述上集最後一段的經歷
[00:01:01.720 --> 00:01:03.440]  不過就比較詳細一點再講
[00:01:03.440 --> 00:01:06.280]  作為他接著要講下去的引言
[00:01:06.280 --> 00:01:07.880]  所以這是一個很好的引言
[00:01:07.880 --> 00:01:12.800]  承上,即是承先啟後的作用
[00:01:12.800 --> 00:01:17.960]  在這一段經文裡面
[00:01:17.960 --> 00:01:20.440]  耶穌是復活了
[00:01:20.440 --> 00:01:23.120]  從死裡復活,但還沒有升天
[00:01:23.120 --> 00:01:25.640]  有四十天的時間跟門徒在一起
[00:01:25.640 --> 00:01:27.840]  你想像一下這個情景
[00:01:27.840 --> 00:01:29.960]  耶穌復活了,復活之後
[00:01:29.960 --> 00:01:32.120]  但還沒有升天,還沒有走
[00:01:32.120 --> 00:01:35.400]  跟門徒一起聊天,說話
[00:01:35.400 --> 00:01:37.120]  如果你是門徒
[00:01:37.120 --> 00:01:40.600]  你親身經歷過耶穌的體驗他死
[00:01:40.600 --> 00:01:41.760]  釘十字架
[00:01:41.760 --> 00:01:44.560]  然後後來經歷他的復活
[00:01:44.560 --> 00:01:47.280]  跟他一起,他跟你說話
[00:01:47.280 --> 00:01:50.200]  你覺得這些說話是不是很重要?
[00:01:50.200 --> 00:01:51.880]  即是耶穌好像臨走之前
[00:01:51.880 --> 00:01:53.760]  但他已經顯明他的身份
[00:01:53.760 --> 00:01:54.960]  他已經復活了
[00:01:54.960 --> 00:01:57.920]  他復活的主,證明他是上帝的兒子
[00:01:57.920 --> 00:02:02.000]  證明他是以色列人期待的基督的彌賽亞
[00:02:02.000 --> 00:02:03.320]  說這個身份這麼重要
[00:02:03.320 --> 00:02:04.600]  在他還沒有走之前
[00:02:04.600 --> 00:02:06.200]  親自跟門徒說的話
[00:02:06.200 --> 00:02:08.000]  我真的很想知道他說什麼
[00:02:08.000 --> 00:02:09.360]  不知道你想不想
[00:02:09.360 --> 00:02:10.880]  其實他跟門徒說什麼呢?
[00:02:10.880 --> 00:02:11.560]  說什麼呢?
[00:02:11.560 --> 00:02:13.360]  聖經又沒有說
[00:02:13.360 --> 00:02:15.680]  為什麼老家這麼失策?
[00:02:15.680 --> 00:02:18.280]  這些都沒有說
[00:02:18.280 --> 00:02:20.640]  不過他唯有輕輕地說了一句話
[00:02:20.640 --> 00:02:22.760]  在第三節
[00:02:22.760 --> 00:02:25.000]  他說什麼呢?在第三節
[00:02:25.000 --> 00:02:26.880]  他說他受害之後
[00:02:26.880 --> 00:02:31.080]  用很多憑據將自己活活地顯給使徒看
[00:02:31.080 --> 00:02:33.160]  四十天之久向坎門顯現
[00:02:33.160 --> 00:02:34.480]  說什麼呢?
[00:02:34.480 --> 00:02:37.040]  說神國的事
[00:02:37.040 --> 00:02:38.760]  原來說神國的事
[00:02:38.760 --> 00:02:41.120]  這四十天說神國的事
[00:02:41.120 --> 00:02:41.960]  說很多很多
[00:02:41.960 --> 00:02:42.800]  但說什麼呢?
[00:02:42.800 --> 00:02:43.520]  什麼內容呢?
[00:02:43.520 --> 00:02:44.600]  這裡沒有記載
[00:02:44.600 --> 00:02:45.520]  沒有了,沒有記載
[00:02:45.520 --> 00:02:46.560]  只是說他顯現
[00:02:46.560 --> 00:02:48.400]  說這件事而已
[00:02:48.400 --> 00:02:50.080]  所以對我來說,其實我很好奇
[00:02:50.080 --> 00:02:53.080]  其實這個復活了的主
[00:02:53.080 --> 00:02:55.000]  他已經的身份顯明了
[00:02:55.000 --> 00:02:56.760]  他的使徒、門徒
