
[00:00:00.000 --> 00:00:03.760]  今天和大家分享這個故事
[00:00:03.760 --> 00:00:07.020]  可能你都已經很熟悉了
[00:00:07.020 --> 00:00:10.420]  不知道大家有沒有聽過這個故事的講道
[00:00:10.420 --> 00:00:12.500]  或者是主日學的茶經呢?
[00:00:12.500 --> 00:00:16.260]  大家有沒有聽過這個故事講道和主日學的茶經呢?
[00:00:16.260 --> 00:00:18.560]  有試過也有的
[00:00:18.560 --> 00:00:19.580]  應該都有的
[00:00:19.580 --> 00:00:24.760]  我們都知道我們兩個禮拜後就會慶祝復活節
[00:00:24.760 --> 00:00:27.580]  兩個禮拜以後我們就慶祝復活節
[00:00:27.580 --> 00:00:29.920]  下一個禮拜日下一個主日
[00:00:29.920 --> 00:00:31.040]  下一個主日
[00:00:31.040 --> 00:00:32.000]  是什麼節日呢?
[00:00:32.000 --> 00:00:33.160]  是什麼節日呢?
[00:00:33.160 --> 00:00:35.500]  中女節
[00:00:35.500 --> 00:00:36.840]  是中暑節
[00:00:36.840 --> 00:00:38.160]  是中女節
[00:00:38.160 --> 00:00:41.460]  而這一段經文呢
[00:00:41.460 --> 00:00:42.540]  這一段經文
[00:00:42.540 --> 00:00:47.340]  其實是發生於中女節前的晚上
[00:00:47.340 --> 00:00:48.000]  就是說
[00:00:48.000 --> 00:00:51.540]  這一段經文是發生在中女節的前一個晚上
[00:00:51.540 --> 00:00:55.200]  這個晚上耶穌在伯大尼這個鎮
[00:00:55.200 --> 00:00:57.540]  就是說耶穌在伯大尼這個鎮
[00:00:57.540 --> 00:00:59.380]  有人請祂去吃飯
[00:00:59.380 --> 00:01:01.080]  有人請祂去吃飯
[00:01:01.080 --> 00:01:04.620]  在吃飯的過程當中
[00:01:04.620 --> 00:01:11.620]  瑪利亞就將一瓶很貴的香膏倒在祂的腳上
[00:01:11.620 --> 00:01:15.620]  就將一瓶很貴的香膏倒在耶穌的腳上
[00:01:15.620 --> 00:01:18.080]  引起耶穌的門徒
[00:01:18.080 --> 00:01:19.540]  引起耶穌的門徒
[00:01:19.540 --> 00:01:22.240]  甚至一個叫猶大的人很不滿意
