
[00:00:00.000 --> 00:00:04.500]  好,今天就來跟大家講大衛一生的總結
[00:00:04.500 --> 00:00:06.760]  如果我們留意聖經裡面
[00:00:06.760 --> 00:00:08.560]  除了耶穌基督
[00:00:08.560 --> 00:00:12.820]  是有四卷福音書記載耶穌的生平之外
[00:00:12.820 --> 00:00:14.960]  從來沒有另外一個人
[00:00:14.960 --> 00:00:16.500]  好像大衛這樣
[00:00:16.500 --> 00:00:18.880]  聖經用這麼多的篇幅
[00:00:18.880 --> 00:00:20.620]  來記載他的生平
[00:00:20.620 --> 00:00:22.280]  那可能你說
[00:00:22.280 --> 00:00:23.600]  不是的,牧師
[00:00:23.600 --> 00:00:26.980]  摩世五經有五卷書來記載而已
[00:00:26.980 --> 00:00:29.120]  大衛是有《撒布爾記》上
[00:00:29.120 --> 00:00:32.000]  《撒布爾記》、《列王記》和《歷代之相》
[00:00:32.000 --> 00:00:33.180]  這四卷書
[00:00:33.180 --> 00:00:35.520]  但是不要忘記摩世五經裡面
[00:00:35.520 --> 00:00:37.740]  《利未記》、《文素記》、《生命記》
[00:00:37.740 --> 00:00:42.540]  是在講憲制、律例、人數
[00:00:42.540 --> 00:00:44.460]  不是在講摩西的生平
[00:00:44.460 --> 00:00:49.340]  但是用四卷書來描繪一個人
[00:00:49.340 --> 00:00:52.220]  只有大衛佔這個篇幅
[00:00:52.220 --> 00:00:54.380]  好了,大衛死的時候
[00:00:54.380 --> 00:00:56.140]  聖經為他做一個結論
[00:00:56.140 --> 00:00:58.340]  我們一起聊聊《列王記》上第二章
[00:00:58.340 --> 00:00:59.700]  第十到第十一節
[00:00:59.700 --> 00:01:01.200]  我們一起來讀出
[00:01:01.200 --> 00:01:04.740]  大衛與他列祖同垂
[00:01:04.740 --> 00:01:06.660]  葬在大衛城
[00:01:06.660 --> 00:01:09.900]  大衛作以色列王四十年
[00:01:09.900 --> 00:01:12.700]  在希伯倫作王七年
[00:01:12.700 --> 00:01:16.340]  在耶路撒冷作王三十三年
[00:01:16.340 --> 00:01:18.100]  大衛作王四十年
[00:01:18.100 --> 00:01:19.940]  大衛王朝有四百年
[00:01:19.940 --> 00:01:22.540]  其實如果你看看世界裡面的歷史
[00:01:22.540 --> 00:01:24.740]  有哪一個國家
[00:01:24.740 --> 00:01:28.740]  他們的朝代可以經歷四百年而不衰
[00:01:28.740 --> 00:01:31.940]  所以大衛這個王朝很特別
[00:01:31.940 --> 00:01:33.660]  中國的歷史裡面
[00:01:33.660 --> 00:01:35.860]  沒有哪一個朝代有四百年這麼久
[00:01:35.860 --> 00:01:37.540]  除了漢朝有這麼久
[00:01:37.540 --> 00:01:38.640]  但是不要忘記
[00:01:38.640 --> 00:01:40.240]  也有女后專政
[00:01:40.240 --> 00:01:41.940]  有王翁殺漢
[00:01:41.940 --> 00:01:43.640]  所以你看到
[00:01:43.640 --> 00:01:45.340]  是很特別的,有祝福
[00:01:45.340 --> 00:01:47.040]  但可能你又說不是
[00:01:47.040 --> 00:01:49.240]  在國勢來講
[00:01:49.240 --> 00:01:51.140]  最強的是所羅門
[00:01:51.140 --> 00:01:55.940]  因為當時萬國來帶去朝貢臣服於所羅門
[00:01:55.940 --> 00:01:57.540]  但是不要忘記
[00:01:57.540 --> 00:02:01.340]  是大衛為所羅門奠下了一個很好的根基
[00:02:01.340 --> 00:02:03.040]  而事實上
[00:02:03.040 --> 00:02:05.140]  以色列人也是最尊崇的
[00:02:05.140 --> 00:02:06.240]  就是大衛
[00:02:06.240 --> 00:02:10.040]  他們所盼望的再來的君王彌賽亞
[00:02:10.040 --> 00:02:11.040]  不是所羅門
[00:02:11.040 --> 00:02:12.540]  就好像大衛那樣
[00:02:12.540 --> 00:02:16.440]  而事實上耶穌也被稱為大衛的苗女
[00:02:16.440 --> 00:02:19.340]  耶穌基督在啟示錄裡面
[00:02:19.340 --> 00:02:22.340]  刀離帶去宣告祂就是大衛的後裔
[00:02:22.340 --> 00:02:25.640]  所以我看到大衛的生平是值得我們去反思
[00:02:25.640 --> 00:02:28.540]  我今天會很短時間裡面
[00:02:28.540 --> 00:02:30.640]  很快跟大家從頭到尾
[00:02:30.640 --> 00:02:32.340]  涉獵大衛一些的生平
[00:02:32.340 --> 00:02:33.840]  但是在這裡之前
[00:02:33.840 --> 00:02:35.840]  有三點值得我們去反思
[00:02:35.840 --> 00:02:38.040]  第一就是知所人退
[00:02:38.040 --> 00:02:41.540]  或者這個對我來講是一個更大的提醒
[00:02:41.540 --> 00:02:45.240]  大衛晚年的時候年事已高
[00:02:45.240 --> 00:02:47.340]  但是他仍然很愛國家
[00:02:47.640 --> 00:02:49.340]  當有敵人入侵的時候
[00:02:49.340 --> 00:02:51.440]  他竟然還是怎樣呢?
[00:02:51.440 --> 00:02:54.840]  親自去帶兵出戰
[00:02:54.840 --> 00:02:56.940]  但是他已經忘記了
[00:02:56.940 --> 00:02:59.540]  歲月催人老了
[00:02:59.540 --> 00:03:03.840]  他已經不再是以前那個曉勇善戰的勇士
[00:03:03.840 --> 00:03:05.640]  他又歷有不計
[00:03:05.640 --> 00:03:07.340]  今天早上
[00:03:07.340 --> 00:03:09.040]  我回祖堂的時候
[00:03:09.040 --> 00:03:11.240]  同一個伯伯來打招呼
[00:03:11.240 --> 00:03:14.040]  他馬上跟我哀嘆
