
[00:00:00.000 --> 00:00:01.720]  各位聽眾節目平安好
[00:00:01.720 --> 00:00:03.000]  感謝神的恩典
[00:00:03.000 --> 00:00:05.000]  我會用一堂的時間
[00:00:05.000 --> 00:00:08.600]  跟大家來看提多書
[00:00:08.600 --> 00:00:12.080]  提摩泰前書、提摩泰後書
[00:00:12.080 --> 00:00:16.320]  和提多書被稱為教目書信
[00:00:16.320 --> 00:00:19.200]  提摩泰前書和後書
[00:00:19.200 --> 00:00:24.480]  可以說是講到教目的搜索
[00:00:24.480 --> 00:00:29.680]  而提多書是一本行為的搜索
[00:00:29.680 --> 00:00:37.680]  保羅在第二次和第三次行程裡
[00:00:37.680 --> 00:00:41.640]  帶了提多一起去報道
[00:00:41.640 --> 00:00:45.160]  所以可以說提多是他的助手
[00:00:45.160 --> 00:00:47.160]  是他的傳導人
[00:00:47.160 --> 00:00:49.400]  而早年的時候
[00:00:49.400 --> 00:00:52.280]  保羅在第一次行程的時候
[00:00:52.280 --> 00:00:54.080]  就遇見提多
[00:00:54.080 --> 00:00:56.800]  就帶了他去信耶穌
[00:00:56.800 --> 00:01:00.280]  所以在提多書一章第四節裡說
[00:01:00.280 --> 00:01:05.880]  「因著信,做了我真兒子的提多」
[00:01:05.880 --> 00:01:08.080]  好像提摩泰一樣
[00:01:08.080 --> 00:01:10.720]  都叫他做「真兒子」
[00:01:10.720 --> 00:01:15.440]  所以提多和保羅有很緊密的關係
[00:01:15.440 --> 00:01:18.080]  然後保羅第二、第三次
[00:01:18.080 --> 00:01:21.120]  帶著提多去探訪不同的教會
[00:01:21.120 --> 00:01:24.000]  例如哥林多教會
[00:01:24.000 --> 00:01:32.120]  然後他就把一間教會的責任交給提多
[00:01:32.120 --> 00:01:35.360]  這間教會就在一個島上
[00:01:35.360 --> 00:01:39.280]  這個島我們和合本的翻譯
[00:01:39.280 --> 00:01:42.280]  就叫做「格里底」
[00:01:42.280 --> 00:01:45.080]  但是很多現在的新的譯本
[00:01:45.080 --> 00:01:48.280]  就叫它做「克里特」
[00:01:48.280 --> 00:01:52.760]  大家都知道在地中海那裡有一個島
[00:01:52.760 --> 00:01:55.520]  就叫做「克里特島」
[00:01:55.520 --> 00:02:00.600]  所以提多就做了那裡教會的牧師
[00:02:00.600 --> 00:02:03.160]  他都碰到很多的難處
[00:02:03.160 --> 00:02:05.920]  因為那間教會不成熟
[00:02:05.920 --> 00:02:08.200]  剛剛成立沒多久
[00:02:08.200 --> 00:02:10.960]  所以提多責任很重
[00:02:10.960 --> 00:02:15.760]  他要幫這間教會去設立監督、設立長老
[00:02:15.760 --> 00:02:18.840]  所以保羅在三章聖經裡面
[00:02:18.840 --> 00:02:24.960]  第一章就講到做監督有些什麼的職份
[00:02:24.960 --> 00:02:30.880]  什麼人才可以有資格去成為監督
[00:02:30.880 --> 00:02:37.040]  所以就給提多很多的教導、很多的提示
[00:02:37.040 --> 00:02:38.920]  還有特別提醒他
[00:02:38.920 --> 00:02:40.680]  你要很小心
[00:02:40.680 --> 00:02:46.280]  不要讓教會裡面有些假教師進來了
[00:02:46.280 --> 00:02:51.560]  那些假的教師在傳異教的道理
[00:02:51.560 --> 00:02:54.440]  在傳一些異端的道理
[00:02:54.440 --> 00:02:57.840]  所以保羅就教提多
[00:02:57.840 --> 00:02:59.840]  要怎樣去分辨
[00:02:59.840 --> 00:03:03.640]  怎樣要守住真道
[00:03:03.640 --> 00:03:06.040]  然後到了第二章
[00:03:06.040 --> 00:03:09.400]  就講到在一個家庭裡面
[00:03:09.400 --> 00:03:11.960]  你會見到長者
[00:03:11.960 --> 00:03:14.040]  你會見到年幼的
[00:03:14.040 --> 00:03:15.880]  有男有女
[00:03:15.880 --> 00:03:18.320]  你怎樣去面對
[00:03:18.320 --> 00:03:23.160]  怎樣去處理很多家庭之間的關係
[00:03:23.160 --> 00:03:24.800]  今天我們做牧師的
