
[00:00:00.000 --> 00:00:01.060]  Hallelujah
[00:00:01.060 --> 00:00:08.620]  上禮拜講什麼還記得嗎 問一下你旁邊
[00:00:08.620 --> 00:00:14.940]  脫去救人 是不是
[00:00:14.940 --> 00:00:16.700]  脫去救人
[00:00:16.700 --> 00:00:20.620]  問你旁邊 你脫去救人了沒有
[00:00:20.620 --> 00:00:27.660]  嚴格講起來 我們上禮拜講的是
[00:00:27.660 --> 00:00:30.380]  要致死你的救人 Amen
[00:00:30.380 --> 00:00:33.960]  所以是不是一次就死了
[00:00:33.960 --> 00:00:35.860]  沒有
[00:00:35.860 --> 00:00:41.220]  所以需要常常的 天天的致死他 對不對
[00:00:41.220 --> 00:00:44.240]  但是看看你過去這個禮拜
[00:00:44.240 --> 00:00:46.660]  這一個禮拜有沒有稍微改變一點 有沒有
[00:00:46.660 --> 00:00:49.800]  看看你旁邊有沒有改變一點 有沒有
[00:00:55.280 --> 00:00:58.280]  不是說上禮拜我們講完了致死救人
[00:00:58.280 --> 00:01:01.320]  那我們從此之後這個功課學會了 不是
[00:01:01.320 --> 00:01:02.960]  聽清楚沒
[00:01:02.960 --> 00:01:07.100]  致死救人是一生要做的事情
[00:01:07.100 --> 00:01:13.740]  我們有很多習慣 我們有很多舊的思想
[00:01:13.740 --> 00:01:16.840]  有很多舊的一些的個性脾氣
[00:01:16.840 --> 00:01:19.820]  這些東西啊 我們從小到大
[00:01:19.820 --> 00:01:23.100]  有的時候我們都不自覺 甚至我們還覺得不錯 有沒有
[00:01:23.100 --> 00:01:24.100]  有沒有
[00:01:24.520 --> 00:01:26.620]  有的時候我聽一些北方人說
[00:01:26.620 --> 00:01:28.700]  哎呀 我們北方人就是這個樣子
[00:01:28.700 --> 00:01:31.200]  那個意思是怎麼樣 你知道嗎
[00:01:31.200 --> 00:01:34.260]  我們就是直腸者
[00:01:34.260 --> 00:01:36.340]  不會跟你拐彎抹角
[00:01:36.340 --> 00:01:37.860]  好不好
[00:01:37.860 --> 00:01:46.140]  天然人出來的東西啊 通通都要致死
[00:01:46.140 --> 00:01:47.880]  懂我這意思嗎
[00:01:47.880 --> 00:01:53.060]  當我們在講這些的時候 其實很多時候我們帶著驕傲在講
[00:01:55.140 --> 00:01:58.540]  驕傲不是神所要的 神阻擋驕傲的人
[00:01:58.540 --> 00:02:00.040]  賜恩給
[00:02:00.040 --> 00:02:01.560]  謙卑的人
[00:02:01.560 --> 00:02:05.920]  有人結婚了一輩子
[00:02:05.920 --> 00:02:08.720]  我就是不改
[00:02:08.720 --> 00:02:13.180]  你當年娶我 你就看清楚了
[00:02:13.180 --> 00:02:14.380]  我就是這個樣
[00:02:14.380 --> 00:02:18.820]  拿他沒辦法
[00:02:18.820 --> 00:02:21.900]  是不是 只有當十字架背了
[00:02:22.560 --> 00:02:25.320]  阿門 他不死 怎麼辦
[00:02:25.320 --> 00:02:27.300]  你死
[00:02:27.300 --> 00:02:31.540]  總要有一個人死啊 不然這個婚姻就不能玩下去了
[00:02:31.540 --> 00:02:32.540]  是不是
[00:02:32.540 --> 00:02:35.980]  親愛的丟子妹 所以你可以看見 致死我們的救人
[00:02:35.980 --> 00:02:37.380]  多麼的重要
[00:02:37.380 --> 00:02:39.460]  但是親愛的丟子妹
[00:02:39.460 --> 00:02:42.240]  今天我們要提到
[00:02:42.240 --> 00:02:45.200]  不能夠只是致死救人
[00:02:45.200 --> 00:02:49.060]  致死救人跟穿上新人這兩個
[00:02:49.060 --> 00:02:51.320]  是息息相關的
[00:02:51.660 --> 00:02:54.860]  它同時需要做的 一方面我們致死救人
[00:02:54.860 --> 00:02:58.960]  一方面我們穿上新人 一方面我們脫下救人 是不是
[00:02:58.960 --> 00:03:00.880]  然後一方面呢
[00:03:00.880 --> 00:03:04.960]  一方面還要穿上救人 其實我很想脫下來
[00:03:04.960 --> 00:03:06.720]  但是先穿好了
[00:03:06.720 --> 00:03:09.500]  要穿上新人
[00:03:09.500 --> 00:03:11.740]  親愛的丟子妹
[00:03:11.740 --> 00:03:15.640]  那麼今天我們講到這個新的人是什麼人呢
[00:03:15.640 --> 00:03:18.160]  什麼是新人
[00:03:21.760 --> 00:03:22.760]  好
[00:03:22.760 --> 00:03:26.320]  在聖經裡面讓我們看見一件事情
[00:03:26.320 --> 00:03:29.340]  首先我們要瞭解這個新人是什麼的時候
[00:03:29.340 --> 00:03:34.240]  我們首先要看看起初上帝創造的光景是怎麼樣一個光景
[00:03:34.240 --> 00:03:37.720]  這個圖啊 可能你一下子看不太
[00:03:37.720 --> 00:03:40.700]  太複雜了 但是簡單的說
[00:03:40.700 --> 00:03:45.360]  神造我們的時候
[00:03:45.360 --> 00:03:50.800]  我們有靈魂有體 是不是 靈魂體
[00:03:50.900 --> 00:03:54.820]  那麼當然有的是三元論 有的二元論
[00:03:54.820 --> 00:04:00.040]  基本上你可以看見 其實聖經裡面講到靈魂的時候
[00:04:00.040 --> 00:04:03.920]  它有時候是一起的 講靈魂是一起的
[00:04:03.920 --> 00:04:05.400]  沒有把它分開的
[00:04:05.400 --> 00:04:09.880]  所以像這個離地兄是所謂三元論
[00:04:09.880 --> 00:04:12.120]  就是靈魂體
[00:04:12.120 --> 00:04:14.360]  所以有所謂的靈的破碎
[00:04:14.360 --> 00:04:17.700]  魂的破碎 靈的出來 這些東西
[00:04:18.360 --> 00:04:21.280]  但是事實上面 聖經裡面去看的話
[00:04:21.280 --> 00:04:25.200]  靈跟魂 它兩個人其實是 它兩個是連在一起的
[00:04:25.200 --> 00:04:28.740]  是常常是有 有時候單獨講的 也有時候單獨講魂
[00:04:28.740 --> 00:04:30.600]  所以不能把這兩個分開
[00:04:30.600 --> 00:04:34.720]  一般來講我們應該講說靈魂體 所以
