
[00:00:00.000 --> 00:00:12.000]  我想和大家思想,前書第十二章,標題是「珍惜肢體同哭同榮同苦同樂」
[00:00:12.000 --> 00:00:19.000]  繩裏面有很多的經文,特別是很美麗,用一些簡單的比喻,讓人留下很深刻的提醒
[00:00:19.000 --> 00:00:35.000]  最近我女兒問我甚麼是「衣索語言」,我以前聽很多都沒有追,於是上網看,原來是希臘古代的一些語言
[00:00:35.000 --> 00:00:43.000]  我便看,原來龜兔賽跑,狼來鳥都是衣索語言,我還以為是中國語言
[00:00:43.000 --> 00:00:52.000]  當年孫教士來到中國時,翻譯成中文後,變了一些中國人很流行的語言,但原來都是衣索語言
[00:00:52.000 --> 00:00:57.000]  這些很簡單的比喻,它有很深刻的提醒給我們
[00:00:57.000 --> 00:01:04.000]  保羅今日用的經文是用身體和身體每一部份,他簡單用肢體的比喻
[00:01:04.000 --> 00:01:09.000]  原來我們彼此的關係可以是一個身體和肢體的關係
[00:01:09.000 --> 00:01:18.000]  而不是大家是一個仇敵,不是大家各有各的一個故事,而是一個整體又有多元的情況
[00:01:18.000 --> 00:01:29.000]  國民精神書第十二章二十到二十七節,其中一個觀念就是講到我們弟兄姊妹在整個家裏,每一個都是家庭的一部份
[00:01:29.000 --> 00:01:35.000]  有時用家庭,有時用不同的比喻,今次保羅是一個身體,只是身體的一部份
[00:01:35.000 --> 00:01:39.000]  這一部份都是很重要的,有不同的角色的情況
[00:01:39.000 --> 00:01:44.000]  所以其中一個觀念就是當我們思想到自己在這個大家庭的崗位的時候
[00:01:44.000 --> 00:01:50.000]  提醒一個很重要的提醒就是每一個肢體都是屬於所賜的
[00:01:50.000 --> 00:01:54.000]  即是每一個肢體都是屬於定的所賜
[00:01:54.000 --> 00:02:00.000]  即是手指尾,不是出生便想做手指尾,無端端便做手指尾
[00:02:00.000 --> 00:02:02.000]  即是手指弓,無端端便做手指弓
[00:02:02.000 --> 00:02:07.000]  每一個肢體都是神所定的,神安排的,每一個肢體有其功用
[00:02:07.000 --> 00:02:14.000]  所以第二十節開頭說,但如今肢體是多的,身子卻是一個
[00:02:14.000 --> 00:02:21.000]  這個一和多常常在世界,特別是在教會裏面的相處,家庭裏面的相處有很重要的觀念
[00:02:21.000 --> 00:02:29.000]  我們看一還是看多,有時我們要看多,即是大家有不同的功能,不同的特色,不同的強弱
[00:02:29.000 --> 00:02:36.000]  但有時我們要看一,否則只看多便有很多紛爭,不珍惜
[00:02:36.000 --> 00:02:38.000]  所以有時看多,看一
[00:02:38.000 --> 00:02:43.000]  其實整個哥倫多書信其中一個問題就是分裂,分黨
[00:02:43.000 --> 00:02:50.000]  所以在第一章的時候,保羅便說,我的意思是你們個人說
[00:02:50.000 --> 00:02:56.000]  我是屬保羅的,我是屬阿波羅的,我是屬基法的,我是屬基督的
[00:02:56.000 --> 00:03:04.000]  當時哥倫多教會好像分成很多的群體,很多的黨,忘記他們屬耶穌基督是一個身體
[00:03:04.000 --> 00:03:10.000]  所以保羅處理很多問題的時候,去到十二章,特別進入十三章,愛的詩篇的時候
[00:03:10.000 --> 00:03:16.000]  愛的真諦的時候,愛是恆久忍耐,永不止息等等的教導的時候
[00:03:16.000 --> 00:03:22.000]  他進入了肢體的分別,每一個肢體都是神所預備
[00:03:22.000 --> 00:03:28.000]  而每一個肢體裡面的功能,他們的恩賜,他們的強弱,也是神所定的
[00:03:28.000 --> 00:03:33.000]  其實誰能加入這個肢體成為一部分,都是神定的
[00:03:33.000 --> 00:03:37.000]  其中在臨前第十二章,第一到第三節,找到一起讀嗎?
