
[00:00:00.000 --> 00:00:01.760]  在過去的幾個月
[00:00:01.760 --> 00:00:04.560]  其實我們同福堂、銅鑼灣堂的港台
[00:00:04.560 --> 00:00:06.560]  一直都在說出埃及
[00:00:06.560 --> 00:00:10.340]  一直在看過去發生了什麼事
[00:00:10.340 --> 00:00:12.500]  就是神去藉著摩西
[00:00:12.500 --> 00:00:14.500]  帶以色列人出埃及
[00:00:14.500 --> 00:00:15.800]  然後過了紅海
[00:00:15.800 --> 00:00:19.860]  然後啟暴邁向英許之地
[00:00:19.860 --> 00:00:21.300]  而今天的講道
[00:00:21.300 --> 00:00:25.400]  就說以色列人去到西賴曠野
[00:00:25.400 --> 00:00:28.000]  準備神在西賴山上
[00:00:28.000 --> 00:00:30.200]  去跟他們頒布十誡
[00:00:30.200 --> 00:00:31.300]  我會形容
[00:00:31.300 --> 00:00:33.800]  以色列人在這個過程裡面
[00:00:33.800 --> 00:00:36.800]  他們的心情就是由一個極度興奮
[00:00:36.800 --> 00:00:40.800]  然後慢慢就變為一個忐忑不安
[00:00:40.800 --> 00:00:43.300]  為什麼我會說是極度興奮呢?
[00:00:43.300 --> 00:00:44.500]  因為你想想
[00:00:44.500 --> 00:00:47.100]  在出埃及的過程裡面
[00:00:47.100 --> 00:00:49.200]  那些震撼的神蹟
[00:00:49.200 --> 00:00:52.400]  我們聽過的過紅海、十災
[00:00:52.400 --> 00:00:54.500]  我們已經覺得神很厲害
[00:00:54.500 --> 00:00:56.800]  更何況你想想那些以色列人
[00:00:56.800 --> 00:00:58.100]  他們不是聽
[00:00:58.100 --> 00:01:00.700]  他們是親歷其境地
[00:01:00.700 --> 00:01:03.500]  去見證著神蹟發生的時候
[00:01:03.500 --> 00:01:04.800]  他們會很興奮
[00:01:04.800 --> 00:01:06.700]  因為原來我跟的神
[00:01:06.700 --> 00:01:09.500]  原來我所信的神是這麼堅的
[00:01:09.500 --> 00:01:11.100]  是這麼全能的
[00:01:11.100 --> 00:01:13.000]  我真的沒有選錯
[00:01:13.000 --> 00:01:14.500]  所以他們很興奮
[00:01:14.500 --> 00:01:16.400]  接著就開始啟暴的
[00:01:16.400 --> 00:01:18.100]  去進入曠野
[00:01:18.100 --> 00:01:19.800]  但是發生什麼事呢?
[00:01:19.800 --> 00:01:22.600]  就是原來一些震撼的神蹟
[00:01:22.600 --> 00:01:24.400]  不是天天都發生
[00:01:24.400 --> 00:01:26.100]  他們仍然要面對的
[00:01:26.100 --> 00:01:28.400]  就是他們日常生活的裡面
[00:01:28.400 --> 00:01:29.800]  那些需要
[00:01:29.800 --> 00:01:31.700]  在曠野有什麼需要呢?
[00:01:31.700 --> 00:01:33.200]  沒有水喝
[00:01:33.200 --> 00:01:34.500]  沒有東西吃
[00:01:34.500 --> 00:01:35.700]  接著看看自己
[00:01:35.700 --> 00:01:37.500]  以色列人這個群體
[00:01:37.500 --> 00:01:39.300]  一片混亂
[00:01:39.300 --> 00:01:41.300]  我們混亂不僅如此
[00:01:41.300 --> 00:01:43.000]  還有很多的外敵
[00:01:43.000 --> 00:01:45.800]  一路一路來攻擊以色列人
[00:01:45.800 --> 00:01:48.800]  所以他們帶著興奮的心情
[00:01:48.800 --> 00:01:50.300]  去出埃及
[00:01:50.300 --> 00:01:54.300]  但是瞬間被現實的種種需要
[00:01:54.300 --> 00:01:56.600]  種種的困難去掩蓋
[00:01:56.600 --> 00:01:59.100]  當我們一路去看聖經的時候
[00:01:59.100 --> 00:02:00.200]  我們就發現
[00:02:00.200 --> 00:02:02.200]  當以色列人發現
[00:02:02.200 --> 00:02:06.000]  原來他們在曠野裡面
[00:02:06.000 --> 00:02:09.300]  一路一路期望期望的事情
[00:02:09.300 --> 00:02:10.400]  沒有發生
[00:02:10.400 --> 00:02:11.900]  換回來的
[00:02:11.900 --> 00:02:14.800]  是一個又一個困難的時候
[00:02:14.800 --> 00:02:16.500]  接著他們埋怨
[00:02:16.500 --> 00:02:18.000]  埋怨摩西
[00:02:18.000 --> 00:02:19.900]  但是我也會問的就是
[00:02:19.900 --> 00:02:20.800]  咦?
[00:02:20.800 --> 00:02:22.800]  這樣其實以色列人
[00:02:22.800 --> 00:02:26.800]  為什麼你要去跟摩西出埃及?
[00:02:26.800 --> 00:02:27.600]  是吧?
[00:02:27.600 --> 00:02:28.800]  沒有人逼你的
[00:02:28.800 --> 00:02:30.100]  摩西有沒有拿著一支刀
[00:02:30.100 --> 00:02:31.100]  拿著一支槍
[00:02:31.100 --> 00:02:33.000]  說你一定要跟我出埃及?
[00:02:33.000 --> 00:02:34.700]  沒有什麼發生的
[00:02:34.700 --> 00:02:35.900]  但是為什麼以色列人
[00:02:35.900 --> 00:02:38.000]  會願意跟摩西走呢?
[00:02:38.000 --> 00:02:41.300]  因為當以色列人一路聽摩西說
[00:02:41.300 --> 00:02:43.200]  「列祖之約」的時候
[00:02:43.200 --> 00:02:46.000]  神這些的祝福對他們來說很吸引
[00:02:46.000 --> 00:02:46.700]  你想想
[00:02:46.700 --> 00:02:48.300]  「列祖之約」說的是
[00:02:48.300 --> 00:02:51.200]  「生養眾多,遍滿全地」
[00:02:51.200 --> 00:02:54.200]  就是說如果我用今天的說話去說
[00:02:54.200 --> 00:02:56.700]  你可以找到一個終身的伴侶
[00:02:56.700 --> 00:02:59.300]  跟他成家立室
[00:02:59.300 --> 00:03:01.300]  又可以生兒育女
[00:03:01.300 --> 00:03:02.400]  我們香港地
[00:03:02.400 --> 00:03:04.800]  我們說住屋有問題、有困難
[00:03:04.800 --> 00:03:06.100]  就是沒有屋住
[00:03:06.100 --> 00:03:07.700]  但是神的應該是什麼?
[00:03:07.700 --> 00:03:09.900]  他說還要「得地為業」
[00:03:09.900 --> 00:03:11.900]  就是說連地也給你
[00:03:11.900 --> 00:03:13.700]  你有自治物業的時候
[00:03:13.700 --> 00:03:14.700]  這麼好的祝福
[00:03:14.700 --> 00:03:16.400]  為什麼我不拿?
[00:03:16.400 --> 00:03:17.500]  其實我們今天
[00:03:17.500 --> 00:03:19.000]  我們說我們相信耶穌
[00:03:19.000 --> 00:03:20.700]  我們跟隨神的時候
[00:03:20.700 --> 00:03:22.000]  我們都會不會
[00:03:22.000 --> 00:03:24.000]  就好像那些以色列人那樣
[00:03:24.000 --> 00:03:25.900]  我們說相信耶穌
[00:03:25.900 --> 00:03:28.000]  就是希望拿到這些
[00:03:28.000 --> 00:03:30.900]  我們很想要的物質的祝福呢?
[00:03:30.900 --> 00:03:33.900]  但是當出到去
[00:03:33.900 --> 00:03:36.200]  發現與其的事不是這樣發生
[00:03:36.200 --> 00:03:39.600]  一個又一個困難的時候
[00:03:39.600 --> 00:03:42.200]  以色列人常常說的一句話
