
[00:00:00.000 --> 00:00:05.920]  OK,雖然在年初,年初應該講到很開心法律的訊息
[00:00:05.920 --> 00:00:09.880]  不過,招牧師比較實際一點
[00:00:09.880 --> 00:00:12.880]  因為其實我們回看社會,我們的世界
[00:00:12.880 --> 00:00:17.920]  其實每天看新聞,都有很多令我們覺得不開心的事
[00:00:17.920 --> 00:00:21.600]  那麼,我們基督徒生活在這樣的世代當中
[00:00:21.600 --> 00:00:24.360]  到底我們應該做出什麼回應呢?
[00:00:24.360 --> 00:00:30.360]  上星期跟大家說,其實我們生活在一個很動盪的世界當中
[00:00:30.360 --> 00:00:36.440]  烽煙四起,到處打仗,有很多經濟危機出現,諸如此類的事情
[00:00:36.440 --> 00:00:40.160]  我們發覺,我們在美國幸福一點點
[00:00:40.160 --> 00:00:45.360]  但其實世界整體來說,變得越來越混亂
[00:00:45.360 --> 00:00:49.160]  我相信大家都不會反對,大家同意,對不對?
[00:00:49.160 --> 00:00:51.840]  但問題是,好像我剛才所說
[00:00:51.840 --> 00:00:59.480]  當我們生活在一個很混亂、很動盪、充滿問題的一個社會和世界當中的時候
[00:00:59.480 --> 00:01:03.080]  不知道大家會不會覺得有點迷惘呢?
[00:01:03.080 --> 00:01:06.440]  為什麼上帝會將我們放在這樣的時間空間當中
[00:01:06.440 --> 00:01:09.120]  面對這樣的事情呢?
[00:01:09.120 --> 00:01:15.480]  現在的世界,而且都變得很快
[00:01:15.480 --> 00:01:19.120]  快到一個地步,我們覺得很難適應
[00:01:19.120 --> 00:01:23.720]  到一個地步,我們今天不知道明天會發生什麼事
[00:01:23.720 --> 00:01:25.480]  你會覺得很迷惘,對不對?
[00:01:25.480 --> 00:01:28.800]  如果你在一些比較極權的國家當中
[00:01:28.800 --> 00:01:31.000]  這個情況就更加嚴重了
[00:01:31.000 --> 00:01:32.840]  大家都很聽過,對不對?
[00:01:32.840 --> 00:01:38.120]  一方面我們要加緊,要全面清零的
[00:01:38.120 --> 00:01:41.120]  第二天就說,我們養得越快越好
[00:01:41.120 --> 00:01:42.800]  一方面要建方艙醫院
[00:01:42.800 --> 00:01:45.400]  但另一方面來說,全部的東西都要拆了
[00:01:45.400 --> 00:01:49.720]  現在我們要完全開放了
[00:01:49.720 --> 00:01:51.760]  或者有聽到什麼呢?
[00:01:51.760 --> 00:01:55.320]  房屋是買來住的,不是用來炒的
[00:01:55.320 --> 00:01:57.000]  所以不可以多買一間屋
[00:01:57.000 --> 00:02:00.360]  過了第二天之後,現在你可以再買一間屋
[00:02:00.360 --> 00:02:04.040]  用來住也好,租給別人也好,或者投資也好
[00:02:04.040 --> 00:02:06.480]  所以有時候人生在這樣的環境當中
[00:02:06.480 --> 00:02:08.080]  很難適應,對不對?
[00:02:08.080 --> 00:02:10.840]  我們很幸運,我們生活在美國
[00:02:10.840 --> 00:02:14.800]  或者在一些比較自由民主的社會當中
[00:02:14.800 --> 00:02:18.400]  情況比較好,是不是真的比較好呢?
[00:02:18.400 --> 00:02:20.280]  在自由民主的社會當中
[00:02:20.280 --> 00:02:24.000]  糟了,很多時候選擇太多了
[00:02:24.000 --> 00:02:26.560]  選擇太多的時候,一樣樣你都可以做
[00:02:26.560 --> 00:02:28.320]  一樣樣可以自己決定
[00:02:28.320 --> 00:02:30.760]  很多人不知如何取捨
[00:02:30.760 --> 00:02:33.400]  當你不知如何取捨的時候,你會怎樣?
[00:02:33.400 --> 00:02:36.640]  你會覺得很混亂,又會覺得很迷惘
[00:02:36.640 --> 00:02:40.280]  很多時候,我們沒有人生的方向和目的
[00:02:40.280 --> 00:02:45.680]  每天就是為了滿足自己的慾望而去生活
[00:02:45.680 --> 00:02:48.600]  現在,特別我們在一些發達的國家
[00:02:48.600 --> 00:02:50.720]  譬如美國,我剛才說什麼?
[00:02:50.720 --> 00:02:54.480]  社交媒體,即是越來越普及了
[00:02:54.480 --> 00:02:57.600]  大家有沒有社交媒體的帳戶?
[00:02:57.600 --> 00:03:00.040]  很多都有,老人家少一些,對不對?
[00:03:00.040 --> 00:03:01.960]  但是你要和小朋友溝通
[00:03:01.960 --> 00:03:07.160]  都要學學用iPad,手機,這些東西
[00:03:07.160 --> 00:03:13.840]  這些社交媒體其實對我們的生活造成很大的影響
[00:03:13.840 --> 00:03:18.600]  現在社交媒體上來說,除了大家溝通之外
[00:03:18.600 --> 00:03:21.480]  還有很多網上的遊戲
[00:03:21.480 --> 00:03:24.720]  這個不只是給年輕人玩的,大人也玩的
[00:03:24.720 --> 00:03:28.080]  不過,年輕人玩的就多一些
