
[00:00:00.000 --> 00:00:08.900]  昨天我們提到神做事好像有少少破了我們人間所認爲的規格
[00:00:08.900 --> 00:00:12.800]  昨天說到神做事情往往破了人間的規格
[00:00:12.800 --> 00:00:19.300]  是差不多有些很出位的、不按地出牌的方法來做事
[00:00:19.300 --> 00:00:22.400]  是出格的、不按牌理來出牌的這樣的形式
[00:00:22.400 --> 00:00:25.000]  令我們有時候都覺得接受不了
[00:00:25.000 --> 00:00:26.500]  有時候我們不能接受
[00:00:26.500 --> 00:00:33.900]  但是我要講清楚,要補充一下
[00:00:33.900 --> 00:00:40.500]  就是我們的神做事並不是沒有原則的
[00:00:40.500 --> 00:00:44.300]  也不是沒有倫理的要求
[00:00:44.300 --> 00:00:51.200]  是有的,他自己做事可以這樣
[00:00:51.200 --> 00:00:55.700]  但是他對他所創造的指紋是有所要求的
[00:00:55.700 --> 00:00:57.400]  他做事可以如此行
[00:00:57.400 --> 00:01:00.100]  但對於他所創造的指紋是有所要求的
[00:01:00.100 --> 00:01:02.900]  你們也很清楚,你們要聖潔
[00:01:02.900 --> 00:01:05.600]  因爲我是聖潔的
[00:01:05.600 --> 00:01:08.200]  你們要聖潔,因爲我是聖潔的
[00:01:08.200 --> 00:01:12.100]  所以所有屬在主的名下的人
[00:01:12.100 --> 00:01:18.600]  必須要在人生的道路里面向聖潔的道路奔跑、追求
[00:01:18.600 --> 00:01:20.400]  所以所有屬主名下的人
[00:01:20.400 --> 00:01:22.800]  人生必定要向聖潔來奔跑
[00:01:22.800 --> 00:01:24.200]  不過很可惜
[00:01:24.200 --> 00:01:29.800]  可惜的是人往往都是軟弱失敗
[00:01:29.800 --> 00:01:31.600]  就像今天早上萊特穆斯所講
[00:01:31.600 --> 00:01:34.800]  我們根本就是失敗的一羣的子民
[00:01:34.800 --> 00:01:41.000]  聖潔也都寫給了失敗的人
[00:01:41.000 --> 00:01:42.900]  記錄了很多失敗的人
[00:01:42.900 --> 00:01:46.000]  《聖經》當中也記錄了很多失敗的人和事
[00:01:46.000 --> 00:01:48.200]  萊特穆斯今天早上講得很清楚
[00:01:48.200 --> 00:01:51.500]  你和我都會失敗
[00:01:51.500 --> 00:01:56.900]  過去會失敗,將來也會失敗
[00:01:56.900 --> 00:02:03.900]  但並不是說我們沒有出路,沒有指引
[00:02:03.900 --> 00:02:14.000]  先知以西潔在他的二十章十五到十七節裏面這樣講
[00:02:14.000 --> 00:02:27.800]  神有些後悔地說:我在曠野起誓,必不令他們進入我所賜的流奶與蜜之地
[00:02:27.800 --> 00:02:32.600]  就是全地中最美好之地
[00:02:32.600 --> 00:02:37.400]  因爲他們厭棄我的典章
[00:02:37.400 --> 00:02:40.600]  不順從我的律例
[00:02:40.600 --> 00:02:44.000]  干犯我的安息日
[00:02:44.000 --> 00:02:49.200]  他們的心隨從自己的偶像
[00:02:49.200 --> 00:02:56.800]  雖然如此,我仍願固釋他們,不滅絕他們
[00:02:56.800 --> 00:03:03.000]  不再曠野把他們滅絕儘儘
[00:03:03.000 --> 00:03:10.400]  但你知道神的心裏面是非常矛盾的,又愛又恨
[00:03:10.400 --> 00:03:20.600]  要愛這幫子民挽回他們,但他們常常都隨心己欲去隨從偶像
[00:03:20.600 --> 00:03:24.000]  神恩情帶領他們出埃及,去到迦南美地
[00:03:24.000 --> 00:03:28.200]  但他們竟然去拜那些巴力的諸神
[00:03:28.200 --> 00:03:35.000]  神用恩情帶他們出埃及,進入迦南,但他們竟然拜迦南外邦的諸神
[00:03:35.000 --> 00:03:38.000]  一次一次是這樣重複出現
[00:03:38.000 --> 00:03:39.400]  重複又重複的出現
[00:03:39.400 --> 00:03:43.000]  現在祕魯到巴比倫,七十年都一樣
[00:03:43.000 --> 00:03:46.600]  他們開始覺得神不靈了,神沒有拯救了
[00:03:46.600 --> 00:03:50.600]  所以又轉向巴比倫諸神來叩拜
[00:03:50.600 --> 00:03:54.200]  現在祕魯巴比倫七十幾年又固態復蒙了
[00:03:54.200 --> 00:03:56.400]  覺得神不靈驗了,又去拜巴比倫的偶像
[00:03:56.400 --> 00:04:00.600]  所以四十六章第一節說,祕魯叩拜,尼泊爾屈身
[00:04:00.600 --> 00:04:04.000]  就是指着巴比倫的偶像
[00:04:04.000 --> 00:04:09.600]  這節說到祕魯叩拜,尼泊爾屈身,這些都是巴比倫的偶像
[00:04:09.600 --> 00:04:12.400]  你看看,真是神很厭惡這幫子民
[00:04:12.400 --> 00:04:14.400]  神真的很厭惡這些子民
[00:04:14.400 --> 00:04:16.600]  敬拜偶像,不敬拜我
[00:04:16.600 --> 00:04:18.000]  敬拜偶像,不來敬拜我
[00:04:18.000 --> 00:04:22.000]  我這麼好對他們,但他們一點感恩之心都沒有
[00:04:22.000 --> 00:04:24.800]  我對他們這麼好,他們完全沒有感恩的心
[00:04:24.800 --> 00:04:29.000]  完全是他們只是表達了一種自我的喜好
[00:04:29.000 --> 00:04:31.400]  或者自戀的那種心態
[00:04:31.400 --> 00:04:34.600]  他們完全表達自我的喜好,一種自戀的心態
[00:04:34.600 --> 00:04:38.800]  以自己的方式去敬拜,來代替敬拜真神
[00:04:38.800 --> 00:04:41.800]  用自己喜歡的方式來敬拜,代替敬拜真神
[00:04:41.800 --> 00:04:45.000]  所以以色列真的干犯了神的聖潔
[00:04:45.000 --> 00:04:46.600]  所以以色列干犯了神的聖潔
[00:04:46.600 --> 00:04:51.800]  神興起巴比倫來,老去,就是表示祂懲罰祂的子民
[00:04:51.800 --> 00:04:54.800]  神興起巴比倫把他們滷去,這就是懲罰
[00:04:54.800 --> 00:04:57.600]  神有時候把你放在一個處境裏面
[00:04:57.600 --> 00:05:01.400]  可能就是神懲罰你的一種原因
[00:05:01.400 --> 00:05:03.400]  有時候神把你放在某些處境
[00:05:03.400 --> 00:05:05.600]  同樣是神可能在懲罰你
[00:05:05.600 --> 00:05:10.400]  但神又興起居老式,請教他們脫離這個被滷之地
[00:05:10.400 --> 00:05:16.800]  反映神那種憐憫、愛惜、眷顧的恩情
[00:05:16.800 --> 00:05:19.200]  反映了神的憐憫、愛惜和眷顧
[00:05:19.200 --> 00:05:22.400]  所以你見到神愛恨的平衡在這裏
[00:05:22.400 --> 00:05:24.800]  所以當中看到神的愛恨的平衡
[00:05:24.800 --> 00:05:28.400]  現在以色列重提舊事
[00:05:28.400 --> 00:05:33.800]  只是表明以色列百姓清楚明白偶像文化的害處在哪裏
[00:05:33.800 --> 00:05:37.400]  不過他們仍然不會迴轉
[00:05:37.400 --> 00:05:41.600]  希望以色列清楚明白偶像敬拜文化的災禍性
[00:05:41.600 --> 00:05:43.000]  期待他們來回轉
[00:05:43.000 --> 00:05:46.200]  神之所以重新提及他們拜偶像的事
[00:05:46.200 --> 00:05:51.000]  就是希望他們能夠迴轉過來尋找正確的定位
[00:05:51.000 --> 00:05:57.800]  不要再重蹈覆轍
[00:05:57.800 --> 00:06:03.000]  這個正是46到47章裏面的信息
[00:06:03.000 --> 00:06:12.600]  激勵他們在私信仰倫理道德的一種底線
[00:06:12.600 --> 00:06:14.800]  是什麼底線呢?
[00:06:14.800 --> 00:06:17.000]  就是我清楚神話
[00:06:17.000 --> 00:06:19.200]  我是唯一的真神
[00:06:19.200 --> 00:06:20.400]  別無別神
[00:06:20.400 --> 00:06:22.400]  除我以外不可拜別神
[00:06:22.400 --> 00:06:24.400]  神清楚地說我是唯一的神
[00:06:24.400 --> 00:06:25.200]  沒有別神
[00:06:25.200 --> 00:06:26.600]  除我以外不可拜別神
[00:06:26.600 --> 00:06:28.200]  這個是唯一的底線
[00:06:28.200 --> 00:06:30.000]  這就是唯一的底線
[00:06:30.000 --> 00:06:35.600]  你都可以在某些生活上隨從某些文化去改變
[00:06:35.600 --> 00:06:38.800]  OK,不牴觸拜
[00:06:38.800 --> 00:06:40.600]  不牴觸不拜我就行了
[00:06:40.600 --> 00:06:45.400]  生活上有時候你隨從一些的文化的一些的潮流的時候
[00:06:45.400 --> 00:06:46.400]  也是可以的
[00:06:46.400 --> 00:06:49.800]  只要不去牴觸敬拜神這個底線
[00:06:49.800 --> 00:06:52.800]  但如果你妥協的時候拜那些偶像
[00:06:52.800 --> 00:06:54.800]  你就離開了我的標準
[00:06:54.800 --> 00:06:56.000]  我是聖潔的
