
[00:00:00.000 --> 00:00:02.400]  警覺時代的弊端
[00:00:02.400 --> 00:00:04.440]  有很多地方我們需要去了解
[00:00:04.440 --> 00:00:06.160]  但今天跟大家分享
[00:00:06.160 --> 00:00:08.960]  都是從聖經裏神的話語而來
[00:00:08.960 --> 00:00:11.360]  我自己很感謝主基地說
[00:00:11.360 --> 00:00:14.640]  如果你認識我久一點的
[00:00:14.640 --> 00:00:18.640]  你可能知道譚牧師以前是工程師
[00:00:18.640 --> 00:00:23.360]  做工程師是在1991年的時間
[00:00:23.360 --> 00:00:27.280]  神就呼召我進安省神樂園讀書
[00:00:27.280 --> 00:00:30.000]  1992年正式全職讀書
[00:00:30.000 --> 00:00:32.240]  我做了12年工程師
[00:00:32.240 --> 00:00:34.480]  12年工程師的生涯裏面
[00:00:34.480 --> 00:00:37.040]  其實不知道你知不知道
[00:00:37.040 --> 00:00:41.040]  我們工程師有一個叫IronWing
[00:00:41.040 --> 00:00:42.640]  叫鐵指環
[00:00:42.640 --> 00:00:43.600]  應該
[00:00:43.600 --> 00:00:45.440]  慢着 有沒有工程師在這兒
[00:00:45.440 --> 00:00:47.360]  讓我們先解釋一下
[00:00:47.360 --> 00:00:49.840]  好東西 好東西 有啊 有啊
[00:00:49.840 --> 00:00:52.320]  工程師右手的手指
[00:00:52.320 --> 00:00:53.920]  是什麼叫鐵指環呢
[00:00:53.920 --> 00:00:54.880]  其實是什麼意思呢
[00:00:54.880 --> 00:00:56.480]  這個IronWing呢
[00:00:56.480 --> 00:00:57.760]  是紀念到
[00:00:57.760 --> 00:01:01.440]  既然能力越大責任越大那些東西
[00:01:01.440 --> 00:01:03.440]  當時就是說你知識
[00:01:03.440 --> 00:01:05.440]  你去建橋 建路
[00:01:05.440 --> 00:01:07.680]  建造這個社會
[00:01:07.680 --> 00:01:10.160]  人命安全在你的手裏面
[00:01:10.160 --> 00:01:11.840]  原來大概在一百年前
[00:01:11.840 --> 00:01:13.200]  一九零七年
[00:01:13.200 --> 00:01:17.520]  有一條橋在區北那邊倒塌了
