
[00:00:00.000 --> 00:00:02.000]  有一句這樣的說話
[00:00:02.000 --> 00:00:05.000]  不知道你有沒有曾經這樣說過人
[00:00:05.000 --> 00:00:08.000]  或者被人這樣說過
[00:00:08.000 --> 00:00:10.000]  什麼說話呢
[00:00:10.000 --> 00:00:13.000]  你不說話沒有人說你啞的
[00:00:13.000 --> 00:00:16.000]  要這樣的語氣的
[00:00:16.000 --> 00:00:18.000]  對不對
[00:00:18.000 --> 00:00:19.000]  早上我也是嘔吐
[00:00:19.000 --> 00:00:22.000]  這裡大家心裡嘔吐就可以了
[00:00:22.000 --> 00:00:24.000]  通常都會的
[00:00:24.000 --> 00:00:27.000]  當然這個反映到這個情況
[00:00:27.000 --> 00:00:30.000]  有時候我們跟著可能下一句
[00:00:30.000 --> 00:00:32.000]  你說話都不經大腦的
[00:00:32.000 --> 00:00:34.000]  可能是這樣的情況
[00:00:34.000 --> 00:00:35.000]  事實上是會的
[00:00:35.000 --> 00:00:37.000]  我們有時候都會衝動
[00:00:37.000 --> 00:00:41.000]  或者我們可能說些話可能不中聽
[00:00:41.000 --> 00:00:44.000]  可能說些話是頂撞人
[00:00:44.000 --> 00:00:48.000]  說些話是不是很合適的場合
[00:00:48.000 --> 00:00:51.000]  當然這個被我們反映到
[00:00:51.000 --> 00:00:53.000]  在現在來說
[00:00:53.000 --> 00:00:56.000]  一個這麼喧鬧的世界裡面
[00:00:56.000 --> 00:00:58.000]  很多時候很多聲音
[00:00:58.000 --> 00:01:02.000]  很多不同的人說不同的說話
[00:01:02.000 --> 00:01:06.000]  我們會覺得大家都要參與其中
[00:01:06.000 --> 00:01:12.000]  總以為說話總是比安靜重要的
[00:01:12.000 --> 00:01:16.000]  不過事實上我們又要去思想
[00:01:16.000 --> 00:01:20.000]  有時候都會發覺到沉默
[00:01:20.000 --> 00:01:22.000]  都是很重要的時候
[00:01:22.000 --> 00:01:24.000]  曾經有人說過
[00:01:24.000 --> 00:01:28.000]  我從來我會後悔
[00:01:28.000 --> 00:01:31.000]  曾經我說過這些話會後悔
[00:01:31.000 --> 00:01:33.000]  但是我從來不會後悔
[00:01:33.000 --> 00:01:36.000]  就是我曾經沉默過
[00:01:36.000 --> 00:01:38.000]  當然很有意思
[00:01:38.000 --> 00:01:43.000]  就是說說話有機會說錯
[00:01:43.000 --> 00:01:45.000]  有機會是不合適
[00:01:45.000 --> 00:01:47.000]  但是當你沉默的時候
[00:01:47.000 --> 00:01:52.000]  很多時候都是一個好的反應
[00:01:52.000 --> 00:01:55.000]  或者是一個好的處事方法
[00:01:55.000 --> 00:01:57.000]  今天跟大家講的題目是
[00:01:57.000 --> 00:02:00.000]  「危機中的安靜」
[00:02:00.000 --> 00:02:04.000]  剛才主席都跟我們讀了一段經文
[00:02:04.000 --> 00:02:08.000]  這段經文是在《熱汰亞書》裡面
[00:02:08.000 --> 00:02:11.000]  記述到當年
[00:02:11.000 --> 00:02:13.000]  公元前701年的時候
[00:02:13.000 --> 00:02:16.000]  亞述王西拿基納
[00:02:16.000 --> 00:02:22.000]  去攻取猶大國,南國
[00:02:22.000 --> 00:02:27.000]  當時他已經揮軍進入南國
[00:02:27.000 --> 00:02:30.000]  已經去到他們主要的地方
[00:02:30.000 --> 00:02:33.000]  耶路撒冷
[00:02:33.000 --> 00:02:35.000]  圍城
[00:02:35.000 --> 00:02:39.000]  南國的皇帝希西加王圍困在裡面
[00:02:39.000 --> 00:02:42.000]  但是希西加王都有準備的
[00:02:42.000 --> 00:02:45.000]  他都知道要圍困不知道多長時間
