
[00:00:00.000 --> 00:00:01.440]  今天我這篇講道
[00:00:01.440 --> 00:00:04.040]  我會覺得真的很難講
[00:00:04.040 --> 00:00:05.960]  因為這篇講道很難講
[00:00:05.960 --> 00:00:07.680]  並不是一個釋經問題
[00:00:07.680 --> 00:00:09.600]  而是一個題目的問題
[00:00:09.600 --> 00:00:11.600]  而是一個內容的問題
[00:00:11.600 --> 00:00:13.080]  這個內容就是
[00:00:13.080 --> 00:00:15.960]  究竟今天基督教信仰那一篇
[00:00:15.960 --> 00:00:21.480]  是否容許離婚和再婚
[00:00:21.480 --> 00:00:26.040]  其實這是一個時下社會的問題
[00:00:26.040 --> 00:00:31.360]  因為全香港有百分之四十的離婚率
[00:00:31.360 --> 00:00:32.800]  美國百分之五十
[00:00:32.800 --> 00:00:34.520]  中國也有百分之五十
[00:00:34.520 --> 00:00:38.360]  以致離婚似乎是一個很普遍的現象
[00:00:38.360 --> 00:00:43.880]  甚至教會絕對沒有任何絕緣的絕緣體
[00:00:43.880 --> 00:00:47.520]  教會也有面對離婚的挑戰
[00:00:47.520 --> 00:00:50.200]  以致很多弟兄姊妹會問牧師
[00:00:50.200 --> 00:00:53.960]  牧師究竟我們基督徒可否離婚
[00:00:53.960 --> 00:00:56.640]  這是一個很難回答的問題
[00:00:56.640 --> 00:00:59.200]  以致我們說可以或不可以
[00:00:59.200 --> 00:01:00.800]  也會帶來危機
[00:01:00.800 --> 00:01:05.880]  但是今天剛好安排這段聖經給我講
[00:01:05.880 --> 00:01:07.360]  我又不可以不講
[00:01:07.360 --> 00:01:08.960]  如果第二個同工講完之後
[00:01:08.960 --> 00:01:10.240]  第二個同工也會說
[00:01:10.240 --> 00:01:11.520]  這是我的意見
[00:01:11.520 --> 00:01:13.600]  未必是主人牧師的意見
[00:01:13.600 --> 00:01:15.040]  今天主人牧師講的
[00:01:15.040 --> 00:01:16.160]  就是沒有辦法
[00:01:16.160 --> 00:01:18.280]  是主人牧師的意見
[00:01:18.280 --> 00:01:23.080]  亦是我們播道會同福堂的一個意見
[00:01:23.080 --> 00:01:25.360]  我相信今天講這篇道理的原因
[00:01:25.360 --> 00:01:28.640]  剛好上帝給我這樣的機會
[00:01:28.640 --> 00:01:29.680]  但另一方面
[00:01:29.680 --> 00:01:31.960]  我們去講這段聖經之前
[00:01:31.960 --> 00:01:35.280]  我們必須要想回第九章
[00:01:35.280 --> 00:01:38.080]  第九章過去我們有三堂道
[00:01:38.080 --> 00:01:39.160]  講第九章
[00:01:39.160 --> 00:01:41.040]  我想很短的時間
[00:01:41.040 --> 00:01:43.720]  講回這三堂道的握要
[00:01:43.720 --> 00:01:46.320]  帶回今天這堂道
[00:01:46.320 --> 00:01:49.440]  因為我們很深信我們識經的人
[00:01:49.440 --> 00:01:51.840]  我們一定要強調上下物
[00:01:51.840 --> 00:01:54.040]  我們不能斷章取義
[00:01:54.040 --> 00:01:56.000]  第九章一開始的時候
[00:01:56.000 --> 00:01:58.000]  由第一節數十三節
[00:01:58.000 --> 00:02:00.040]  耶穌帶著三個門徒
[00:02:00.040 --> 00:02:01.520]  去到黑門山上
[00:02:01.520 --> 00:02:03.600]  他在山上有一個變形
[00:02:03.600 --> 00:02:07.640]  一個榮耀的一個情景
[00:02:07.640 --> 00:02:10.440]  直到三個門徒跟耶穌說
[00:02:10.440 --> 00:02:13.360]  哇!在山上真的好
[00:02:13.360 --> 00:02:15.040]  能夠見到摩西、見到以利亞
[00:02:15.040 --> 00:02:16.120]  你們三個這麼友善
[00:02:16.120 --> 00:02:17.080]  可以聊天
[00:02:17.080 --> 00:02:18.720]  不如我們不要下山
[00:02:18.720 --> 00:02:20.840]  不如在山上做三個帳幕
[00:02:20.840 --> 00:02:22.080]  但是耶穌說不是
[00:02:22.080 --> 00:02:25.120]  我們上山的原因是要下山
[00:02:25.120 --> 00:02:26.560]  因為耶穌自己說
[00:02:26.560 --> 00:02:31.160]  我的榮耀背後的源頭是來自苦難
[00:02:31.160 --> 00:02:33.320]  因為耶穌知道他要下山
[00:02:33.320 --> 00:02:34.960]  去面對苦難
[00:02:34.960 --> 00:02:37.640]  以致到這個山上的變形
[00:02:37.640 --> 00:02:39.600]  是給門徒一個信心
[00:02:39.600 --> 00:02:42.040]  你跟隨這個主耶穌
[00:02:42.040 --> 00:02:43.440]  可能會面對苦難
[00:02:43.440 --> 00:02:45.120]  也會看到苦難
[00:02:45.120 --> 00:02:47.720]  甚至耶穌自己也受到苦難
[00:02:47.720 --> 00:02:49.720]  但是這個苦難再向前
[00:02:49.720 --> 00:02:53.160]  我們要知道這個耶穌是榮耀的耶穌
[00:02:53.160 --> 00:02:56.440]  所以我們跟隨的是榮耀的耶穌
