
[00:00:00.000 --> 00:00:04.000]  今天很想藉著舊約里希米一段經文
[00:00:04.000 --> 00:00:06.000]  透過神的話語
[00:00:06.000 --> 00:00:10.000]  讓我們一起檢視一下我們的崇拜生活
[00:00:10.000 --> 00:00:13.000]  我們再想想為什麼我們要回來崇拜
[00:00:13.000 --> 00:00:16.000]  為什麼我們一定要一起聚集在這裡
[00:00:16.000 --> 00:00:18.000]  一起去敬拜神
[00:00:18.000 --> 00:00:22.000]  究竟崇拜是什麼一回事呢
[00:00:22.000 --> 00:00:27.000]  我不知道大家對以色列這個民族有多少認識
[00:00:27.000 --> 00:00:32.000]  讓我交代一下這個民族的背景歷史
[00:00:32.000 --> 00:00:36.000]  以色列民族原本是神所揀選的子民
[00:00:36.000 --> 00:00:38.000]  但因為他們背棄神
[00:00:38.000 --> 00:00:40.000]  拜偶像得罪神
[00:00:40.000 --> 00:00:42.000]  所以被神審判
[00:00:42.000 --> 00:00:47.000]  神將他們被擄分散到外邦
[00:00:47.000 --> 00:00:51.000]  以色列被擄由猶大亡國開始
[00:00:51.000 --> 00:00:53.000]  北國亡於亞述
[00:00:53.000 --> 00:00:55.000]  南國亡於巴比倫
[00:00:55.000 --> 00:00:57.000]  當時聖殿未毀
[00:00:57.000 --> 00:01:01.000]  神的百姓全數被擄到其他地方
[00:01:01.000 --> 00:01:04.000]  離開他們自己的家鄉
[00:01:04.000 --> 00:01:08.000]  這個離開象徵著神的子民
[00:01:08.000 --> 00:01:11.000]  和他們子民的約的關係破裂
[00:01:11.000 --> 00:01:13.000]  但神是一位守約
[00:01:13.000 --> 00:01:15.000]  師慈愛的神
[00:01:15.000 --> 00:01:20.000]  因著祂的子民願意悔改、迴轉
[00:01:20.000 --> 00:01:23.000]  祂就私恩憐憫祂的子民
[00:01:23.000 --> 00:01:26.000]  帶領他們回到自己的故鄉
[00:01:26.000 --> 00:01:31.000]  在主前538年
[00:01:31.000 --> 00:01:35.000]  當時的所羅巴伯帶領了
[00:01:35.000 --> 00:01:40.000]  49,897人回到自己的故鄉
[00:01:40.000 --> 00:01:43.000]  耶路撒冷重建聖殿
[00:01:43.000 --> 00:01:47.000]  四年後聖殿終於建成
[00:01:47.000 --> 00:01:51.000]  到主前458年
[00:01:51.000 --> 00:01:55.000]  聖殿現在帶領教導律法這個使命
[00:01:55.000 --> 00:01:57.000]  重新回到耶路撒冷
[00:01:57.000 --> 00:02:03.000]  當時祂帶了1,754個以色列人回歸
[00:02:03.000 --> 00:02:05.000]  這是第二次回歸
[00:02:05.000 --> 00:02:09.000]  到了445年
[00:02:09.000 --> 00:02:12.000]  當時的省長尼希米
[00:02:12.000 --> 00:02:16.000]  召集了之前兩次回歸的以色列人
[00:02:16.000 --> 00:02:19.000]  重建耶路撒冷的城牆
[00:02:19.000 --> 00:02:22.000]  但重建的過程一點都不簡單
[00:02:22.000 --> 00:02:26.000]  當時的民族有很多阻撓
[00:02:26.000 --> 00:02:30.000]  讓他們重建的過程遇上重重困難
[00:02:30.000 --> 00:02:34.000]  當時重建過程的工人
[00:02:34.000 --> 00:02:38.000]  都是一手做工一手拿兵器
[00:02:38.000 --> 00:02:42.000]  尼希米記就是尼希米當時的回憶錄
[00:02:42.000 --> 00:02:45.000]  記載著當時一班被擄回歸的以色列人
[00:02:45.000 --> 00:02:49.000]  回到耶路撒冷重建他們的城牆
[00:02:49.000 --> 00:02:51.000]  以及他們的家園
[00:02:51.000 --> 00:02:55.000]  之後就回復他們的宗教體制
[00:02:55.000 --> 00:02:59.000]  整卷的尼希米記總共有13章
[00:02:59.000 --> 00:03:01.000]  分成兩部份
[00:03:01.000 --> 00:03:03.000]  第一部份是1至7章
[00:03:03.000 --> 00:03:06.000]  是描述重建城牆的過程
[00:03:06.000 --> 00:03:10.000]  用7章的經文去描寫怎樣重建城牆
[00:03:10.000 --> 00:03:12.000]  你很想知道那個過程一點都不容易
[00:03:12.000 --> 00:03:14.000]  一點都不簡單
[00:03:14.000 --> 00:03:16.000]  而第8至13章
[00:03:16.000 --> 00:03:19.000]  就是描寫重建子民的過程
[00:03:19.000 --> 00:03:21.000]  當城牆完成了重建之後
[00:03:21.000 --> 00:03:25.000]  他們就慢慢回復宗教生活和社會生活
[00:03:25.000 --> 00:03:28.000]  而中間的第8章是很特別的
[00:03:28.000 --> 00:03:31.000]  記載了一場崇拜
[00:03:31.000 --> 00:03:34.000]  這場崇拜是一場戶外崇拜
[00:03:34.000 --> 00:03:38.000]  我覺得是一場很精彩的崇拜
[00:03:38.000 --> 00:03:40.000]  怎樣精彩呢?
[00:03:40.000 --> 00:03:44.000]  因為裡面有一隊很厲害的樂隊
[00:03:44.000 --> 00:03:48.000]  也不是有一個很龐大的師班
[00:03:48.000 --> 00:03:50.000]  更加沒有管弦樂團
[00:03:50.000 --> 00:03:53.000]  但是在這場崇拜之後
[00:03:53.000 --> 00:03:59.000]  當中參加的每一個人的生命都被改變
[00:03:59.000 --> 00:04:03.000]  我們一起去看看這場崇拜的聚會
[00:04:03.000 --> 00:04:06.000]  在裡面發生了什麼事情
[00:04:06.000 --> 00:04:10.000]  經文的1至3節給了一些背景給我們
[00:04:10.000 --> 00:04:14.000]  包括聚會的日期、地點、參與的人
