
[00:00:00.000 --> 00:00:06.280]  好啦 我相信在座裡面絕大部分都相信耶穌的 是不是
[00:00:06.280 --> 00:00:10.640]  不過呢 就算你還沒決定相信耶穌
[00:00:10.640 --> 00:00:12.700]  我相信大家都會同意的
[00:00:12.700 --> 00:00:17.600]  就是人生裡面不如意的事情是多少
[00:00:17.600 --> 00:00:20.240]  十之八九 中國人都會這樣說
[00:00:20.240 --> 00:00:24.880]  人生裡面不如意的事情就是十之八九的
[00:00:24.880 --> 00:00:29.480]  其實如果說到人生裡面我們所經歷的苦難 痛苦 挑戰這些
[00:00:29.480 --> 00:00:31.600]  其實真的可以說是無日無之的
[00:00:31.600 --> 00:00:33.760]  今天發生在你的身上 明天發生在每個人身上
[00:00:33.760 --> 00:00:35.360]  今天發生在我身上 是不是
[00:00:35.360 --> 00:00:37.600]  每天裡面來說 如果你要聽的話
[00:00:37.600 --> 00:00:39.120]  嘩 你很難過的
[00:00:39.120 --> 00:00:43.920]  因為太多令我們覺得難以抵受的困難 痛苦
[00:00:43.920 --> 00:00:45.920]  是臨到我們身上
[00:00:45.920 --> 00:00:50.160]  有很多人的苦難是與生俱來的
[00:00:50.160 --> 00:00:53.080]  譬如說一生出來有殘疾
[00:00:53.080 --> 00:00:55.000]  不知道發覺 不知道為什麼以前沒有那麼多
[00:00:55.000 --> 00:00:56.360]  現在是 我以前不知道
[00:00:56.360 --> 00:00:58.240]  還是現在特別多呢
[00:00:58.240 --> 00:00:59.840]  就算我們弄到裡面來說
[00:00:59.840 --> 00:01:02.040]  小孩子一生出來 輕的
[00:01:02.040 --> 00:01:03.840]  有一隻耳朵聽不到東西
[00:01:03.840 --> 00:01:06.400]  或者濕疹很嚴重
[00:01:06.400 --> 00:01:07.880]  一生出來就是這樣
[00:01:07.880 --> 00:01:09.960]  弄得父母很頭痛
[00:01:09.960 --> 00:01:11.640]  這是與生俱來的
[00:01:11.640 --> 00:01:13.800]  也有一些困難和痛苦
[00:01:13.800 --> 00:01:16.240]  是因為環境的突如改變
[00:01:16.240 --> 00:01:17.960]  政權的改變
[00:01:17.960 --> 00:01:20.200]  或者是社會的壓力
[00:01:20.200 --> 00:01:22.680]  而另外一件事是什麼呢
[00:01:22.680 --> 00:01:24.000]  人性的弱點
[00:01:24.000 --> 00:01:27.120]  因為我們生出來 大家都知道人都有很多問題
[00:01:27.120 --> 00:01:29.360]  而人性的弱點很多時候
[00:01:29.360 --> 00:01:31.800]  造成我們在人生當中
[00:01:31.800 --> 00:01:34.400]  面對很多的痛苦
[00:01:34.400 --> 00:01:36.120]  而有很多的苦難
[00:01:36.120 --> 00:01:37.760]  不知道大家同不同意呢
[00:01:37.760 --> 00:01:39.520]  或者沒有經歷過呢
[00:01:39.520 --> 00:01:42.840]  是來得又急又猛
[00:01:42.840 --> 00:01:43.840]  很簡單
[00:01:43.840 --> 00:01:45.840]  一個嚴重的車禍
[00:01:45.840 --> 00:01:47.680]  可能會改變你的一生
[00:01:47.680 --> 00:01:48.600]  感謝主啦
[00:01:48.600 --> 00:01:49.640]  我也遇過車禍
[00:01:49.640 --> 00:01:51.480]  我跟司馬一起被人撞倒了
[00:01:51.480 --> 00:01:53.720]  我們輕一點 斷了手而已
[00:01:53.720 --> 00:01:54.480]  OK
[00:01:54.480 --> 00:01:57.840]  但有些人一生就不能動了
[00:01:57.840 --> 00:02:00.520]  所以這些災難臨到我們的時候
[00:02:00.520 --> 00:02:03.280]  我們覺得怎麼辦呢
[00:02:03.280 --> 00:02:07.760]  而當我們落在這些苦難和危機當中的時候
[00:02:07.760 --> 00:02:09.400]  我不知道你有沒有試過
[00:02:09.400 --> 00:02:10.360]  你會覺得怎樣
[00:02:10.360 --> 00:02:11.720]  害怕
[00:02:11.720 --> 00:02:13.680]  那次我跟司馬被車撞倒的時候
[00:02:13.680 --> 00:02:15.680]  我們不害怕 是我們小朋友害怕
[00:02:15.680 --> 00:02:16.560]  一來到酒店
[00:02:16.560 --> 00:02:18.200]  不是去酒店
[00:02:18.200 --> 00:02:19.080]  來到醫院
[00:02:19.080 --> 00:02:21.600]  兩個人被綁在頸上
[00:02:21.600 --> 00:02:25.320]  我們小朋友想不到我們被人撞得這麼嚴重
[00:02:25.320 --> 00:02:26.280]  恐懼
[00:02:26.280 --> 00:02:27.120]  無奈
[00:02:27.120 --> 00:02:28.680]  難過
[00:02:28.680 --> 00:02:32.480]  而當事人很多時候會覺得很憤怒
[00:02:32.480 --> 00:02:36.720]  為什麼會這些事情發生在我們身上呢
[00:02:36.720 --> 00:02:38.160]  很多時候我們都知道
[00:02:38.160 --> 00:02:40.280]  我們會質問上帝
[00:02:40.280 --> 00:02:42.720]  或者甚至我們會仰天長嘯
[00:02:42.720 --> 00:02:44.160]  Why me?
[00:02:44.160 --> 00:02:45.720]  為什麼會是我?
[00:02:45.720 --> 00:02:47.040]  為什麼會是我?
[00:02:47.040 --> 00:02:48.800]  為什麼我會遇到這些困難
[00:02:48.800 --> 00:02:49.840]  這麼痛苦
[00:02:49.840 --> 00:02:53.640]  這些事情發生在我們身上
[00:02:53.640 --> 00:02:56.720]  那麼當我們遇到這些事情的時候
[00:02:56.720 --> 00:02:57.720]  不知道大家有沒有遇到過
[00:02:57.720 --> 00:02:58.760]  希望沒有
[00:02:58.760 --> 00:02:59.560]  遇到的時候
[00:02:59.560 --> 00:03:02.320]  很多時候我們會發覺
[00:03:02.320 --> 00:03:03.960]  當我們仰天長嘯
[00:03:03.960 --> 00:03:06.560]  或者去質問上帝之後
[00:03:06.560 --> 00:03:09.480]  你可以做些什麼
[00:03:09.480 --> 00:03:11.040]  Nothing
[00:03:11.040 --> 00:03:12.840]  什麼都做不到
[00:03:12.840 --> 00:03:13.640]  什麼都做不到的時候
[00:03:13.640 --> 00:03:15.880]  你會覺得很無奈
[00:03:15.880 --> 00:03:16.840]  很無奈
[00:03:16.840 --> 00:03:18.320]  但是又做不了什麼
[00:03:18.320 --> 00:03:19.360]  於是很多時候
[00:03:19.360 --> 00:03:22.440]  我們就會很憤怒
[00:03:22.440 --> 00:03:23.960]  很抑鬱
[00:03:23.960 --> 00:03:26.800]  很有挫敗感
[00:03:26.800 --> 00:03:28.520]  然後什麼都做不了
[00:03:28.520 --> 00:03:33.320]  唯有默默地忍受這些痛苦
[00:03:33.320 --> 00:03:34.720]  有些痛苦是過去的
[00:03:34.720 --> 00:03:37.000]  有些痛苦
[00:03:37.000 --> 00:03:37.960]  不會過去的
[00:03:37.960 --> 00:03:40.120]  會跟你一輩子的
[00:03:40.120 --> 00:03:42.240]  但是我們什麼都做不了
[00:03:42.240 --> 00:03:45.400]  只可以默默去忍受這些痛苦
[00:03:45.400 --> 00:03:49.720]  而很多人是屈屈而終
[00:03:49.720 --> 00:03:51.560]  生不如死
[00:03:51.560 --> 00:03:52.880]  那麼你想一下這些情況
