
[00:00:00.000 --> 00:00:04.240]  剛才這班師哥提到我們要感謝神
[00:00:04.240 --> 00:00:07.440]  是因為祂向我們行出奇事
[00:00:07.440 --> 00:00:11.480]  在我們每一個人的身上都有很奇妙的因典
[00:00:11.480 --> 00:00:16.840]  在講到這裏 我們再一次同心有望著
[00:00:16.840 --> 00:00:19.560]  我們的天父創造天地萬物的主
[00:00:19.560 --> 00:00:21.640]  我們獻上感謝
[00:00:21.640 --> 00:00:23.480]  因為祢拯救我們
[00:00:23.480 --> 00:00:27.360]  祢在我們身上顯出主祢自己的榮耀
[00:00:27.360 --> 00:00:30.160]  祢也賜給我們寶貴的聖經
[00:00:30.160 --> 00:00:33.640]  讓我們能夠活在主祢自己的因典當中
[00:00:33.640 --> 00:00:36.200]  得著祢話語的光照
[00:00:36.200 --> 00:00:38.600]  今次我們一起去看祢話語的時候
[00:00:38.600 --> 00:00:41.080]  求祢開我們心靈的眼睛
[00:00:41.080 --> 00:00:43.120]  看到祢話語的奇妙
[00:00:43.120 --> 00:00:46.200]  好叫我們一生的去跟隨祢
[00:00:46.200 --> 00:00:49.760]  也讓我們在禱告裏更深的去經歷祢
[00:00:49.760 --> 00:00:51.200]  我們同心有望
[00:00:51.200 --> 00:00:53.200]  是奉耶穌基督的名字
[00:00:53.200 --> 00:00:55.440]  阿們
[00:00:55.440 --> 00:00:59.240]  臣為選民成就其事
[00:00:59.240 --> 00:01:01.400]  什麼是其事?什麼是奇妙的事?
[00:01:01.400 --> 00:01:02.400]  什麼是特別的事?
[00:01:02.400 --> 00:01:05.560]  我的觀點就是對每個人都不同的
[00:01:05.560 --> 00:01:07.920]  對於我來說 我有一次就是
[00:01:07.920 --> 00:01:09.880]  大家都知道我有去做運動
[00:01:09.880 --> 00:01:11.880]  也都是運動跑遠步
[00:01:11.880 --> 00:01:13.400]  有時候會拉筋
[00:01:13.400 --> 00:01:14.400]  去拉筋的地方
[00:01:14.400 --> 00:01:17.960]  那個地方其實是長者的運動區
[00:01:17.960 --> 00:01:20.120]  其實我是還不夠年齡的
[00:01:20.120 --> 00:01:23.320]  凡是全職同工都還不夠年齡的
[00:01:23.320 --> 00:01:26.040]  在那裏我初初去的時候
[00:01:26.040 --> 00:01:27.400]  過了幾天之後
[00:01:27.400 --> 00:01:29.400]  我突然間看到一個景象
[00:01:29.400 --> 00:01:34.680]  就是有一個架可以讓人坐在那裏
[00:01:34.680 --> 00:01:36.800]  背部拉筋
[00:01:36.800 --> 00:01:40.080]  我看到一個婆婆走過去
[00:01:40.080 --> 00:01:41.720]  然後她不是坐在那裏
[00:01:41.720 --> 00:01:43.880]  她在那個架的背後
[00:01:43.880 --> 00:01:45.520]  然後手向上
[00:01:45.520 --> 00:01:47.120]  就拉到上面
[00:01:47.120 --> 00:01:50.400]  我以為她用另一種方式去拉筋
[00:01:50.400 --> 00:01:52.000]  不過可能也是
[00:01:52.000 --> 00:01:54.000]  不過她的方式真的很不同
