
[00:00:00.000 --> 00:00:03.120]  憲章是一份法律的文件
[00:00:03.120 --> 00:00:06.460]  登山補訓不是一份法律的文件
[00:00:06.460 --> 00:00:09.240]  裏面沒有規條,你要怎樣做就怎樣做
[00:00:09.240 --> 00:00:11.560]  我相信登山補訓可以說是
[00:00:11.560 --> 00:00:17.800]  天國子民的國民教育基礎課程
[00:00:17.800 --> 00:00:20.080]  我希望大家記得我曾經指出
[00:00:20.080 --> 00:00:23.440]  在八福裏面其實很強調關係的
[00:00:23.440 --> 00:00:25.600]  裏面有好幾次提到
[00:00:25.600 --> 00:00:28.120]  我們信了耶穌,進入天國的人
[00:00:28.120 --> 00:00:30.480]  我們的身份是上帝的兒女
[00:00:30.480 --> 00:00:32.000]  是天國的子民
[00:00:32.000 --> 00:00:33.920]  我們可以看得見上帝
[00:00:33.920 --> 00:00:37.440]  又得到上帝的安慰
[00:00:37.440 --> 00:00:41.520]  這些福都是我們跟上帝有了親密關係之後
[00:00:41.520 --> 00:00:43.280]  才會有的
[00:00:43.280 --> 00:00:45.120]  然後其他的福
[00:00:45.120 --> 00:00:49.200]  就是要跟其他的人都有好的關係
[00:00:49.200 --> 00:00:53.320]  例如我們要用仁慈去對待其他人
[00:00:53.320 --> 00:00:56.000]  又要促進和平
[00:00:56.000 --> 00:00:59.480]  講完八福之後,耶穌還講了兩個很重要的東西
[00:00:59.480 --> 00:01:03.000]  第一,天國人的身份就是世界的光
[00:01:03.000 --> 00:01:08.200]  第二,我們在世界上應該進行上帝的律法
[00:01:08.200 --> 00:01:11.360]  加上八福一共有十點
[00:01:11.360 --> 00:01:13.880]  是類同摩西的十誡
[00:01:13.880 --> 00:01:17.480]  然後在第五章其餘的章節21至48節
[00:01:17.480 --> 00:01:22.360]  教導天國人要怎樣跟不同的人
[00:01:22.360 --> 00:01:26.200]  不同的人去建立關係
[00:01:26.200 --> 00:01:27.600]  是由親人開始
[00:01:27.600 --> 00:01:28.800]  在家裏開始
[00:01:28.800 --> 00:01:29.840]  你的兄弟開始
[00:01:29.840 --> 00:01:34.640]  一直講到你怎樣跟敵人相處
[00:01:34.640 --> 00:01:37.800]  方法包括控制自己的脾氣
[00:01:37.800 --> 00:01:39.200]  改變我們的思想
[00:01:39.200 --> 00:01:41.160]  我們做人要有誠信
[00:01:41.160 --> 00:01:42.960]  不要尋求報復
[00:01:42.960 --> 00:01:48.280]  我們要效法和完成天賦做人的意義
[00:01:48.280 --> 00:01:51.200]  一切以愛為原則
[00:01:51.200 --> 00:01:55.080]  從這個角度去看《馬太福音》時
[00:01:55.080 --> 00:01:56.480]  我們會發現
[00:01:56.480 --> 00:01:58.920]  其實《馬太福音》不是隨隨便便地
[00:01:58.920 --> 00:02:00.320]  將耶穌基督的教訓
[00:02:00.320 --> 00:02:02.080]  要想起甚麼就寫下來
[00:02:02.080 --> 00:02:06.680]  隨便地湊在一起
[00:02:06.680 --> 00:02:09.640]  而是將八福的精髓
[00:02:09.640 --> 00:02:13.800]  應用在人與人之間的關係裏面
[00:02:13.800 --> 00:02:15.720]  而在第六章
[00:02:15.720 --> 00:02:17.720]  它就教導天國人
[00:02:17.720 --> 00:02:21.000]  要怎樣跟上帝建立關係
[00:02:21.000 --> 00:02:24.160]  六章1-18節是猶太教裏面
[00:02:24.160 --> 00:02:26.840]  最重視的宗教行為
[00:02:26.840 --> 00:02:32.120]  包括禁食、禱告和施捨
[00:02:32.120 --> 00:02:34.000]  這些行為絕對沒有錯
[00:02:34.000 --> 00:02:37.080]  但我們的動機一定要正確
[00:02:37.080 --> 00:02:40.160]  不要為了沽名釣譽
[00:02:40.160 --> 00:02:41.920]  去做那些事情
[00:02:41.920 --> 00:02:44.240]  博上帝的歡心
[00:02:44.240 --> 00:02:46.880]  不是這樣的
[00:02:46.880 --> 00:02:51.680]  六章18-34節就強調職財的問題
[00:02:51.680 --> 00:02:55.080]  其實重點是教導天國人
[00:02:55.080 --> 00:02:57.200]  相信上帝
[00:02:57.200 --> 00:03:01.200]  還要重視我們自己與上帝的關係
[00:03:01.200 --> 00:03:04.520]  因此第六章的中心思想
[00:03:04.520 --> 00:03:07.120]  可以說是與上帝建立關係
[00:03:07.120 --> 00:03:09.960]  第五章是與人建立關係
[00:03:09.960 --> 00:03:13.240]  然後七章1-12節
[00:03:13.240 --> 00:03:15.600]  在七章1-12節裏面
[00:03:15.600 --> 00:03:18.760]  又回頭說我們與別人的關係
[00:03:18.760 --> 00:03:23.040]  我簡單地解釋其中兩節
[00:03:23.040 --> 00:03:25.040]  比較難理解的經文
[00:03:25.040 --> 00:03:30.560]  然後再看耶穌向我們提出的挑戰
[00:03:30.560 --> 00:03:35.760]  要選擇一條意想不到的路徑
[00:03:35.760 --> 00:03:37.760]  先說七章1-6節
[00:03:37.760 --> 00:03:43.240]  那裏教導我們不要隨便評斷別人
[00:03:43.240 --> 00:03:47.960]  評斷這個字其實是法律上的用詞
[00:03:47.960 --> 00:03:51.240]  是帶有審判的意思
[00:03:51.240 --> 00:03:53.720]  我們不要隨便評斷別人
[00:03:53.720 --> 00:04:00.840]  不是說絕對不可以去鼓勵別人或勉勵別人
[00:04:00.840 --> 00:04:05.080]  不過我們做的時候要很小心
[00:04:05.080 --> 00:04:07.480]  我們留心看七章第五節
[00:04:07.480 --> 00:04:14.760]  「先把自己眼中的大量兒女才能看得清楚,怎樣把弟兄眼中的目竊挑出來。」
[00:04:14.760 --> 00:04:16.440]  即是說
[00:04:16.440 --> 00:04:21.800]  假如我們覺得自己眼中已經沒有大量目
[00:04:21.800 --> 00:04:23.640]  我們自己沒有甚麼事
[00:04:23.640 --> 00:04:26.520]  我們就可以去勸戒別人
[00:04:26.520 --> 00:04:29.160]  但我們做的時候仍然要小心
[00:04:29.160 --> 00:04:35.440]  要留意別人對方是否有信服或好學的心
[00:04:35.440 --> 00:04:43.720]  不要將寶貴的福音或聖經的道理隨隨便便調去給未曾預備好的人
[00:04:43.720 --> 00:04:46.840]  我相信這就是第六節的意思
[00:04:46.840 --> 00:04:49.120]  第六節比較難了解
[00:04:49.120 --> 00:04:54.160]  第六節是說我們雖然不應該隨便評斷別人
[00:04:54.160 --> 00:04:58.880]  但也要有智慧去判斷
[00:04:58.880 --> 00:05:02.160]  將好的東西要給合適的人
[00:05:02.160 --> 00:05:05.760]  假如我們看到弟兄姊妹的行為上
[00:05:05.760 --> 00:05:09.320]  真的有些可以改善的地方
[00:05:09.320 --> 00:05:13.120]  我們不要隨便調或者向他們拋聖經
[00:05:13.120 --> 00:05:17.320]  而是要小心,找一些合適的時間、地點、方法
[00:05:17.320 --> 00:05:21.640]  慎重祈禱之後才去跟對方說
[00:05:21.640 --> 00:05:26.240]  否則可能會弄巧反拙
[00:05:26.240 --> 00:05:30.680]  在七章七至十二節就教導我們要盡力去幫助別人
[00:05:30.680 --> 00:05:33.480]  尤其是七章十二節
[00:05:33.480 --> 00:05:39.640]  就是第七節和第十一節的結論
[00:05:39.640 --> 00:05:42.680]  所以不要以為耶穌說
[00:05:42.680 --> 00:05:48.520]  「我們上帝是有求必應的,你祈求就得著,尋找就尋不見」
[00:05:48.520 --> 00:05:51.240]  當然上帝是我們的天父
[00:05:51.240 --> 00:05:55.600]  如果我們向祂祈求的東西是對我們有益的
[00:05:55.600 --> 00:05:58.480]  上帝真的一定會給我們
[00:05:58.480 --> 00:06:01.160]  所以在九至十一節
[00:06:01.160 --> 00:06:06.800]  耶穌用了一個父親會答應兒子的祈求做比喻
[00:06:06.800 --> 00:06:09.960]  是鼓勵所有的天國人
[00:06:09.960 --> 00:06:13.480]  得到上帝的恩典之後
[00:06:13.480 --> 00:06:18.480]  都要帶著樂意施恩的態度
[00:06:18.480 --> 00:06:22.480]  去幫助那些要求我們幫助的人
[00:06:22.480 --> 00:06:24.800]  正如十二節所說
[00:06:24.800 --> 00:06:29.520]  「你們要別人怎樣待你們,你就得怎樣待別人」
[00:06:29.520 --> 00:06:34.800]  這就是摩西法律和先知教訓的真義
[00:06:34.800 --> 00:06:38.520]  摩西法律和先知教訓可以總結為
[00:06:38.520 --> 00:06:42.200]  愛上帝和愛人
[00:06:42.200 --> 00:06:47.240]  愛是超越法律和規則的
[00:06:47.240 --> 00:06:49.240]  比如說一般的情況
[00:06:49.240 --> 00:06:51.880]  我們在澳洲做什麼都要排隊
[00:06:51.880 --> 00:06:54.600]  就算付錢都要排隊
[00:06:54.600 --> 00:06:57.560]  但假如有些人有急事要求我們
[00:06:57.560 --> 00:06:59.240]  可不可以先讓給我呢?
[00:06:59.240 --> 00:07:00.080]  只是打針而已
[00:07:00.080 --> 00:07:01.440]  但他不是強行來的
[00:07:01.440 --> 00:07:03.800]  他是隨便跟你說的
[00:07:03.800 --> 00:07:05.640]  如果我們真的做得到
[00:07:05.640 --> 00:07:07.440]  就先讓給別人吧
[00:07:07.440 --> 00:07:11.360]  我們要效法上帝對我們的慈愛
[00:07:11.360 --> 00:07:13.880]  來幫助別人
[00:07:13.880 --> 00:07:16.520]  因為我們得救是本乎恩
[00:07:16.520 --> 00:07:20.760]  我們都要用恩典來跟別人相處
[00:07:20.760 --> 00:07:24.160]  我們會詳細思想十三節到二十七節
[00:07:24.160 --> 00:07:27.560]  主耶穌給我們的挑戰和提醒
[00:07:27.560 --> 00:07:29.480]  在第十三和第十四節
[00:07:29.480 --> 00:07:32.880]  主耶穌說完了天國人的生命方向
[00:07:32.880 --> 00:07:34.200]  生活原則
[00:07:34.200 --> 00:07:36.160]  與人相處的秘訣之後
[00:07:36.160 --> 00:07:41.280]  就挑戰門徒要走窄路
[00:07:41.280 --> 00:07:44.600]  這兩節經文很明顯地告訴我們
[00:07:44.600 --> 00:07:48.080]  窄門是通向永生
[00:07:48.080 --> 00:07:53.960]  寬門是通向滅亡或者地獄
[00:07:53.960 --> 00:07:57.320]  這個挑戰真的令人有些意想不到
[00:07:57.320 --> 00:08:01.160]  主耶穌在七節到十二節那段提到
[00:08:01.160 --> 00:08:04.800]  「敲門就會給你們開門」
[00:08:04.800 --> 00:08:07.360]  好像沒有明明地說到
[00:08:07.360 --> 00:08:11.960]  究竟那個「敲」是敲哪一家人的門呢?
[00:08:11.960 --> 00:08:13.680]  不過從文理看起來
[00:08:13.680 --> 00:08:17.520]  那道門應該是指天國的門
[00:08:17.520 --> 00:08:18.920]  門就只是一扇
[00:08:18.920 --> 00:08:21.560]  並且是窄門
[00:08:21.560 --> 00:08:27.960]  回想起來,這個說法似乎與五章三節有些矛盾
[00:08:27.960 --> 00:08:32.080]  五章三節說到我們成為天國子民是很簡單的
[00:08:32.080 --> 00:08:33.760]  你只要承認就可以了
[00:08:33.760 --> 00:08:35.960]  承認自己是靈性破產就可以了
[00:08:35.960 --> 00:08:40.800]  但現在不是,這裡說要進窄門
[00:08:40.800 --> 00:08:42.080]  為什麼呢?
[00:08:42.080 --> 00:08:47.480]  還說這道門又窄,路又難
[00:08:47.480 --> 00:08:50.800]  其實主耶穌所傳的天國的福音
[00:08:50.800 --> 00:08:52.960]  真的不是廉價福音
[00:08:52.960 --> 00:08:54.440]  不是發財福音
[00:08:54.440 --> 00:08:56.080]  或者成功福音
[00:08:56.080 --> 00:09:00.240]  而是一個需要我們自己用我們的生命
[00:09:00.240 --> 00:09:03.760]  去跟隨主耶穌的福音
[00:09:03.760 --> 00:09:07.200]  很多異教徒會認為
[00:09:07.200 --> 00:09:10.800]  「無所謂的,條條大路通羅馬而已」
[00:09:10.800 --> 00:09:12.760]  「你去天國,你就信你的耶穌」
[00:09:12.760 --> 00:09:16.160]  「我信我的一貫道都可以的」
[00:09:16.160 --> 00:09:20.720]  他們認為去天國都應該有很多條道路
[00:09:20.720 --> 00:09:25.040]  但這個推理講法其實有些不合邏輯
[00:09:25.040 --> 00:09:29.840]  我要了解為什麼西人的諺語裡面有一句話
[00:09:29.840 --> 00:09:31.960]  「條條大路通羅馬」
[00:09:31.960 --> 00:09:34.600]  因為其實在羅馬興盛的時期
[00:09:34.600 --> 00:09:38.200]  他們在歐洲建立很多好的道路
[00:09:38.200 --> 00:09:41.280]  兵不打仗的時候就要起路
[00:09:41.280 --> 00:09:43.120]  為什麼要起路?
[00:09:43.120 --> 00:09:45.080]  其實是方便行軍
[00:09:45.080 --> 00:09:48.280]  讓他們的軍隊可以馬上從東去西
[00:09:48.280 --> 00:09:53.400]  快快隨隨有什麼事發生,馬上派軍隊去鎮壓
[00:09:53.400 --> 00:09:56.480]  當然後來也方便通商
[00:09:56.480 --> 00:10:00.400]  但天國就不是羅馬
[00:10:00.400 --> 00:10:02.440]  你去羅馬可能有很多條路
[00:10:02.440 --> 00:10:05.000]  去天國就只有一條路
[00:10:05.000 --> 00:10:08.680]  只能夠靠相信主耶穌
[00:10:08.680 --> 00:10:12.880]  固此門很窄,只有這一條路可以去到
[00:10:12.880 --> 00:10:14.720]  相信了主耶穌之後
[00:10:14.720 --> 00:10:18.360]  主耶穌並沒有說人生路是很容易的
[00:10:18.360 --> 00:10:19.800]  這裡還提醒我們
[00:10:19.800 --> 00:10:25.040]  人生路相信主耶穌之後可能很難走
[00:10:25.040 --> 00:10:27.200]  在主耶穌的時代
[00:10:27.200 --> 00:10:28.960]  跟隨他的門徒
[00:10:28.960 --> 00:10:31.720]  很多是會死於非命的
[00:10:31.720 --> 00:10:33.720]  要殉道
[00:10:33.720 --> 00:10:38.840]  有些人試圖被人刀釘十字架而死
[00:10:38.840 --> 00:10:41.800]  被羅馬皇帝殺
[00:10:41.800 --> 00:10:43.440]  在現代又如何呢?
[00:10:43.440 --> 00:10:46.360]  其實在現代如果有人真的相信耶穌
[00:10:46.360 --> 00:10:48.440]  很多人都不容易
[00:10:48.440 --> 00:10:51.800]  尤其是生活在回教地區的人
[00:10:51.800 --> 00:10:54.560]  他們要信主
[00:10:54.560 --> 00:10:56.800]  分分鐘要斷六親
[00:10:56.800 --> 00:11:02.360]  家人都不會理解他們
[00:11:02.360 --> 00:11:05.800]  甚至要迫害他們
[00:11:05.800 --> 00:11:08.320]  社區也會拒絕他們
[00:11:08.320 --> 00:11:13.720]  有些人甚至被家人殺
[00:11:13.720 --> 00:11:16.480]  在西方自由社會會不會好一點呢?
[00:11:16.480 --> 00:11:18.040]  會好一點
[00:11:18.040 --> 00:11:21.640]  但是其實耶穌的要求都很大
[00:11:21.640 --> 00:11:25.240]  要我們放棄自己生命的主權
[00:11:25.240 --> 00:11:27.240]  在西方社會生活的人
[00:11:27.240 --> 00:11:30.040]  我們要用物質主義、自我主義
[00:11:30.040 --> 00:11:32.320]  這些潮流來搏鬥
[00:11:32.320 --> 00:11:38.040]  還要抗拒各種試探和引誘
[00:11:38.040 --> 00:11:40.440]  這條路是不容易走的
[00:11:40.440 --> 00:11:43.840]  我們真的要靠上帝加能、賜力
[00:11:43.840 --> 00:11:46.440]  我們才可以走下去
[00:11:46.440 --> 00:11:48.560]  門象徵甚麼呢?
[00:11:48.560 --> 00:11:50.440]  我相信門在這裡
[00:11:50.440 --> 00:11:54.520]  是會象徵假先知或者是教師
