
[00:00:00.000 --> 00:00:08.000]  今天我們要跟弟兄姊妹一同分享的題目是:以利亞寂居在撒拉法瓦夫的家
[00:00:08.000 --> 00:00:18.000]  自從基裏溪的溪水乾了以後
[00:00:18.000 --> 00:00:28.000]  神在第六王紀上第十七章第八節說:耶化就臨到以利亞了
[00:00:28.000 --> 00:00:33.000]  就吩咐他到撒拉法,到西頓的撒拉法去
[00:00:33.000 --> 00:00:37.000]  安排一個寡婦來供養他
[00:00:37.000 --> 00:00:46.000]  那個西頓就是以色列亞哈王的皇后耶希別的老家
[00:00:46.000 --> 00:00:49.000]  她是那個西頓王的女兒
[00:00:49.000 --> 00:00:52.000]  西頓是一個拜偶像的地方
[00:00:52.000 --> 00:00:57.000]  這個拜偶像也影響到以色列
[00:00:57.000 --> 00:01:04.000]  所以那個地方是一個拜壞的,拜偶像的一個來源
[00:01:04.000 --> 00:01:14.000]  所以到基裏溪的水乾了以後
[00:01:14.000 --> 00:01:19.000]  神就吩咐他說:你就去到西頓的撒拉法去
[00:01:19.000 --> 00:01:21.000]  再住在那個地方
[00:01:21.000 --> 00:01:25.000]  那麼神說:我已經吩咐那邊有一個寡婦
[00:01:25.000 --> 00:01:29.000]  要來供給你的生活的需要
[00:01:29.000 --> 00:01:33.000]  這是神說的話
[00:01:33.000 --> 00:01:38.000]  那麼以利亞就等到神來的話以後
[00:01:38.000 --> 00:01:40.000]  他就動身去了
[00:01:40.000 --> 00:01:42.000]  但是照我們一般的人
[00:01:42.000 --> 00:01:47.000]  可能看見這個基裏溪的水慢慢一點點的少了
[00:01:47.000 --> 00:01:50.000]  可能到最後這水就快要枯乾了
[00:01:50.000 --> 00:01:54.000]  照我們一般的人可能就提前做計劃了
[00:01:54.000 --> 00:01:57.000]  快點找別的地方去吧
[00:01:57.000 --> 00:02:00.000]  但是以利亞他一直等待
[00:02:00.000 --> 00:02:03.000]  直到神的命令來了
[00:02:03.000 --> 00:02:06.000]  那麼他纔去
[00:02:06.000 --> 00:02:11.000]  撒拉法離開基裏溪是一個很遠的地方
[00:02:11.000 --> 00:02:14.000]  差不多有一百公里這樣的
[00:02:14.000 --> 00:02:15.000]  很遠
[00:02:15.000 --> 00:02:19.000]  那麼又是耶錫別的老家
[00:02:19.000 --> 00:02:23.000]  又是拜偶像的皇后的老家
[00:02:23.000 --> 00:02:25.000]  那麼很安全嗎
[00:02:25.000 --> 00:02:29.000]  但是神吩咐了以後
[00:02:29.000 --> 00:02:32.000]  我們就看見
[00:02:32.000 --> 00:02:35.000]  雖然是外邦的一個地方
[00:02:35.000 --> 00:02:40.000]  但是神在那地方預備一個寡婦來供給他
[00:02:40.000 --> 00:02:44.000]  在那個地方也是一個很安全的地方
[00:02:44.000 --> 00:02:47.000]  有的時候你看起來是很危險的地方
[00:02:47.000 --> 00:02:50.000]  但是如果是神所安排的
[00:02:50.000 --> 00:02:54.000]  那就應該說是一個很安全的地方
[00:02:54.000 --> 00:02:57.000]  那麼在那個地方有個寡婦
[00:02:57.000 --> 00:03:00.000]  那麼看見神確實預備
[00:03:00.000 --> 00:03:07.000]  一個外邦人來供給神的先知
[00:03:07.000 --> 00:03:11.000]  那麼可以見到神的眼目
[00:03:11.000 --> 00:03:12.000]  察全地
[00:03:12.000 --> 00:03:14.000]  他知道誰
[00:03:14.000 --> 00:03:19.000]  哪些人是心向他存着敬畏的心
[00:03:19.000 --> 00:03:24.000]  他也不分是外邦人還是以色列人
[00:03:24.000 --> 00:03:26.000]  凡是敬畏神的
[00:03:26.000 --> 00:03:30.000]  凡是按照神的心意來行的人
[00:03:30.000 --> 00:03:32.000]  神都知道
[00:03:32.000 --> 00:03:35.000]  神知道誰是屬於他的
[00:03:35.000 --> 00:03:39.000]  所以他就安排在那麼一個地方
[00:03:39.000 --> 00:03:41.000]  在一個外邦人的地方
[00:03:41.000 --> 00:03:43.000]  在一個拜偶像聖行的地方
[00:03:43.000 --> 00:03:50.000]  能夠有一個敬畏神的人來供養神的先知
[00:03:50.000 --> 00:03:54.000]  這是一個很奇妙的事情
[00:03:54.000 --> 00:03:56.000]  當然反過來
[00:03:56.000 --> 00:04:00.000]  因爲他供養以利亞這個先知
[00:04:00.000 --> 00:04:02.000]  他自己也蒙了恩了
[00:04:02.000 --> 00:04:04.000]  我們看到在下面所發生的事情
[00:04:04.000 --> 00:04:07.000]  知道他這樣做的話
[00:04:07.000 --> 00:04:09.000]  神也看顧他
[00:04:09.000 --> 00:04:17.000]  使他在饑荒當中他的生命還能夠存留下來
[00:04:17.000 --> 00:04:18.000]  那以利亞
[00:04:18.000 --> 00:04:21.000]  我們看到他一個特點就是順服
[00:04:21.000 --> 00:04:24.000]  以利亞的順服
[00:04:24.000 --> 00:04:27.000]  他聽見神的話以後
[00:04:27.000 --> 00:04:29.000]  聖經就說
[00:04:29.000 --> 00:04:30.000]  一詩就說
[00:04:30.000 --> 00:04:34.000]  以利亞就起身往撒拉法去
[00:04:34.000 --> 00:04:36.000]  他是很順服
[00:04:36.000 --> 00:04:39.000]  他是聽神的話
[00:04:39.000 --> 00:04:41.000]  他爲什麼順服呢
[00:04:41.000 --> 00:04:45.000]  他就是順服聽從神的話
[00:04:45.000 --> 00:04:51.000]  一般說寡婦一般都比較是表示窮困的
[00:04:51.000 --> 00:04:53.000]  神看顧孤兒寡婦
[00:04:53.000 --> 00:04:55.000]  寡婦是比較困難的
[00:04:55.000 --> 00:04:58.000]  當然有個別的很富裕的寡婦
[00:04:58.000 --> 00:05:00.000]  也有可能不是很多
[00:05:00.000 --> 00:05:02.000]  一般在過去的時候
[00:05:02.000 --> 00:05:08.000]  一家的生活勞動都是靠男人來支持
[00:05:08.000 --> 00:05:10.000]  當他的丈夫去世以後
[00:05:10.000 --> 00:05:15.000]  作爲妻子作爲寡婦就比較困難了
[00:05:15.000 --> 00:05:17.000]  一般是表示困難
[00:05:17.000 --> 00:05:20.000]  而且他是一個外邦人
[00:05:20.000 --> 00:05:22.000]  他不是猶太人
[00:05:22.000 --> 00:05:26.000]  怎麼能夠接待一個猶太人的先知
