
[00:00:00.000 --> 00:00:04.000]  在我們的廣東話裏面
[00:00:04.000 --> 00:00:10.000]  有五個字的發音都是一樣的
[00:00:10.000 --> 00:00:15.000]  不過寫法卻是很不同
[00:00:15.000 --> 00:00:18.000]  這個發音是什麼呢?
[00:00:18.000 --> 00:00:22.000]  就是亡
[00:00:22.000 --> 00:00:26.000]  我們先心目中想起一個死亡的亡字
[00:00:26.000 --> 00:00:31.000]  這個也是很關鍵的,用這個字來想
[00:00:31.000 --> 00:00:33.000]  有五個亡字
[00:00:33.000 --> 00:00:37.000]  特別是我們嘗試將它從左到右
[00:00:37.000 --> 00:00:40.000]  我們一會兒一路講,一路將它排列
[00:00:40.000 --> 00:00:42.000]  從左到右的時候
[00:00:42.000 --> 00:00:46.000]  你會發現想着想着都挺有意思
[00:00:46.000 --> 00:00:52.000]  而且是給我們在屬靈生命上都有些啓發的
[00:00:52.000 --> 00:00:56.000]  第一個亡字是什麼呢?
[00:00:56.000 --> 00:00:59.000]  是光芒的亡
[00:00:59.000 --> 00:01:03.000]  就是說要加個草花頭
[00:01:03.000 --> 00:01:05.000]  光芒好不好?
[00:01:05.000 --> 00:01:08.000]  當然好,很有光彩、光輝
[00:01:08.000 --> 00:01:11.000]  光芒四射
[00:01:11.000 --> 00:01:13.000]  我們特別從靈命的角度去想
[00:01:13.000 --> 00:01:18.000]  它的靈命光芒四射
[00:01:18.000 --> 00:01:21.000]  第二個亡是什麼亡呢?
[00:01:21.000 --> 00:01:24.000]  就是亡碌的亡
[00:01:24.000 --> 00:01:26.000]  就是加個什麼邊呢?
[00:01:26.000 --> 00:01:29.000]  處心邊在左邊
[00:01:29.000 --> 00:01:32.000]  亡碌都是一個現實來的
[00:01:32.000 --> 00:01:33.000]  描述一下
[00:01:33.000 --> 00:01:36.000]  真的很難說好還是不好
[00:01:36.000 --> 00:01:39.000]  因爲你不亡就找不到喫的了
[00:01:39.000 --> 00:01:42.000]  要做事的嘛,不做事怎麼行呢?
[00:01:42.000 --> 00:01:46.000]  但是亡碌帶來都很大壓力的
[00:01:46.000 --> 00:01:49.000]  很不同的,衝擊的
[00:01:49.000 --> 00:01:52.000]  但是這個是亡碌的亡字
[00:01:52.000 --> 00:01:55.000]  我們一路由左至右排
[00:01:55.000 --> 00:01:57.000]  然後接着是什麼呢?
[00:01:57.000 --> 00:02:00.000]  你會想到是一個什麼亡呢?
[00:02:00.000 --> 00:02:02.000]  是忘記的亡
[00:02:02.000 --> 00:02:04.000]  糟了,這樣又不記得
[00:02:04.000 --> 00:02:06.000]  那樣又不記得
[00:02:06.000 --> 00:02:08.000]  失魂語了
[00:02:08.000 --> 00:02:10.000]  英文叫做absent-minded
[00:02:10.000 --> 00:02:12.000]  哎呀,糟了
[00:02:12.000 --> 00:02:14.000]  哦,原來是這樣的
[00:02:14.000 --> 00:02:17.000]  有時候我們會忘記很多東西
[00:02:17.000 --> 00:02:19.000]  都不是太差的
[00:02:19.000 --> 00:02:21.000]  不過如果去到第四個字呢
[00:02:21.000 --> 00:02:24.000]  你會想到是什麼呢?
[00:02:24.000 --> 00:02:27.000]  是亡然的亡
[00:02:27.000 --> 00:02:30.000]  草花頭下面有三點水
[00:02:30.000 --> 00:02:32.000]  再旁邊做個死亡的亡呢?
[00:02:32.000 --> 00:02:34.000]  亡然是怎樣呢?
[00:02:34.000 --> 00:02:36.000]  糟了,我不知道現在在做什麼
[00:02:36.000 --> 00:02:38.000]  哎呀,好像不知道應該做什麼
[00:02:38.000 --> 00:02:40.000]  想什麼呢?
[00:02:40.000 --> 00:02:43.000]  開始有點混亂、混淆了
[00:02:43.000 --> 00:02:45.000]  第四個亡字
[00:02:45.000 --> 00:02:48.000]  第五個亡是什麼呢?
[00:02:48.000 --> 00:02:51.000]  死亡的亡
[00:02:51.000 --> 00:02:53.000]  你嘗試把它從左到右排列
[00:02:53.000 --> 00:02:56.000]  中間還要加些箭嘴的話
[00:02:56.000 --> 00:03:00.000]  你會發現很有意思
[00:03:00.000 --> 00:03:02.000]  因爲很多時候都反映着
[00:03:02.000 --> 00:03:04.000]  我們那個屬靈生命的狀態
[00:03:04.000 --> 00:03:08.000]  分分鐘就是由左走向右
[00:03:08.000 --> 00:03:09.000]  會不會啊?
[00:03:09.000 --> 00:03:11.000]  原先我們信主
[00:03:11.000 --> 00:03:13.000]  我們有起初的愛心
[00:03:13.000 --> 00:03:14.000]  我們很愛神
[00:03:14.000 --> 00:03:17.000]  我們生命靈明充滿了光彩
[00:03:17.000 --> 00:03:18.000]  跟別人談話
[00:03:18.000 --> 00:03:21.000]  別人真的覺得我們基督徒的生命很好
[00:03:21.000 --> 00:03:22.000]  不過慢慢地
[00:03:22.000 --> 00:03:24.000]  當我們活在世上的時候
[00:03:24.000 --> 00:03:26.000]  開始多事做了
[00:03:26.000 --> 00:03:27.000]  忙碌了
[00:03:27.000 --> 00:03:30.000]  很多事情事務前身了
[00:03:30.000 --> 00:03:33.000]  糟了,我們開始進入第二個階段
[00:03:33.000 --> 00:03:36.000]  那些光芒都少了很多
[00:03:36.000 --> 00:03:41.000]  開始有些不是怎樣去回應
[00:03:41.000 --> 00:03:42.000]  不知道怎樣去回應
[00:03:42.000 --> 00:03:44.000]  接着就出現了一個症狀
[00:03:44.000 --> 00:03:46.000]  很多時候就是失魂語了
[00:03:46.000 --> 00:03:47.000]  太多事情做了
[00:03:47.000 --> 00:03:49.000]  很多時候有些症狀就是
[00:03:49.000 --> 00:03:50.000]  經常不記得東西
[00:03:50.000 --> 00:03:51.000]  這樣又不記得
[00:03:51.000 --> 00:03:53.000]  那樣又不記得
[00:03:53.000 --> 00:03:55.000]  然後慢慢慢慢
[00:03:55.000 --> 00:03:56.000]  我們開始覺得
[00:03:56.000 --> 00:03:58.000]  在我們的信仰生命
[00:03:58.000 --> 00:03:59.000]  在我們人生的道路上
[00:03:59.000 --> 00:04:01.000]  開始有些忙言
[00:04:01.000 --> 00:04:02.000]  好像都是形形意意
[00:04:02.000 --> 00:04:03.000]  只有個"做"字
[00:04:03.000 --> 00:04:05.000]  都不知道爲什麼
[00:04:05.000 --> 00:04:07.000]  上帝的心意是怎樣
[00:04:07.000 --> 00:04:09.000]  我在神面前的光景是怎樣
[00:04:09.000 --> 00:04:10.000]  都不是很清楚
[00:04:10.000 --> 00:04:11.000]  開始有些忙言
[00:04:11.000 --> 00:04:14.000]  如果當我們不去處理的時候
[00:04:14.000 --> 00:04:18.000]  很可能最後我們的屬靈生命
[00:04:18.000 --> 00:04:21.000]  信仰生命就是死亡
[00:04:21.000 --> 00:04:24.000]  有些誇張的說法
[00:04:24.000 --> 00:04:27.000]  我們真的好像佛力
[00:04:27.000 --> 00:04:29.000]  我們很低落
[00:04:29.000 --> 00:04:31.000]  我們很枯乾
[00:04:31.000 --> 00:04:34.000]  我們和神好像貌合神離
