
[00:00:00.000 --> 00:00:01.480]  各位頂梓妹
[00:00:01.480 --> 00:00:07.360]  今天是2020年的1月5日
[00:00:07.360 --> 00:00:11.920]  表示我們已經進入新的一年
[00:00:11.920 --> 00:00:13.640]  新的月份
[00:00:13.640 --> 00:00:19.000]  對我來說也特別有一些想法
[00:00:19.000 --> 00:00:21.240]  踏進了一月
[00:00:21.240 --> 00:00:27.400]  也表示我在尖浸的服侍還有四個月
[00:00:28.160 --> 00:00:33.960]  主日崇拜的港渡還有八次
[00:00:33.960 --> 00:00:38.400]  因為每個月通常我會港兩次渡
[00:00:38.400 --> 00:00:41.280]  四個月就是八次了
[00:00:41.280 --> 00:00:45.480]  我很珍惜這八次港渡的機會
[00:00:45.480 --> 00:00:50.240]  所以很想能夠透過這八次港渡
[00:00:50.240 --> 00:00:54.760]  跟大家一起聚焦在一個很重要的課題上
[00:00:55.200 --> 00:00:58.960]  就是成長的門徒
[00:00:58.960 --> 00:01:03.480]  也配合了我們今年的培育年
[00:01:03.480 --> 00:01:06.680]  很希望2020年是我們頂梓妹的生命
[00:01:06.680 --> 00:01:09.480]  得到培育、有成長的一年
[00:01:09.480 --> 00:01:11.440]  所以在題目上
[00:01:11.440 --> 00:01:17.000]  我也很希望能夠跟大家一起思想成長的門徒
[00:01:17.000 --> 00:01:20.920]  希望我們每一個都是成長的門徒
[00:01:20.920 --> 00:01:23.800]  怎樣去學習呢?
[00:01:23.800 --> 00:01:25.280]  分為四個層面
[00:01:25.280 --> 00:01:27.680]  每個月一個層面
[00:01:27.680 --> 00:01:31.680]  今個月一月是上向的層面
[00:01:31.680 --> 00:01:34.200]  是我們跟神的關係
[00:01:34.200 --> 00:01:40.360]  下個月我們的層面就是內向的層面
[00:01:40.360 --> 00:01:43.040]  是我們跟自己的關係
[00:01:43.040 --> 00:01:47.480]  再下個月三月是外向的層面
[00:01:47.480 --> 00:01:49.920]  就是我們跟人的關係
[00:01:49.920 --> 00:01:53.200]  然後四月份第四個層面
[00:01:53.200 --> 00:01:55.680]  就是視向的層面
[00:01:55.680 --> 00:01:57.240]  就是我們怎樣去做事
[00:01:57.240 --> 00:02:00.080]  服事得更好呢?
[00:02:00.080 --> 00:02:03.400]  希望每個月都有兩個的題目
[00:02:03.400 --> 00:02:06.640]  讓我們能夠在這方面有反覆的思量
[00:02:06.640 --> 00:02:07.640]  彼此的勉勵
[00:02:07.640 --> 00:02:09.400]  一同的學習
[00:02:09.400 --> 00:02:10.560]  很重要的
[00:02:10.560 --> 00:02:15.520]  是讓我們成為成長的門徒
[00:02:15.520 --> 00:02:17.120]  我們所學的道
[00:02:17.120 --> 00:02:18.640]  我們所信的道
[00:02:18.640 --> 00:02:20.880]  是生命之道
[00:02:20.880 --> 00:02:22.880]  生命是有成長
[00:02:22.880 --> 00:02:25.200]  生命不應該停下來的
