
[00:00:00.000 --> 00:00:03.760]  三個星期前和大家分享了
[00:00:03.760 --> 00:00:06.520]  彼得前書的《牧者告白》
[00:00:06.520 --> 00:00:08.720]  我想問有哪些人那個星期有回來的
[00:00:08.720 --> 00:00:09.520]  即是三個星期前
[00:00:09.520 --> 00:00:11.160]  即是六月最後的一個星期
[00:00:11.160 --> 00:00:12.760]  那些流動性很厲害
[00:00:12.760 --> 00:00:14.520]  我想說都不夠二十個人
[00:00:14.520 --> 00:00:16.720]  上次有回來 很害怕
[00:00:16.720 --> 00:00:17.440]  OK
[00:00:17.440 --> 00:00:20.000]  在上次講完《牧者告白》之後
[00:00:20.000 --> 00:00:20.920]  有一個人跟我說
[00:00:20.920 --> 00:00:22.320]  咦 牧師那篇信息
[00:00:22.320 --> 00:00:26.560]  好像是和傳道人講多過和信徒講
[00:00:26.560 --> 00:00:30.400]  其實那篇信息真的應該是和傳道人講的
[00:00:30.400 --> 00:00:31.840]  因為如果大家記得
[00:00:31.840 --> 00:00:33.640]  彼得前書第五章的第一節
[00:00:33.640 --> 00:00:35.400]  再打出來給大家看的時候
[00:00:35.400 --> 00:00:36.840]  他很清楚地講
[00:00:36.840 --> 00:00:39.600]  他說「我借作長老」
[00:00:39.600 --> 00:00:40.960]  第五章的第一節
[00:00:40.960 --> 00:00:42.400]  我們一起來讀
[00:00:42.400 --> 00:00:44.200]  第五章第一節我們一起來讀出來
[00:00:44.200 --> 00:00:46.200]  「我借作長老」
[00:00:46.200 --> 00:00:48.600]  「作基督受苦的見證」
[00:00:48.600 --> 00:00:52.640]  「同享後來所要顯然之榮耀的」
[00:00:52.640 --> 00:00:56.960]  「勸你們中間如何同作長老的人」
[00:00:56.960 --> 00:00:58.640]  在這裡很清楚地講
[00:00:58.640 --> 00:01:02.880]  這段經文就是向著一班長老
[00:01:02.880 --> 00:01:04.080]  教會的領袖
[00:01:04.080 --> 00:01:05.120]  服侍神的人
[00:01:05.120 --> 00:01:06.320]  來帶去講的
[00:01:06.320 --> 00:01:07.480]  但是
[00:01:07.480 --> 00:01:09.920]  同樣我們都需要給弟兄姊妹知道
[00:01:09.920 --> 00:01:12.800]  因為可以知道原來作為一個神的僕人
[00:01:12.800 --> 00:01:15.280]  神對他的期望要求是怎樣
[00:01:15.280 --> 00:01:17.760]  或者我們也可以作這些經文
[00:01:17.760 --> 00:01:19.880]  成為我們對他的評價
[00:01:19.880 --> 00:01:22.680]  接著今天我們要看的經文
[00:01:22.680 --> 00:01:24.280]  待會我們會很清楚地看到
[00:01:24.280 --> 00:01:27.280]  彼得就轉向一班少年人
