
[00:00:00.000 --> 00:00:01.520]  各位電影師妹,平安!
[00:00:01.520 --> 00:00:05.480]  我們今天看這段經文,其實還沒完成
[00:00:05.480 --> 00:00:09.240]  我們要看完第19章1至7節,整個故事才完整
[00:00:09.240 --> 00:00:11.200]  不過我先讀了頭一段
[00:00:11.200 --> 00:00:12.960]  頭一段就說到
[00:00:12.960 --> 00:00:16.280]  有一個人,有三個地方名
[00:00:16.280 --> 00:00:19.080]  這個猶太人叫阿波羅
[00:00:19.080 --> 00:00:20.400]  阿波羅是想起什麼?
[00:00:20.400 --> 00:00:22.000]  是我們的雪糕
[00:00:22.000 --> 00:00:25.160]  是,黑林姐賣廣告的,證明有這麼多
[00:00:25.160 --> 00:00:28.120]  十幾年都不見了,阿波羅雪糕是我們的雪糕
[00:00:28.120 --> 00:00:32.240]  但其實阿波羅是一個外邦神明的名字
[00:00:32.240 --> 00:00:34.400]  證明他的猶太化很嚴重
[00:00:34.400 --> 00:00:36.600]  譬如他不說中文名字
[00:00:36.600 --> 00:00:40.760]  譬如西化很嚴重
[00:00:40.760 --> 00:00:44.320]  阿波羅是一個外邦神明的名字
[00:00:44.320 --> 00:00:46.560]  所以這個人的希臘化很嚴重
[00:00:46.560 --> 00:00:50.160]  但他自己特別說他是一個猶太人
[00:00:50.160 --> 00:00:54.400]  他是猶太人,不過已經很有希臘化
[00:00:54.400 --> 00:00:59.560]  這個人成長在一個很有學問的地方叫亞歷山大
[00:00:59.560 --> 00:01:01.280]  有些人去旅行都去過
[00:01:01.280 --> 00:01:03.920]  在埃及,北非
[00:01:03.920 --> 00:01:05.920]  現在有些遺跡找到
[00:01:05.920 --> 00:01:08.160]  那裡是一個很大的知識中心
[00:01:08.160 --> 00:01:10.520]  當時最大的圖書館
[00:01:10.520 --> 00:01:11.760]  可能你聽過
[00:01:11.760 --> 00:01:14.080]  七十四億本翻譯
[00:01:14.080 --> 00:01:20.920]  由舊約希伯來文聖經翻譯為《希臘文聖經》
[00:01:20.920 --> 00:01:22.880]  就是在亞歷山大翻譯的
