
[00:00:00.000 --> 00:00:03.000]  弟兄姐妹們,祝你平安
[00:00:03.000 --> 00:00:12.000]  非常高興這一個週末能夠有機會來到托倫斯靈良堂
[00:00:12.000 --> 00:00:14.000]  與弟兄姐妹們一起聚會
[00:00:14.000 --> 00:00:18.000]  這個週末很開心能夠來到托倫斯的教會和頂姐妹聚會
[00:00:18.000 --> 00:00:24.000]  每一次有機會在粵語的教會也好
[00:00:24.000 --> 00:00:28.000]  或者在教會的粵語崇拜分享的時候
[00:00:30.000 --> 00:00:34.000]  每一次能夠來到粵語的教會正道的時候
[00:00:34.000 --> 00:00:38.000]  心裏面都有很多的內疚
[00:00:38.000 --> 00:00:40.000]  心裏面有很多的內疚
[00:00:40.000 --> 00:00:46.000]  因為在香港住了有將近十五年的時間
[00:00:46.000 --> 00:00:49.000]  因為香港住了差不多十五年的時候
[00:00:49.000 --> 00:00:52.000]  但是一直到今天只會講一句廣東話
[00:00:52.000 --> 00:00:55.000]  到今天只能夠講一句廣東話
[00:00:55.000 --> 00:00:58.000]  不會講廣東話
[00:00:58.000 --> 00:01:06.000]  記得我們在香港把我們的孩子送到當地的培政小學
[00:01:06.000 --> 00:01:11.000]  記得在香港的時候把我們的子女送到培政小學
[00:01:11.000 --> 00:01:20.000]  每一年家長都要到學校跟老師有一個見面,有一個談話
[00:01:20.000 --> 00:01:23.000]  每一年都要到學校家長和老師見面
[00:01:23.000 --> 00:01:27.000]  一般都是師母去
[00:01:27.000 --> 00:01:31.000]  但是有一次她沒有辦法去就說我要去
[00:01:31.000 --> 00:01:34.000]  有一次她沒有空去就說我要去
[00:01:34.000 --> 00:01:37.000]  孩子都非常的緊張
[00:01:37.000 --> 00:01:44.000]  因為擔心爸爸不會講不會聽廣東話
[00:01:44.000 --> 00:01:46.000]  擔心爸爸不會聽不會講廣東話
[00:01:46.000 --> 00:01:50.000]  所以就事先跟他們的老師都講好了
[00:01:50.000 --> 00:01:52.000]  事先跟老師講好了
[00:01:52.000 --> 00:01:57.000]  對他們說我的爸爸不會講廣東話
[00:01:57.000 --> 00:02:03.000]  所以就考驗了他們的普通話,他們的中文
[00:02:03.000 --> 00:02:06.000]  就考考他們的普通話會不會聽
[00:02:06.000 --> 00:02:09.000]  所以今天還是很慚愧
[00:02:09.000 --> 00:02:13.000]  要用普通話,中文跟大家分享信息
[00:02:13.000 --> 00:02:21.000]  但是非常高興這個週末能夠回到Torrents的娘堂
[00:02:21.000 --> 00:02:24.000]  這個週末很開心來到Torrents的娘堂
[00:02:24.000 --> 00:02:28.000]  快要三年前有機會來到大家的當中
