
[00:00:00.000 --> 00:00:04.280]  兄弟妹早 平安
[00:00:04.280 --> 00:00:06.080]  當我問你平安的時候
[00:00:06.080 --> 00:00:08.960]  你覺得你的裡面真的有平安嗎
[00:00:08.960 --> 00:00:13.040]  有 有 感謝主
[00:00:13.040 --> 00:00:18.040]  以前我跟牧師常常早上起來
[00:00:18.040 --> 00:00:20.800]  有事沒事就弄得很不愉快
[00:00:20.800 --> 00:00:22.320]  很不平安
[00:00:22.320 --> 00:00:25.280]  但是我們再看看
[00:00:25.280 --> 00:00:28.040]  在過去這七八個月裡面
[00:00:28.040 --> 00:00:31.800]  你的生命中有沒有什麼不愉快
[00:00:31.800 --> 00:00:35.800]  不平安的事情
[00:00:35.800 --> 00:00:40.560]  我們身邊常常都有很多
[00:00:40.560 --> 00:00:44.880]  生活上的壓力和緊張
[00:00:44.880 --> 00:00:46.040]  是不是
[00:00:46.040 --> 00:00:49.440]  不論是你跟你家裡面的人的
[00:00:49.440 --> 00:00:53.760]  還是你跟身邊的同事 弟兄姊妹
[00:00:53.760 --> 00:00:57.440]  我們常常都會相處的時候
[00:00:57.440 --> 00:01:00.560]  會有摩擦 會產生一些不愉快
[00:01:00.560 --> 00:01:01.400]  是不是
[00:01:01.400 --> 00:01:05.360]  所以有時候甚至你在開車的時候
[00:01:05.360 --> 00:01:08.520]  有一個人很沒有禮貌地這樣超進去
[00:01:08.520 --> 00:01:10.960]  也讓你很不開心
[00:01:10.960 --> 00:01:14.400]  還有你在處理事情的時候
[00:01:14.400 --> 00:01:16.120]  在電話上面跟人家
[00:01:16.120 --> 00:01:20.800]  跟這個Credit Card Company
[00:01:20.800 --> 00:01:23.440]  還是在跟什麼人打電話的時候
[00:01:23.440 --> 00:01:26.120]  講到最後越講越火
[00:01:26.120 --> 00:01:27.760]  會不會這樣子
[00:01:27.760 --> 00:01:29.560]  這些很不愉快的事情
[00:01:29.560 --> 00:01:32.720]  都不停地在我們的身邊
[00:01:32.720 --> 00:01:34.480]  不停地在發生
[00:01:34.480 --> 00:01:41.200]  所以我們這些瑣瑣碎碎的事情
[00:01:41.200 --> 00:01:43.280]  都在影響我們的情緒
[00:01:43.280 --> 00:01:45.320]  掌握我們的心情
[00:01:45.320 --> 00:01:46.680]  我不曉得你們記不記得
[00:01:46.680 --> 00:01:48.440]  在舊約聖經裡面的時候
[00:01:48.440 --> 00:01:52.840]  那個雅各他到埃及去的時候
[00:01:52.840 --> 00:01:54.800]  站在法老王面前的時候
[00:01:54.800 --> 00:01:57.720]  法老王問他說你今年幾歲
[00:01:57.720 --> 00:02:00.200]  他說我今年130歲
[00:02:00.200 --> 00:02:03.760]  我的一生又苦又少
[00:02:03.760 --> 00:02:04.960]  記得這個話嗎
[00:02:04.960 --> 00:02:06.720]  又苦又少
[00:02:06.720 --> 00:02:08.120]  其實事實上
[00:02:08.120 --> 00:02:11.360]  這些是我們很多我們生命中的寫照
[00:02:11.360 --> 00:02:13.080]  大部分的人生命裡面
[00:02:13.080 --> 00:02:16.800]  都有很多的挑戰
[00:02:16.800 --> 00:02:21.080]  而且不如意的事情十之八九
[00:02:21.080 --> 00:02:21.880]  是不是
[00:02:21.880 --> 00:02:24.840]  所以我們怎樣才能夠活出一個
[00:02:24.840 --> 00:02:27.920]  平安快樂的人生呢
[00:02:27.920 --> 00:02:32.600]  我們一起低頭禱告
[00:02:32.600 --> 00:02:35.600]  天父主耶穌聖靈保佑使我們
[00:02:35.600 --> 00:02:37.560]  來到你的面前
[00:02:37.560 --> 00:02:39.280]  我們先來承認
[00:02:39.280 --> 00:02:41.240]  我們是有限的
[00:02:41.240 --> 00:02:42.680]  我們是罪人
[00:02:42.680 --> 00:02:45.640]  我們常常因著我們口中的言語
[00:02:45.640 --> 00:02:47.400]  心中的意念
[00:02:47.400 --> 00:02:49.920]  得罪了我們所愛的人
[00:02:49.920 --> 00:02:51.760]  主啊求你赦免我們
[00:02:51.760 --> 00:02:53.520]  也來幫助我們
[00:02:53.520 --> 00:02:56.080]  在我們今天聽信息的時候
[00:02:56.080 --> 00:02:58.680]  打開我們心中的耳朵
[00:02:58.680 --> 00:03:01.640]  讓你的話能夠進到我們的心裡
[00:03:01.640 --> 00:03:03.600]  成為我們的力量
[00:03:03.600 --> 00:03:04.800]  主我們感謝你
[00:03:04.800 --> 00:03:06.760]  我們讚美你
[00:03:06.760 --> 00:03:08.760]  奉耶穌的名祈禱
[00:03:08.760 --> 00:03:10.200]  Amen
[00:03:10.200 --> 00:03:11.840]  有人在分析
[00:03:11.840 --> 00:03:14.320]  他說一個人的情緒的產生
[00:03:14.320 --> 00:03:16.000]  為什麼會有情緒產生
[00:03:16.000 --> 00:03:19.360]  為什麼這個情緒會高高低低的原因是什麼
[00:03:19.360 --> 00:03:20.400]  有三個原因
[00:03:20.400 --> 00:03:22.840]  一個是因為我們生理
[00:03:22.840 --> 00:03:24.120]  我們的體質
[00:03:24.120 --> 00:03:28.840]  有時候是因為我們的心理的狀況
[00:03:28.840 --> 00:03:31.040]  心態 心理的因素
[00:03:31.040 --> 00:03:33.600]  還有什麼 環境的因素
[00:03:33.600 --> 00:03:36.440]  那在關於生理的體質方面呢
[00:03:36.440 --> 00:03:38.280]  我就非常的有感觸
[00:03:38.280 --> 00:03:39.880]  像我的母親已經九十歲了
