
[00:00:00.000 --> 00:00:04.000]  今個月五月份是猜全月
[00:00:04.000 --> 00:00:07.000]  亦都是第一個主日
[00:00:07.000 --> 00:00:10.000]  主餐的禮拜
[00:00:10.000 --> 00:00:12.000]  既然是猜全月的話
[00:00:12.000 --> 00:00:15.000]  我也都很想和鼎姐妹
[00:00:15.000 --> 00:00:18.000]  再一次勉勵去學習
[00:00:18.000 --> 00:00:21.000]  我們怎樣去做好
[00:00:21.000 --> 00:00:23.000]  教會的猜全的工作
[00:00:23.000 --> 00:00:26.000]  土神的喜悅
[00:00:26.000 --> 00:00:29.000]  不知大家還記不記得
[00:00:29.000 --> 00:00:33.000]  一年前2017年的猜全月
[00:00:33.000 --> 00:00:35.000]  第一個的主餐主日
[00:00:35.000 --> 00:00:38.000]  我講什麼道呢?
[00:00:38.000 --> 00:00:42.000]  多數都不記得了
[00:00:42.000 --> 00:00:44.000]  那一次的主日
[00:00:44.000 --> 00:00:46.000]  我的講題就是
[00:00:46.000 --> 00:00:49.000]  萬民臨門
[00:00:49.000 --> 00:00:52.000]  只赤算甲
[00:00:52.000 --> 00:00:54.000]  鼎姐妹
[00:00:54.000 --> 00:00:57.000]  今天我想和大家分享的題目叫做
[00:00:57.000 --> 00:01:00.000]  散居的人有福了
[00:01:00.000 --> 00:01:04.000]  其實都是同一類型的訊息
[00:01:04.000 --> 00:01:07.000]  上年講完現在又講
[00:01:07.000 --> 00:01:09.000]  為什麼又經常都講呢?
[00:01:09.000 --> 00:01:12.000]  因為這個課題很重要
[00:01:12.000 --> 00:01:14.000]  如果當我們在這個時代
[00:01:14.000 --> 00:01:16.000]  想猜全的工作
[00:01:16.000 --> 00:01:18.000]  想宣教的工作的時候
[00:01:18.000 --> 00:01:21.000]  除了我們慣常傳統所想的
[00:01:21.000 --> 00:01:24.000]  往普天下去宣揚福音之外
[00:01:24.000 --> 00:01:27.000]  我們需要稍微轉念一下
[00:01:27.000 --> 00:01:29.000]  今天的宣教
[00:01:29.000 --> 00:01:33.000]  今天的猜全就在本地
[00:01:33.000 --> 00:01:36.000]  這個就是只赤的宣教
[00:01:36.000 --> 00:01:39.000]  所以我不會嫌棄
[00:01:39.000 --> 00:01:41.000]  今年又再講
[00:01:41.000 --> 00:01:44.000]  不過當然經文很不同
[00:01:44.000 --> 00:01:47.000]  但是真的很值得我們去深思
[00:01:47.000 --> 00:01:49.000]  而且我都很相信
[00:01:49.000 --> 00:01:51.000]  按照我的了解
[00:01:51.000 --> 00:01:56.000]  應該是在今天的全球各地的教會
[00:01:56.000 --> 00:02:00.000]  都是要在想這個問題
[00:02:00.000 --> 00:02:02.000]  因為時代變了
[00:02:02.000 --> 00:02:04.000]  很多現象變了
[00:02:04.000 --> 00:02:06.000]  人口的漏洞
[00:02:06.000 --> 00:02:10.000]  越來越清晰強勁的時候
[00:02:10.000 --> 00:02:14.000]  宣教再不只是想遠方
[00:02:14.000 --> 00:02:17.000]  都想到只赤之間
[00:02:17.000 --> 00:02:23.000]  所以求主今天都是藉著宣教的訊息
[00:02:23.000 --> 00:02:25.000]  幫助我們在宣教裡面
[00:02:25.000 --> 00:02:29.000]  我們有一個更合神心意的看法
[00:02:29.000 --> 00:02:32.000]  我們今天所用的經文
[00:02:32.000 --> 00:02:35.000]  就是《使徒行傳》第十六章
[00:02:35.000 --> 00:02:38.000]  第十一到第十五節
[00:02:38.000 --> 00:02:41.000]  剛才我們都讀完了
[00:02:41.000 --> 00:02:44.000]  在這一段的經文裡面
[00:02:44.000 --> 00:02:46.000]  很清楚的讓我們看得到
[00:02:46.000 --> 00:02:53.000]  就是保羅和呂帝亞福音的互動
[00:02:53.000 --> 00:02:56.000]  在當中記載不算是很多篇幅
[00:02:56.000 --> 00:02:59.000]  但是在當中卻是有很多地方
[00:02:59.000 --> 00:03:02.000]  值得我們去思考去想
[00:03:02.000 --> 00:03:04.000]  而最重要的就是
[00:03:04.000 --> 00:03:06.000]  有什麼話語的亮光
[00:03:06.000 --> 00:03:10.000]  給我們在二十一世紀年代的人
[00:03:10.000 --> 00:03:12.000]  去為主作供
[00:03:12.000 --> 00:03:15.000]  就好像保羅二千多年前
[00:03:15.000 --> 00:03:18.000]  拼命的為主作供一樣
[00:03:18.000 --> 00:03:20.000]  這個就值得我們去想
[00:03:20.000 --> 00:03:22.000]  當我看完這段經文的時候
[00:03:22.000 --> 00:03:26.000]  我嘗試從幾方面去反覆的思量
[00:03:26.000 --> 00:03:29.000]  我亦都很希望將一些反覆的思量
[00:03:29.000 --> 00:03:30.000]  這些重點
[00:03:30.000 --> 00:03:33.000]  和鄧子妹一起去學習
[00:03:33.000 --> 00:03:35.000]  一起去思考
[00:03:35.000 --> 00:03:38.000]  第一樣東西值得我們留意的
[00:03:38.000 --> 00:03:40.000]  我們有沒有留意到
[00:03:40.000 --> 00:03:43.000]  當保羅去到這個菲勒比的時候
[00:03:43.000 --> 00:03:45.000]  這個城之後
[00:03:45.000 --> 00:03:51.000]  他並沒有去猶太人的會堂
[00:03:51.000 --> 00:03:55.000]  去了城外的河邊
[00:03:55.000 --> 00:03:56.000]  我們就會問
[00:03:56.000 --> 00:03:59.000]  為什麼保羅不是去猶太人的會堂呢?
[00:03:59.000 --> 00:04:01.000]  因為如果我們讀士堂傳
[00:04:01.000 --> 00:04:03.000]  看到他四處去不同的城市的時候
[00:04:03.000 --> 00:04:04.000]  第一樣東西
[00:04:04.000 --> 00:04:06.000]  他就去到猶太人的中間
[00:04:06.000 --> 00:04:07.000]  去到會堂裡面
[00:04:07.000 --> 00:04:08.000]  跟他們告訴他們
[00:04:08.000 --> 00:04:10.000]  耶穌就是基督
[00:04:10.000 --> 00:04:13.000]  耶穌就是你們期盼的尼塞亞
[00:04:13.000 --> 00:04:15.000]  所以你們要相信
[00:04:15.000 --> 00:04:17.000]  很多時候在士堂傳裡面
[00:04:17.000 --> 00:04:19.000]  一而再再而三出現
[00:04:19.000 --> 00:04:20.000]  但是當我們發現
[00:04:20.000 --> 00:04:23.000]  保羅去到菲勒比這個城市的時候
[00:04:23.000 --> 00:04:25.000]  他並不是這樣做
[00:04:25.000 --> 00:04:28.000]  為什麼呢?
[00:04:28.000 --> 00:04:30.000]  其實理由都很簡單
[00:04:30.000 --> 00:04:34.000]  就因為沒有會堂
[00:04:34.000 --> 00:04:36.000]  不能去
[00:04:36.000 --> 00:04:38.000]  因為原來你在一個城市裡面
[00:04:38.000 --> 00:04:41.000]  你會有一個會堂的出現
[00:04:41.000 --> 00:04:45.000]  是需要有十個男的猶太人
[00:04:45.000 --> 00:04:47.000]  成年的猶太人
[00:04:47.000 --> 00:04:52.000]  你才可以去組成一個這樣的會堂
[00:04:52.000 --> 00:04:55.000]  才可以在安息日去敬拜
