
[00:00:00.000 --> 00:00:12.000]  停交生命帳本之前,人生的帳本,傳道書,上一次牧師講,唔係大結局了咩?
[00:00:12.000 --> 00:00:16.000]  點解我而家又仲再講傳道書呀?
[00:00:16.000 --> 00:00:20.000]  係呀!我係依依消而直說嘅!
[00:00:20.000 --> 00:00:26.000]  冇錯!上一次,嗰個真係傳道書嘅結論嚟㗎!
[00:00:26.000 --> 00:00:32.000]  見唔見得,上一次講嘅啲咩嘢呀?
[00:00:32.000 --> 00:00:38.000]  唔好理佢住先!我想讀下每一段係咩先!
[00:00:38.000 --> 00:00:43.000]  啲段呢,最後嗰段呢,就好似我哋寫信咁呀!
[00:00:43.000 --> 00:00:48.000]  寫完呢,夠頓時呀!哎呀!仲有啲嘢未寫喎!就有及!
[00:00:48.000 --> 00:00:56.000]  再寫完,應該係完啦!又再講一句,有及!再寫完,就有及!
[00:00:56.000 --> 00:01:03.000]  一次我同師妹聽嗰個牧師講到,佢講咗十點,十大點呀!講咗一個鐘頭!
[00:01:03.000 --> 00:01:13.000]  然後最後,啊!完啦!最後嘅第一點!第一點嘅最後!最後!最後!最後!最後都十字喎!
[00:01:13.000 --> 00:01:17.000]  然後嗰陣人打拼呀!牧師唔得呀!要檢查呀!
[00:01:17.000 --> 00:01:25.000]  好啦!就係最後啦!我將十點未講㗎!原來最後可以去到十點再加十點!
[00:01:25.000 --> 00:01:34.000]  傳道者,傳道師就係有啲事咁呀!你以為講完喇喎!最後,啊!仲有最後呀!
[00:01:34.000 --> 00:01:43.000]  一齊讀好冇呀?傳道者,傳道者說:「一切都毫無意義,完全沒有意思。」
[00:01:43.000 --> 00:01:50.000]  「要切記,傳道者不但有智慧,還把他所知道的一切傳授給人。」
[00:01:50.000 --> 00:02:03.000]  「他仔細聆聽許多真言,加以研究,歸類傳道者斟酌字眼,要找出黑漢的詞語,清楚地傳達真理。」
[00:02:03.000 --> 00:02:19.000]  「智慧人的話就像趕流的刺探,讓人刺痛卻於人有益,他不收集的真言,如同帶兵的棍子,是辱辱人用來趕羊的棍子。」
[00:02:19.000 --> 00:02:33.000]  「然而,我的孩子呀!讓我再提醒你,要注意,寫書是沒有指定的,讀書多,會使你疲倦不堪。」
[00:02:33.000 --> 00:02:50.000]  「總而言之,要敬畏上帝,遵守他的命令,這是每個人的本份,我們所做的一切,包括隱秘的事,無論好壞,上帝都要審判。」
[00:02:50.000 --> 00:03:07.000]  「最後,總而言之,已經做了沒有?幸好沒有了!其實在上一次的結論裏面,第十一章,第九節,到第十二章,第七節,已經有結論了。」
[00:03:07.000 --> 00:03:21.000]  「但要記住,你所要做的一切,要向上帝交賬,所以因此,所以,已經是結論了,所以,已經結論了,十一章,第十節,所以甚麼呢?」
[00:03:21.000 --> 00:03:37.000]  「所以,從人生的兩次旅程,兩個旅程,來到入手,第一個旅程就是,青春多美好,但要記住,你所做的一切,都要向上帝交賬。」
[00:03:37.000 --> 00:03:51.000]  「人生的第一個階段,第一程,你要找出你自己是誰,你要成就,你要成功,你要找出人生的目標,來建立你自己。」
[00:03:51.000 --> 00:04:07.000]  「那個是你造作的我,那個是你的 doing self,你還要將你自己做些甚麼,有甚麼成就,來到在那個時候,成家立業,娶妻生子,等等等等,在那個時候建立起來。」
[00:04:07.000 --> 00:04:19.000]  「這個是你的第一旅程,而這個旅程是青春多美好的旅程,你將人生的青春都花在其上,不過,你要享受一切,你要有一切的成果。」
[00:04:19.000 --> 00:04:23.000]  「但要記住,全部者說,你要向上帝交賬。」
[00:04:23.000 --> 00:04:51.000]  「第二個旅程呢,就是下文,親珠最美,眼又矇,耳又聾,牙齒又生創,背脊又斷弓,那個時候,親珠還未老到人生不再有樂趣。」
[00:04:51.000 --> 00:04:57.000]  「你親珠的時候,要尊崇他,這是我的結論。」
[00:04:57.000 --> 00:05:10.000]  「好了,講完之後呢,唉,我們明白的,全部者你苦口婆心,你告訴我們,我們要交賬,人生有一個賬簿,要為自己的人生負責。」
[00:05:10.000 --> 00:05:26.000]  「我們會再一次總結一下我們的人生,我們雖然與我們的人生歲月和好,尤其是我們在在當中都活了至少四分之一個世紀。」
