
[00:00:00.000 --> 00:00:01.520]  「弟兄姊妹,平安!」
[00:00:01.520 --> 00:00:03.840]  很開心在這裡分享訊息
[00:00:03.840 --> 00:00:07.680]  特別是跟周五的弟兄姊妹打招呼
[00:00:07.680 --> 00:00:09.640]  同樣是跟周日的弟兄姊妹
[00:00:09.640 --> 00:00:11.120]  網上的弟兄姊妹打招呼
[00:00:11.120 --> 00:00:12.760]  因為可能是極大機會了
[00:00:12.760 --> 00:00:15.000]  星期日當你看到這段影片的時候
[00:00:15.000 --> 00:00:17.320]  代表我已經在家中睡覺
[00:00:17.320 --> 00:00:18.400]  就是代表打風了
[00:00:18.400 --> 00:00:20.560]  可能已經八號風球緊了
[00:00:20.560 --> 00:00:21.880]  所以也鼓勵大家
[00:00:21.880 --> 00:00:22.960]  在家中
[00:00:22.960 --> 00:00:23.640]  就是星期天
[00:00:23.640 --> 00:00:24.200]  回不了教會
[00:00:24.200 --> 00:00:25.480]  我們也上網崇拜了
[00:00:25.480 --> 00:00:27.440]  所以其實你聽得到的一句
[00:00:27.440 --> 00:00:29.280]  證明你已經在看《網上崇拜》
[00:00:29.280 --> 00:00:30.360]  不需要我提醒你
[00:00:30.360 --> 00:00:31.640]  如果你聽不到這一句
[00:00:31.640 --> 00:00:33.040]  證明你已經錯過了
[00:00:33.040 --> 00:00:33.960]  我提醒你也沒有用
[00:00:33.960 --> 00:00:36.720]  所以我們也一起去崇拜
[00:00:36.720 --> 00:00:37.840]  無論你在家中
[00:00:37.840 --> 00:00:39.280]  或者我們這裡現場的
[00:00:39.280 --> 00:00:41.040]  我們一起領受神
[00:00:41.040 --> 00:00:43.400]  讓我們說要超越時間限制
[00:00:43.400 --> 00:00:44.600]  超越時空
[00:00:44.600 --> 00:00:46.200]  聖靈隨時會提醒你
[00:00:46.200 --> 00:00:47.760]  在每一個空間
[00:00:47.760 --> 00:00:49.560]  不一定在禮堂二樓
[00:00:49.560 --> 00:00:50.600]  而是在你的房間
[00:00:50.600 --> 00:00:51.120]  你的家中
[00:00:51.120 --> 00:00:52.400]  你的電腦前面
[00:00:52.400 --> 00:00:54.160]  聖靈也會充滿你去提醒你
[00:00:54.160 --> 00:00:57.360]  所以我們今天一起去經歷神
[00:00:57.360 --> 00:01:00.080]  在暴風中可能去經歷神
[00:01:00.080 --> 00:01:01.120]  那麼這個訊息
[00:01:01.120 --> 00:01:03.120]  在我進入夏季營之前
[00:01:03.120 --> 00:01:03.960]  已經預備好了
[00:01:03.960 --> 00:01:05.440]  剛好和蕭牧師
[00:01:05.440 --> 00:01:06.760]  他也有說出「I」吸氣
[00:01:06.760 --> 00:01:09.280]  所以好像也有一點點關聯
[00:01:09.280 --> 00:01:11.440]  這個題目叫做「True I」自知
[00:01:11.440 --> 00:01:13.000]  就是經常都會說是
[00:01:13.000 --> 00:01:14.240]  「I」人和「E」人
[00:01:14.240 --> 00:01:15.920]  就是內向人和外向人
[00:01:15.920 --> 00:01:18.880]  有沒有人覺得自己是內向的人?
[00:01:18.880 --> 00:01:20.800]  有沒有人覺得自己是外向的人?
[00:01:20.800 --> 00:01:22.360]  就是比較籠統的這樣說
[00:01:22.360 --> 00:01:24.400]  那麼
[00:01:24.400 --> 00:01:25.520]  想分享的就是
[00:01:25.520 --> 00:01:27.160]  我經常都被人誤會了
[00:01:27.160 --> 00:01:28.400]  我是一個外向人
[00:01:28.400 --> 00:01:30.880]  但是你稍為和我聊過一次
[00:01:30.880 --> 00:01:32.360]  你就知道我是很內向
[00:01:32.360 --> 00:01:33.840]  以及是很害羞的
[00:01:33.840 --> 00:01:34.800]  很內斂
