
[00:00:00.000 --> 00:00:02.000]  各位兄弟兄妹大家好
[00:00:02.000 --> 00:00:04.000]  有我們今天在網上崇拜
[00:00:04.000 --> 00:00:07.000]  一起去聆聽神的華語
[00:00:07.000 --> 00:00:08.000]  大家都知道
[00:00:08.000 --> 00:00:12.000]  進入四月份仍然是遇苦期的時候
[00:00:12.000 --> 00:00:16.000]  還有三個星期將會是仇苦節和復活節
[00:00:16.000 --> 00:00:18.000]  有我們繼續扣個約翰福音
[00:00:18.000 --> 00:00:20.000]  七個「我是」
[00:00:20.000 --> 00:00:23.000]  去思想我們和主耶穌基督的關係
[00:00:23.000 --> 00:00:26.000]  如何實踐在我們生活的當中
[00:00:26.000 --> 00:00:27.000]  今天的廣告題目是
[00:00:27.000 --> 00:00:30.000]  「我是道路真理生理」
[00:00:30.000 --> 00:00:32.000]  就要多謝讀經小組為我們讀出
[00:00:32.000 --> 00:00:36.000]  楊福音十四章一至十四節
[00:00:36.000 --> 00:00:39.000]  很想重提兩個很重要的特點
[00:00:39.000 --> 00:00:42.000]  在楊方裡面七個「我是」
[00:00:42.000 --> 00:00:45.000]  Jesus says "I am"
[00:00:45.000 --> 00:00:48.000]  這個「我是」是充滿著權柄為威力的
[00:00:48.000 --> 00:00:52.000]  在出埃及記三章十四節
[00:00:52.000 --> 00:00:56.000]  當時摩西在經紀裡面遇見上帝
[00:00:56.000 --> 00:00:59.000]  他問上帝你的名字是什麼
[00:00:59.000 --> 00:01:03.000]  上帝就說我是自有永有
[00:01:03.000 --> 00:01:05.000]  你要對以色列人說
[00:01:05.000 --> 00:01:08.000]  那位自有永有的差派摩西
[00:01:08.000 --> 00:01:11.000]  來到以色列人當中
[00:01:11.000 --> 00:01:13.000]  這個「我是」讓我們看到
[00:01:13.000 --> 00:01:15.000]  上帝那份的威榮
[00:01:15.000 --> 00:01:18.000]  那份的自有永有的存在
[00:01:18.000 --> 00:01:21.000]  那份的獨特性和那份的權柄
[00:01:21.000 --> 00:01:27.000]  而且上帝要進入人的當中
[00:01:27.000 --> 00:01:29.000]  在這七個「我是」
[00:01:29.000 --> 00:01:31.000]  在楊雄方裡面同樣
[00:01:31.000 --> 00:01:34.000]  耶穌都要彰顯父神的榮耀
[00:01:34.000 --> 00:01:37.000]  讓我們知道耶穌就是生命的糧
[00:01:37.000 --> 00:01:41.000]  世界的光、陽的門、好牧人
[00:01:41.000 --> 00:01:43.000]  而今天我們要思想的題目就是
[00:01:43.000 --> 00:01:48.000]  耶穌就是道路、真理、生命
[00:01:48.000 --> 00:01:50.000]  第二個我們要留意的就是
[00:01:50.000 --> 00:01:53.000]  《楊雄福音傳書》的架構
[00:01:53.000 --> 00:01:55.000]  我參考了吳慧儀博士
[00:01:55.000 --> 00:01:57.000]  對《楊雄福音》的研究
[00:01:57.000 --> 00:02:00.000]  她將楊雄方分做三個大段落
[00:02:00.000 --> 00:02:02.000]  第一個段落是一章
[00:02:02.000 --> 00:02:04.000]  以及去到第十二章
[00:02:04.000 --> 00:02:07.000]  這段裡面不單止我們看到
[00:02:07.000 --> 00:02:11.000]  耶穌的七個「我是」之一
[00:02:11.000 --> 00:02:12.000]  我們更加能夠看到
[00:02:12.000 --> 00:02:14.000]  耶穌七個的神蹟
[00:02:14.000 --> 00:02:16.000]  所以我們叫神蹟篇
