
[00:00:00.000 --> 00:00:03.500]  下個星期我們會有這個
[00:00:03.500 --> 00:00:07.740]  執事會小組的重選
[00:00:07.740 --> 00:00:09.420]  也會有一個大會
[00:00:09.420 --> 00:00:14.060]  所以都想按《聖經》跟大家分享一下
[00:00:14.060 --> 00:00:16.180]  關乎這個作領袖
[00:00:16.180 --> 00:00:18.780]  在《聖經》那一篇是怎樣看的呢
[00:00:18.780 --> 00:00:23.140]  給我們有一個完整的概念
[00:00:23.140 --> 00:00:24.740]  開始的時候
[00:00:24.740 --> 00:00:27.340]  就一直會引用《聖經》
[00:00:27.340 --> 00:00:31.340]  因為我講到通常都是有個毛病的
[00:00:31.340 --> 00:00:33.500]  就是用《聖經》太多
[00:00:33.500 --> 00:00:36.020]  主要的《聖經》
[00:00:36.020 --> 00:00:38.540]  是在《提摩太前書》三章一至十三節
[00:00:38.540 --> 00:00:45.180]  那裡講到關乎作教會領袖的一些提醒
[00:00:45.180 --> 00:00:48.340]  但是在講這個《提摩太前書》之前
[00:00:48.340 --> 00:00:50.580]  我就想跟大家看看
[00:00:50.580 --> 00:00:54.220]  我們的耶穌在世上邊的時候
[00:00:54.220 --> 00:00:57.500]  祂是怎樣的呢
[00:00:57.500 --> 00:00:59.580]  祂怎樣去服侍的呢
[00:00:59.580 --> 00:01:02.540]  祂怎樣去傳揚神的福音
[00:01:02.540 --> 00:01:04.780]  怎樣去帶領門徒的呢
[00:01:04.780 --> 00:01:09.020]  所以我們都會花一點時間看看福音書裡面
[00:01:09.020 --> 00:01:14.220]  耶穌的生平一些很重要的事蹟
[00:01:14.220 --> 00:01:16.700]  那麼耶穌我們知道
[00:01:16.700 --> 00:01:19.780]  在《馬太福音》開頭第一章
[00:01:19.780 --> 00:01:21.220]  我一直引用那些《聖經》
[00:01:21.220 --> 00:01:24.060]  你們可以揭,也可以不用揭都可以
[00:01:24.060 --> 00:01:26.740]  揭得快的那些就揭了
[00:01:26.740 --> 00:01:30.020]  如果揭不到那些你聽我說都是那個內容
