
[00:00:00.000 --> 00:00:02.000]  我們先一起低頭禱告
[00:00:02.000 --> 00:00:07.620]  親愛的天父 上帝 我們感謝讚美祢
[00:00:07.620 --> 00:00:10.320]  很感謝祢 因為祢建立教會
[00:00:10.320 --> 00:00:13.820]  也讓我們今天能夠有新生命氣息
[00:00:13.820 --> 00:00:15.620]  我們可以回到教會當中
[00:00:15.620 --> 00:00:17.620]  跟弟兄姊妹 跟我們家人
[00:00:17.620 --> 00:00:19.620]  一同可以來到教會當中
[00:00:19.620 --> 00:00:21.620]  去敬拜讚美主
[00:00:21.620 --> 00:00:23.620]  原真祢的靈與我們同在
[00:00:23.620 --> 00:00:25.620]  進入在我們內心的當中
[00:00:25.620 --> 00:00:29.320]  讓我們能夠有敏銳的能力
[00:00:29.320 --> 00:00:31.320]  智慧 去明白祢的教導
[00:00:31.320 --> 00:00:33.320]  又向我們的心 我們的生命說話
[00:00:33.320 --> 00:00:35.320]  以致我們能夠怎樣去
[00:00:35.320 --> 00:00:37.320]  緊緊跟從我們的上帝
[00:00:37.320 --> 00:00:39.320]  以致我們能夠透過我們的生活
[00:00:39.320 --> 00:00:41.320]  一言一行
[00:00:41.320 --> 00:00:43.320]  能夠去見證榮耀我們的主
[00:00:43.320 --> 00:00:45.320]  我們感謝讚美祢
[00:00:45.320 --> 00:00:47.320]  聽他同心合意祈禱
[00:00:47.320 --> 00:00:49.320]  奉靠基督耶穌名字禱告
[00:00:49.320 --> 00:00:51.320]  阿門
[00:00:51.320 --> 00:00:55.320]  剛才祈禱也說到
[00:00:55.320 --> 00:00:57.320]  上帝好好建立教會
[00:00:57.320 --> 00:00:59.320]  我們窩福堂有不同
[00:00:59.320 --> 00:01:01.320]  形式的活動給小朋友
[00:01:01.320 --> 00:01:03.320]  一同去學習聖經
[00:01:03.320 --> 00:01:05.320]  一同去敬拜 認識神
[00:01:05.320 --> 00:01:07.320]  而我們大朋友
[00:01:07.320 --> 00:01:09.320]  弟兄姊妹 我們都可以有不同的
[00:01:09.320 --> 00:01:11.320]  信仰班 團契
[00:01:11.320 --> 00:01:13.320]  崇拜等等
[00:01:13.320 --> 00:01:15.320]  我們都可以有機會
[00:01:15.320 --> 00:01:17.320]  去學習神的話語
[00:01:17.320 --> 00:01:19.320]  以致幫助我們能夠
[00:01:19.320 --> 00:01:21.320]  一生去跟從神
[00:01:21.320 --> 00:01:25.320]  有一天 在一間教會當中
[00:01:25.320 --> 00:01:27.320]  有一個小朋友
[00:01:27.320 --> 00:01:29.320]  他今年四年級
[00:01:29.320 --> 00:01:31.320]  他叫小威
[00:01:31.320 --> 00:01:33.320]  哇 你不要看他這麼小
[00:01:33.320 --> 00:01:35.320]  他上了教會
[00:01:35.320 --> 00:01:37.320]  已經六年了
[00:01:37.320 --> 00:01:39.320]  有一天 他如常上到教會
[00:01:39.320 --> 00:01:41.320]  進入到
[00:01:41.320 --> 00:01:43.320]  兒童主義學的課室當中
[00:01:43.320 --> 00:01:45.320]  很開心 回來見到朋友
[00:01:45.320 --> 00:01:47.320]  就放下背包
[00:01:47.320 --> 00:01:49.320]  到處走
[00:01:49.320 --> 00:01:51.320]  過了一陣子回來的時候
[00:01:51.320 --> 00:01:53.320]  竟然發現他心愛的
[00:01:53.320 --> 00:01:55.320]  迷你兵團玩偶
[00:01:55.320 --> 00:01:57.320]  竟然在小豐的手上
[00:01:57.320 --> 00:01:59.320]  竟然在小豐的手上
[00:01:59.320 --> 00:02:01.320]  當時他就很生氣
[00:02:01.320 --> 00:02:03.320]  就說 你為什麼拿了我的東西
[00:02:03.320 --> 00:02:05.320]  一手就去
[00:02:05.320 --> 00:02:07.320]  拿回那個玩偶
[00:02:07.320 --> 00:02:09.320]  但是小豐就說
[00:02:09.320 --> 00:02:11.320]  不是的 是我的
[00:02:11.320 --> 00:02:13.320]  你一言我一語
