
[00:00:00.000 --> 00:00:04.800]  我們這段時間都在思考如何創造一個福音的人生的生活
[00:00:04.800 --> 00:00:08.400]  所以我們都願意在這個時候主宰一次透過他自己的說話
[00:00:08.400 --> 00:00:12.500]  來提醒鼓勵我們的心能夠可以傳揚福音
[00:00:12.500 --> 00:00:14.900]  我想大家有一個祈禱
[00:00:14.900 --> 00:00:18.600]  今早我很想在我們一起思想聖經之前
[00:00:18.600 --> 00:00:22.200]  我們都特別紀念在過去這兩三天大家看到新聞
[00:00:22.200 --> 00:00:28.100]  很多關於地鐵有人縱火的事情帶來的傷亡、傷害
[00:00:28.100 --> 00:00:31.600]  大家我們先為他們祈禱然後再一起思想聖經
[00:00:31.600 --> 00:00:40.400]  天父我們感謝祢
[00:00:40.400 --> 00:00:43.500]  感謝祢賜給我們有生命
[00:00:43.500 --> 00:00:48.100]  也感謝祢賜給我們有代禱的權柄
[00:00:48.100 --> 00:00:52.200]  主我們在這個時候很想首先為這段時間
[00:00:52.200 --> 00:00:55.900]  香港所發生的事情向主禱告
[00:00:55.900 --> 00:01:01.000]  主當我們看到在地鐵裡面縱火的情形
[00:01:01.000 --> 00:01:02.900]  我們都會有些感同身受
[00:01:02.900 --> 00:01:07.200]  因為是我們經常乘搭的地鐵
[00:01:07.200 --> 00:01:10.800]  主我們都有機會隨時是其中一個
[00:01:10.800 --> 00:01:15.800]  因此主我們在祢面前想起一群受到創傷的朋友
[00:01:15.800 --> 00:01:17.900]  我們向主禱告
[00:01:17.900 --> 00:01:23.600]  求親愛的主祢的安慰、祢的醫治臨到他們
[00:01:23.600 --> 00:01:25.600]  就算他們未必認識祢
[00:01:25.600 --> 00:01:28.000]  但主祢聽我們的禱告
[00:01:28.000 --> 00:01:31.800]  讓祢的恩惠臨到他們身上
[00:01:31.800 --> 00:01:34.900]  主有一些他們已經在醫院裡面一段日子
[00:01:34.900 --> 00:01:37.300]  有三位危殆、三位嚴重
[00:01:37.300 --> 00:01:39.800]  有很多其他還是受傷
[00:01:39.800 --> 00:01:43.900]  求主親自的師恩、使用醫生、護士
[00:01:43.900 --> 00:01:46.600]  能夠有效的來幫助他們
[00:01:46.600 --> 00:01:49.800]  能夠可以重新得到康復
[00:01:49.800 --> 00:01:52.400]  在這段時間求主自己安慰他們
[00:01:52.400 --> 00:01:55.200]  也安慰一些曾經可能在過程當中
[00:01:55.200 --> 00:01:58.600]  受到很大的驚嚇的很多的乘客
[00:01:58.600 --> 00:02:02.700]  主祢自己親自的用祢的方法
[00:02:02.700 --> 00:02:06.400]  將那份平安再一次放在他們心中
[00:02:06.400 --> 00:02:10.000]  主我們仰望祢自己也在前面
[00:02:10.000 --> 00:02:12.200]  主祢保守這個城市
[00:02:12.200 --> 00:02:16.600]  主我們也特別想到很多有精神病患的朋友
[00:02:16.600 --> 00:02:19.000]  主求祢自己綏顧
[00:02:19.000 --> 00:02:25.900]  讓香港有更美好的服務能夠可以安排給他們
[00:02:25.900 --> 00:02:28.600]  主祢自己親自的來興起更多的
[00:02:28.600 --> 00:02:32.200]  有這方面的服務的人員、醫護的人員
[00:02:32.200 --> 00:02:35.400]  能夠可以成為他們有效的幫助
[00:02:35.400 --> 00:02:38.100]  主他們需要祢的恩惠
[00:02:38.100 --> 00:02:40.600]  有些時候被人排斥
[00:02:40.600 --> 00:02:43.300]  有些時候被人輕視
[00:02:43.300 --> 00:02:46.800]  但是主祢沒有輕視每一個的生命
[00:02:46.800 --> 00:02:51.200]  所以求祢也因代香港興起這方面的服事
[00:02:51.200 --> 00:02:53.100]  或者是不同的生命
