
[00:00:00.000 --> 00:00:02.480]  請我們再一次同心和你同日祈禱
[00:00:02.480 --> 00:00:04.040]  天父我們再一次感謝祢
[00:00:04.040 --> 00:00:07.680]  讓祢寶貴話語作為我們生命的指南針
[00:00:07.680 --> 00:00:09.920]  求祢讓我們藉著祢的話語
[00:00:09.920 --> 00:00:13.840]  得到提醒、勸勉、教導、指引
[00:00:13.840 --> 00:00:18.280]  以致我們的生命是活得精彩的
[00:00:18.280 --> 00:00:19.400]  我們感恩祈禱
[00:00:19.400 --> 00:00:21.000]  奉耶穌基督名求
[00:00:21.000 --> 00:00:21.960]  阿門
[00:00:21.960 --> 00:00:26.360]  在阿拉斯加有一個高速公路的入口
[00:00:26.360 --> 00:00:28.640]  裏面有幾個大字這樣寫法
[00:00:28.640 --> 00:00:32.200]  請小心選擇你的道路
[00:00:32.200 --> 00:00:35.640]  因為你入了這個高速公路
[00:00:35.640 --> 00:00:38.720]  第二個出口是二百里之後
[00:00:38.720 --> 00:00:42.720]  The next exit will be two hundred miles away
[00:00:42.720 --> 00:00:46.640]  如果你說真的一時不小心入錯了高速公路
[00:00:46.640 --> 00:00:50.720]  你想出來要走四百多里才能出來
[00:00:50.720 --> 00:00:53.920]  是你需要六七個小時時間
[00:00:53.920 --> 00:00:55.920]  中國人說你的說話很對
[00:00:55.920 --> 00:00:58.920]  差之毫厘就謀以千里
[00:00:58.920 --> 00:01:01.720]  一失足成就千古恨
[00:01:01.720 --> 00:01:03.080]  沒錯
[00:01:03.080 --> 00:01:07.640]  如果我們選擇錯了我們的人生道路
[00:01:07.640 --> 00:01:11.320]  選擇錯了我們人生的價值觀
[00:01:11.320 --> 00:01:15.120]  往往是走多很多很多冤枉路
[00:01:15.120 --> 00:01:18.120]  全道書頭十章可以說
[00:01:18.120 --> 00:01:20.480]  它大部分時間去告訴你
[00:01:20.480 --> 00:01:22.520]  從一個日光之下的角度
[00:01:22.520 --> 00:01:24.320]  從一個武神的角度
[00:01:24.320 --> 00:01:26.720]  去怎樣找人生一些的滿足
[00:01:26.720 --> 00:01:29.120]  結果得來的就是虛空的
