
[00:00:00.000 --> 00:00:03.760]  各位聽眾會平安 舊約仍然說話
[00:00:03.760 --> 00:00:08.960]  今天想和大家介紹舊約裏面的愉悅節
[00:00:08.960 --> 00:00:10.980]  在每年過新年的時候
[00:00:10.980 --> 00:00:14.920]  我們中國人就很喜歡把灰燻
[00:00:14.920 --> 00:00:17.960]  把福字貼在門口那裏
[00:00:17.960 --> 00:00:20.960]  門頂上面就貼一個福字
[00:00:20.960 --> 00:00:25.120]  然後兩邊就掛著一對的對聯
[00:00:25.120 --> 00:00:29.000]  那些的對聯都寫在紅紙上面
[00:00:29.000 --> 00:00:31.000]  其實在我們中國人的傳統裏面
[00:00:31.000 --> 00:00:32.000]  我們都不明白
[00:00:32.000 --> 00:00:37.000]  爲什麽會在幾千年前就一直這樣傳下來
[00:00:37.000 --> 00:00:38.960]  爲什麽會用紅色呢
[00:00:38.960 --> 00:00:40.960]  紅色有什麽意義呢
[00:00:40.960 --> 00:00:43.000]  其實在世界上很多的民族
[00:00:43.000 --> 00:00:46.000]  都是紅色代表喜慶
[00:00:46.000 --> 00:00:49.000]  其實紅就表示血
[00:00:49.000 --> 00:00:51.960]  是救贖的意思
[00:00:51.960 --> 00:00:55.000]  原來當以色列人他們在埃及圍爐的時候
[00:00:55.000 --> 00:00:59.000]  神要救他們脫離這個圍爐之地
[00:00:59.000 --> 00:01:01.000]  就要叫他們離開埃及
[00:01:01.000 --> 00:01:04.000]  去到迦南 英許之地
[00:01:04.000 --> 00:01:08.960]  但由於法老王用很多的方法攔著他們
[00:01:08.960 --> 00:01:11.960]  於是神就要施行十災
[00:01:11.960 --> 00:01:16.960]  十個災 最後一個災就叫做殺長子之災
[00:01:16.960 --> 00:01:18.960]  是最嚴厲的
[00:01:18.960 --> 00:01:21.000]  但是神爲了保護以色列人
[00:01:21.000 --> 00:01:23.000]  就對他們有個吩咐
[00:01:23.000 --> 00:01:26.000]  記載在《差憶及記》第12章
[00:01:26.000 --> 00:01:30.000]  他們要守一個很特別的節期
[00:01:30.000 --> 00:01:33.000]  這個節期叫做逾越節
