
[00:00:00.000 --> 00:00:05.300]  剛才我們說聖靈一直塑造我們的生命
[00:00:05.300 --> 00:00:09.000]  神對我們的塑造是基於一個基礎
[00:00:09.000 --> 00:00:12.100]  這個基礎就是盟約的關係
[00:00:12.100 --> 00:00:14.200]  這個盟約關係究竟是從何而來的呢?
[00:00:14.200 --> 00:00:19.000]  讓我們一起看出埃及記第十九章四至六節
[00:00:19.000 --> 00:00:20.600]  待會兒才會看到我們一起讀
[00:00:20.600 --> 00:00:21.900]  一二三
[00:00:21.900 --> 00:00:24.600]  我向埃及人所行的事
[00:00:24.600 --> 00:00:26.600]  你們都看見了
[00:00:26.600 --> 00:00:31.500]  且看見我如鷹將你們背在翅膀上
[00:00:31.500 --> 00:00:33.300]  帶來歸我
[00:00:33.300 --> 00:00:36.800]  如今你們若實在聽從我的話
[00:00:36.800 --> 00:00:38.400]  遵守我的約
[00:00:38.400 --> 00:00:42.400]  就要在萬民中作屬我的指紋
[00:00:42.400 --> 00:00:45.300]  因為全地都是我的
[00:00:45.300 --> 00:00:49.200]  你們要歸我作祭司的國度
[00:00:49.200 --> 00:00:51.800]  為聖潔的國民
[00:00:51.800 --> 00:00:57.300]  要留意那些綠色的字「歸我」、「屬我」、「是我的」
[00:00:57.300 --> 00:01:01.200]  其實這字是展現一個盟約的關係
[00:01:01.200 --> 00:01:03.200]  什麼是盟約的關係呢?
[00:01:03.200 --> 00:01:07.100]  就是神是以色列人的神
[00:01:07.100 --> 00:01:10.400]  以色列人是神的指紋
[00:01:10.400 --> 00:01:15.000]  這個盟約的關係不是大家坐在桌上談判
[00:01:15.000 --> 00:01:16.200]  議定的
[00:01:16.200 --> 00:01:19.100]  而是神主動跟以色列人說
[00:01:19.100 --> 00:01:20.500]  我要做你的神
[00:01:20.500 --> 00:01:25.000]  我要跟你訂立這個盟約的關係
[00:01:25.000 --> 00:01:27.200]  決定誰是神的指紋
[00:01:27.200 --> 00:01:28.200]  是什麼呢?
[00:01:28.200 --> 00:01:29.300]  不是血緣
[00:01:29.300 --> 00:01:30.600]  不是血統
[00:01:30.600 --> 00:01:32.300]  而是信靠
[00:01:32.300 --> 00:01:34.200]  換句話說
[00:01:34.200 --> 00:01:35.900]  就算你是以色列人
[00:01:35.900 --> 00:01:37.400]  你不信靠神
[00:01:37.400 --> 00:01:39.100]  不離開埃及
[00:01:39.100 --> 00:01:41.600]  你都不是神的指紋
[00:01:41.600 --> 00:01:43.700]  就算你不是以色列人
[00:01:43.700 --> 00:01:45.500]  只要你信靠神
[00:01:45.500 --> 00:01:47.500]  只要你離開埃及
[00:01:47.500 --> 00:01:49.400]  都是神的指紋
[00:01:49.400 --> 00:01:51.300]  請知道今天跟我們有什麼關係
[00:01:51.300 --> 00:01:53.300]  今天我們每一位信耶穌的
[00:01:53.300 --> 00:01:54.500]  我們有一個新的身份
[00:01:54.500 --> 00:01:56.300]  就是新的以色列人
[00:01:56.300 --> 00:01:56.900]  換句話說
[00:01:56.900 --> 00:01:58.800]  我們都是神的指紋
[00:01:58.800 --> 00:01:59.600]  換句話說
[00:01:59.600 --> 00:02:03.500]  我跟你今天都在這個盟約的關係裡面
[00:02:03.500 --> 00:02:05.500]  所以就跟我們有關係
[00:02:05.500 --> 00:02:09.600]  既然以色列人有這個新的身份
[00:02:09.600 --> 00:02:11.400]  那就不可以有名無實
[00:02:11.400 --> 00:02:12.900]  浪得虛名
[00:02:12.900 --> 00:02:14.500]  那必須你有這個身份
[00:02:14.500 --> 00:02:17.600]  必須有具體的行為見證
[00:02:17.600 --> 00:02:19.900]  跟你這個身份配合
[00:02:19.900 --> 00:02:23.100]  那這個行為見證怎麼塑造出來呢
[00:02:23.100 --> 00:02:27.300]  神就用十誡作為框架
[00:02:27.300 --> 00:02:30.000]  而訂立一些延伸的律法
[00:02:30.000 --> 00:02:32.500]  作為仔細的操作
[00:02:32.500 --> 00:02:34.300]  這些具體的律法
[00:02:34.300 --> 00:02:36.700]  就叫做盟約之書
[00:02:36.700 --> 00:02:39.900]  盟約之書裡面是在釐定
[00:02:39.900 --> 00:02:41.800]  我們跟神的指紋
[00:02:41.800 --> 00:02:45.900]  就是我們跟神那個盟約關係
[00:02:45.900 --> 00:02:49.200]  《出乃及記》第二十一章至二十三章
[00:02:49.200 --> 00:02:54.100]  就是在說這個盟約關係的具體律法
[00:02:54.100 --> 00:02:56.600]  二十章的二十二至二十六節
[00:02:56.600 --> 00:03:00.200]  是在說這個盟約關係的隱然
[00:03:00.200 --> 00:03:03.700]  二十三章 二十節 三十三節
[00:03:03.700 --> 00:03:06.500]  就是在說那個盟約的總結
[00:03:06.500 --> 00:03:09.600]  所以你看到好像一塊三文字一樣
[00:03:09.600 --> 00:03:11.200]  上個星期
[00:03:11.200 --> 00:03:12.600]  如果大家在崇拜就聽到
[00:03:12.600 --> 00:03:16.700]  Pastor Larry 曾經在說那個盟約之書裡面
[00:03:16.700 --> 00:03:19.100]  社會公義的原則
[00:03:19.100 --> 00:03:20.700]  下個星期
[00:03:20.700 --> 00:03:24.100]  Pastor Ronald 唐牧師就會說
[00:03:24.100 --> 00:03:29.200]  安息年遵守節期的原則
[00:03:29.200 --> 00:03:32.200]  今天我就跟大家說那兩塊麵包
[00:03:32.200 --> 00:03:37.000]  就是那個盟約之書的隱然和總結
[00:03:37.000 --> 00:03:40.200]  夾在中間有什麼作用呢
[00:03:40.200 --> 00:03:42.300]  藉著這個隱然和總結
[00:03:42.300 --> 00:03:45.600]  神是在說他要訂立這個盟約關係的心意
[00:03:45.600 --> 00:03:46.300]  換句話說
[00:03:46.300 --> 00:03:49.200]  就是神所期望的這個盟約關係
[00:03:49.200 --> 00:03:50.800]  有什麼特點呢
