
[00:00:00.000 --> 00:00:07.560]  今早想同大家一齊思想到聖誕節的三重意義
[00:00:07.560 --> 00:00:13.240]  特別當今年香港進入一個比較不穩定的情況
[00:00:13.240 --> 00:00:16.760]  我們都很想思想聖誕節重提
[00:00:16.760 --> 00:00:18.760]  或者去溫故知新
[00:00:18.760 --> 00:00:21.360]  對你來說可能你都知道
[00:00:21.360 --> 00:00:24.440]  不過我都希望通過這一切
[00:00:24.440 --> 00:00:29.000]  我們去思想加深我們前行的力量
[00:00:29.000 --> 00:00:31.000]  讓我們先禱告
[00:00:31.000 --> 00:00:34.560]  約翰福音曾經說
[00:00:34.560 --> 00:00:38.640]  道成育生 住在我們中間
[00:00:38.640 --> 00:00:43.120]  充充滿滿的有恩典 有真理
[00:00:43.120 --> 00:00:47.120]  趁今天早上特別來到年尾的時候
[00:00:47.120 --> 00:00:50.400]  我們想念叨詩人亦都說
[00:00:50.400 --> 00:00:53.240]  你以恩典為年歲的冠冕
[00:00:53.240 --> 00:00:56.720]  你的路徑都滴下滋油
[00:00:56.720 --> 00:01:01.520]  今天這個早上我們真的憑著你自己的恩典
[00:01:01.520 --> 00:01:04.720]  我們可以走在這個殿裏面
[00:01:04.720 --> 00:01:06.720]  來敬拜你
[00:01:06.720 --> 00:01:12.920]  聆聽你和思想你昔日降生的一切
[00:01:12.920 --> 00:01:16.080]  求你打開我們的心
[00:01:16.080 --> 00:01:18.080]  幫助我們
[00:01:18.080 --> 00:01:23.080]  免得我們被一種老生常談的感受
[00:01:23.080 --> 00:01:25.720]  而抹殺了我們聽到的心
[00:01:25.720 --> 00:01:29.720]  求神藉著你的話觸動我們的心
[00:01:29.720 --> 00:01:31.720]  當我們心靈有疲乏
[00:01:31.720 --> 00:01:36.280]  我們願意在一間來朝見你
[00:01:36.280 --> 00:01:38.280]  感應你的愛
[00:01:38.280 --> 00:01:44.280]  和對你的降生的要義加以認識
[00:01:44.280 --> 00:01:46.280]  求主親自帶領
[00:01:46.280 --> 00:01:49.720]  願聖靈陪伴我們走過這一趟
[00:01:49.720 --> 00:01:51.720]  我們這樣的禱告
[00:01:51.720 --> 00:01:55.720]  是奉群揚大牧者耶穌基督的名求
[00:01:55.720 --> 00:01:57.720]  阿們
[00:01:57.720 --> 00:02:01.720]  聖誕節的三重意義
[00:02:01.720 --> 00:02:03.720]  在前幾年
[00:02:03.720 --> 00:02:06.720]  有一個這樣的普遍的調查
