
[00:00:00.000 --> 00:00:02.000]  好,讓我們低頭,我們禱告
[00:00:02.000 --> 00:00:04.000]  天文求祢,臣臣自已來大日
[00:00:04.000 --> 00:00:06.740]  用祢的話語成為我們生命的提醒和幫助
[00:00:06.740 --> 00:00:08.580]  求主祢來大日去眷顧
[00:00:08.580 --> 00:00:09.580]  帶領我們
[00:00:09.580 --> 00:00:12.420]  特別讓我們的敬拜能夠蒙祢的月立
[00:00:12.420 --> 00:00:14.420]  也使用孩子今日所講的信息
[00:00:14.420 --> 00:00:15.740]  成為我們的提醒
[00:00:15.740 --> 00:00:17.740]  更加實踐在我們的生活上
[00:00:17.740 --> 00:00:20.240]  祝福在另外一個房間裏的弟兄姊妹
[00:00:20.240 --> 00:00:24.440]  當我們來大日看螢光幕的時候
[00:00:24.440 --> 00:00:27.200]  帶到讓他們知道神力都是如去同在的
[00:00:27.200 --> 00:00:29.200]  求神力眷顧,帶領日日的時間
[00:00:29.200 --> 00:00:31.200]  祈禱拉奉主,得聖一名,Amen
[00:00:31.200 --> 00:00:35.200]  今日的題目是神思明辯
[00:00:35.200 --> 00:00:37.200]  如果你知道這句是來自一個成語
[00:00:37.200 --> 00:00:39.200]  但你對中文有躁鬱
[00:00:39.200 --> 00:00:41.200]  你就會發覺好像打錯了
[00:00:41.200 --> 00:00:45.200]  因為神思明辯的辯是分辯是非的辯
[00:00:45.200 --> 00:00:48.200]  但這個辯是用言語
[00:00:48.200 --> 00:00:50.200]  是辯論的辯
[00:00:50.200 --> 00:00:51.200]  意思是甚麼呢
[00:00:51.200 --> 00:00:54.200]  其實今日會和大家繼續看生命記
[00:00:54.200 --> 00:00:58.200]  生命記裏面是講到摩西臨離開世界的時候
[00:00:58.200 --> 00:01:01.200]  去再對著新一代的子民
[00:01:01.200 --> 00:01:05.200]  重複的再一次講論神的誡明
[00:01:05.200 --> 00:01:08.200]  提醒我們要遵守神的誡明
[00:01:08.200 --> 00:01:10.200]  大家很熟悉裏面十誡
[00:01:10.200 --> 00:01:13.200]  有十條的誡明,有一個總綱
[00:01:13.200 --> 00:01:17.200]  其中人和神之間的關係裏面的一條誡明是甚麼呢
[00:01:17.200 --> 00:01:20.200]  就是叫我們不可以妄稱神的名
[00:01:20.200 --> 00:01:23.200]  但你有沒有留意到現在在這個世代裏面
