
[00:00:00.000 --> 00:00:01.680]  今天和大家分享這個題目
[00:00:01.680 --> 00:00:05.480]  我們都是蒙恩的基督徒
[00:00:05.480 --> 00:00:11.560]  有一次有一個一直都不肯相信上帝的人
[00:00:11.560 --> 00:00:13.680]  他就去到森林那裏
[00:00:13.680 --> 00:00:17.920]  在森林那裏他就去到觀望大自然的美麗景色
[00:00:17.920 --> 00:00:20.960]  讚嘆實在是太好了
[00:00:20.960 --> 00:00:23.320]  忽然之間他又聽到一些聲音
[00:00:23.320 --> 00:00:24.400]  回頭一看
[00:00:24.400 --> 00:00:28.200]  原來有一隻大熊在樹林那裏衝出來
[00:00:28.200 --> 00:00:29.800]  追趕他
[00:00:29.800 --> 00:00:32.320]  他拼命就走了
[00:00:32.320 --> 00:00:33.560]  一路走一路走
[00:00:33.560 --> 00:00:35.720]  回頭一看已經越來越近了
[00:00:35.720 --> 00:00:38.080]  結果因為太急了
[00:00:38.080 --> 00:00:38.760]  重閉
[00:00:38.760 --> 00:00:41.240]  踢到東西就整個跌倒
[00:00:41.240 --> 00:00:43.440]  想轉身起身的時候
[00:00:43.440 --> 00:00:46.320]  那隻熊人已經在他的身邊
[00:00:46.320 --> 00:00:48.440]  舉起他的大爪
[00:00:48.440 --> 00:00:52.040]  準備來殺了他
[00:00:52.040 --> 00:00:53.880]  在這個非常緊急的時候
[00:00:53.880 --> 00:00:56.880]  忽然間整個宇宙好像停了
[00:00:56.880 --> 00:00:58.240]  時間停了下來
[00:00:58.240 --> 00:01:00.480]  大熊的動作都停了
[00:01:00.480 --> 00:01:03.840]  有一個非常溫柔的聲音
[00:01:03.840 --> 00:01:05.720]  在天上跟他說
[00:01:05.720 --> 00:01:07.480]  他說
[00:01:07.480 --> 00:01:09.160]  陳丹文
[00:01:09.160 --> 00:01:11.760]  就當他是陳丹文
[00:01:11.760 --> 00:01:17.000]  你一直以來都不肯相信我上帝
[00:01:17.000 --> 00:01:19.720]  今天在這個緊急的時候
[00:01:19.720 --> 00:01:21.640]  你喊救命
[00:01:21.640 --> 00:01:23.960]  因為他在躺下的時候
[00:01:23.960 --> 00:01:25.720]  就大聲喊
[00:01:25.720 --> 00:01:27.800]  上帝救我
[00:01:27.800 --> 00:01:30.960]  所以上帝就回應他
[00:01:30.960 --> 00:01:33.600]  他說你在緊急的時候來呼求我
[00:01:33.600 --> 00:01:36.000]  是不是代表從今天開始
[00:01:36.000 --> 00:01:39.680]  你就願意成為一個基督徒
[00:01:39.680 --> 00:01:41.240]  這個人想一想
[00:01:41.240 --> 00:01:42.840]  他就跟上帝說
[00:01:42.840 --> 00:01:45.240]  如果我今天在這些緊急的時候
[00:01:45.240 --> 00:01:47.800]  就喊我做基督徒
[00:01:47.800 --> 00:01:50.680]  好像太虛偽一點
[00:01:50.680 --> 00:01:52.480]  太使劃一點
[00:01:52.480 --> 00:01:53.520]  不如這樣吧
[00:01:53.520 --> 00:01:58.600]  你變了那隻紅人做基督徒吧
[00:01:58.600 --> 00:01:59.680]  因為他的心想
[00:01:59.680 --> 00:02:02.600]  當紅人變成基督徒的時候就怎樣
[00:02:02.600 --> 00:02:05.760]  那就不殺他了
[00:02:05.760 --> 00:02:08.280]  上帝就說可以的
[00:02:08.280 --> 00:02:11.160]  結果忽然之間時間又開始回來了
[00:02:11.160 --> 00:02:14.080]  所有的事情就歸於平靜
[00:02:14.080 --> 00:02:16.320]  當他再睜開眼睛一看
[00:02:16.320 --> 00:02:20.640]  原來紅人已經跪下在他面前
[00:02:20.640 --> 00:02:24.600]  接著合起雙手低頭禱告
[00:02:24.600 --> 00:02:34.160]  感謝天父賜給我一頓美好的食物
[00:02:34.160 --> 00:02:36.880]  這個故事教訓我們什麼呢
[00:02:36.880 --> 00:02:39.480]  就是不要做一個掛名的基督徒
[00:02:39.480 --> 00:02:43.120]  因為只是借飯的時候才祈禱
[00:02:43.120 --> 00:02:45.800]  沒有生命的改變
[00:02:45.800 --> 00:02:47.520]  但更加重要就是提醒我們
[00:02:47.520 --> 00:02:50.360]  如果你還沒有做基督徒的時候
[00:02:50.360 --> 00:02:55.200]  就是不要想著基督教都很好的
[00:02:55.200 --> 00:02:57.160]  信耶穌的人都很好的
[00:02:57.160 --> 00:03:01.560]  不過我死都不肯信自己
[00:03:01.560 --> 00:03:02.920]  如果是這樣的話
[00:03:02.920 --> 00:03:06.720]  實在是浪費了神給你的機會
[00:03:06.720 --> 00:03:08.840]  浪費了神給你的恩典
[00:03:08.840 --> 00:03:11.400]  我們都能夠成為基督徒
[00:03:11.400 --> 00:03:13.480]  如果你已經是基督徒的話
[00:03:13.480 --> 00:03:15.600]  是不是很感恩
[00:03:15.600 --> 00:03:17.160]  可不可以跟旁邊的弟兄姊妹說
[00:03:17.160 --> 00:03:18.480]  特別是信了主的
[00:03:18.480 --> 00:03:20.640]  我們是蒙恩的基督徒
[00:03:20.640 --> 00:03:31.520]  跟旁邊的弟兄姊妹說
[00:03:31.520 --> 00:03:34.720]  弟兄姊妹不知道你有沒有感受到
[00:03:34.720 --> 00:03:37.760]  我很深感受
[00:03:37.760 --> 00:03:39.880]  能夠成為基督徒
[00:03:39.880 --> 00:03:42.320]  實在是神很大的恩典
[00:03:42.320 --> 00:03:45.080]  Amen
[00:03:45.080 --> 00:03:48.800]  所以在感恩節的時候有很多東西值得感恩
[00:03:48.800 --> 00:03:51.760]  但是我們相信最感恩的就是
[00:03:51.760 --> 00:03:55.040]  我們能夠成為一個神的兒女
[00:03:55.040 --> 00:03:57.480]  成為基督徒
[00:03:57.480 --> 00:04:00.040]  這個真是神給我們的
[00:04:00.040 --> 00:04:01.760]  非常寶貴的恩典
[00:04:01.760 --> 00:04:06.120]  不是每一個都能夠有這個機會
[00:04:06.120 --> 00:04:08.840]  也不是每一個都能夠把握到
[00:04:08.840 --> 00:04:12.280]  領受到這個機會
[00:04:12.280 --> 00:04:13.640]  在今天我們繼續
[00:04:13.640 --> 00:04:16.000]  在今年裡面我們看《試圖行傳》
[00:04:16.000 --> 00:04:17.640]  今天我們也不改變
[00:04:17.640 --> 00:04:19.600]  繼續看《試圖行傳》第十一章
[00:04:19.600 --> 00:04:21.400]  不過又很有關係
[00:04:21.400 --> 00:04:23.960]  因為原來在《試圖行傳》裡
[00:04:23.960 --> 00:04:26.160]  路加去記載的時候
[00:04:26.160 --> 00:04:27.480]  他有一件事很特別的
