
[00:00:00.000 --> 00:00:03.040]  今時今日香港我們很繁榮
[00:00:03.040 --> 00:00:07.300]  但在上個世紀五、六十年代的時候
[00:00:07.300 --> 00:00:09.800]  香港都比較貧窮
[00:00:09.800 --> 00:00:14.260]  現在的年青人比我們幸福很多
[00:00:14.260 --> 00:00:20.020]  和很多我同齡的朋友一樣
[00:00:20.020 --> 00:00:23.860]  我小時候家境都不是很好的
[00:00:23.860 --> 00:00:25.380]  都是比較貧窮
[00:00:25.380 --> 00:00:27.420]  和很多人一樣
[00:00:27.420 --> 00:00:30.040]  我當時住的叫板間廠
[00:00:30.040 --> 00:00:33.060]  板間廠即是唐樓
[00:00:33.060 --> 00:00:35.160]  間開幾間廠
[00:00:35.160 --> 00:00:38.500]  用屏風間開
[00:00:38.500 --> 00:00:42.100]  即是尺高、大高可以放幾間廠
[00:00:42.100 --> 00:00:46.600]  在住這些板間廠的時候
[00:00:46.600 --> 00:00:47.800]  我很幸運
[00:00:47.800 --> 00:00:50.420]  當我九歲、十歲的時候
[00:00:50.420 --> 00:00:54.480]  屋主有個婆婆是基督徒
[00:00:54.480 --> 00:00:59.440]  帶我回房間住一晚
[00:00:59.440 --> 00:01:05.240]  從那時開始就認識了耶穌
[00:01:05.240 --> 00:01:09.560]  轉眼間我今年六十九歲
[00:01:09.560 --> 00:01:13.960]  認識神已經是差不多一個甲子
[00:01:13.960 --> 00:01:17.200]  很多年輕女孩、年輕男孩
[00:01:17.200 --> 00:01:19.320]  已經六十年了
[00:01:19.320 --> 00:01:23.980]  很感激神在這六十年來
[00:01:23.980 --> 00:01:29.660]  我的神每天都和我同在
[00:01:29.660 --> 00:01:32.280]  陪伴我
[00:01:32.280 --> 00:01:36.240]  帶領我經過人生很多的高高低低
[00:01:36.240 --> 00:01:38.960]  有歡喜快樂的時候
[00:01:38.960 --> 00:01:43.500]  亦都有一些傷心、痛苦的時候
[00:01:43.500 --> 00:01:46.440]  但無論怎樣都好
[00:01:46.440 --> 00:01:48.360]  祂是沒有離開過我的
[00:01:48.360 --> 00:01:52.360]  好像聖經前篇有一句話
[00:01:52.360 --> 00:01:57.440]  「我雖然難過死人的憂慮也不怕災難
[00:01:57.440 --> 00:02:02.800]  因為你與我同在,你的肝、你的腸都愛我」
[00:02:02.800 --> 00:02:06.660]  我在二十五歲的時候
[00:02:06.660 --> 00:02:12.620]  就加入政府做入境事務主任
[00:02:12.620 --> 00:02:15.040]  當然我有些事要做
[00:02:15.040 --> 00:02:19.020]  神很祝福我的工作
[00:02:19.020 --> 00:02:24.300]  做了差不多二十五年
[00:02:24.300 --> 00:02:29.760]  我五十歲的時候就升做入境處處長
[00:02:29.760 --> 00:02:33.940]  當時想著這是我人生的高峰
[00:02:33.940 --> 00:02:37.660]  當時就說都足夠了
[00:02:37.660 --> 00:02:42.680]  當時我沒有想到將來做圖書
[00:02:42.680 --> 00:02:44.240]  或者其他職位
[00:02:44.240 --> 00:02:49.240]  當時我打算早點退休
[00:02:49.240 --> 00:02:52.460]  政府當時有兩個退休計劃
[00:02:52.460 --> 00:02:58.220]  一個新的退休計劃是五十五歲退休
[00:02:58.220 --> 00:03:07.260]  後來政府推出一個比較新的退休計劃
[00:03:07.260 --> 00:03:11.020]  一般的公務員是由五十五歲退休
